step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.09956,1,0.1,0,0,0,0,0,,,,1
1,0.00150781,0.00150781,7.47679e-10,9.74601e-10,4.7028e-09,1.16825e-11,1.52281e-11,7.34808e-11,1,-8.17387e-20,-1.52466e-20,0,1.09955,0.842346,0.1,0,0,0,1,300,9.69072e-13,4.7028e-09,4.7028e-09,1
2,0.00289011,0.0013823,7.83129e-10,9.94265e-10,4.64667e-09,1.22366e-11,1.55355e-11,7.2604e-11,1,-2.72879e-19,-5.03331e-18,0,1.09955,0.74302,0.0999622,0,0,0,1,281,9.81387e-13,4.64667e-09,4.64667e-09,1
3,0.00418174,0.00129163,7.85326e-10,9.8176e-10,4.59409e-09,1.22718e-11,1.53413e-11,7.17824e-11,1,5.13212e-19,7.56956e-18,0,1.09954,0.670116,0.0998743,0,0,0,1,268,9.74015e-13,4.59408e-09,4.59408e-09,1
4,0.00540796,0.00122622,7.92617e-10,9.9143e-10,4.68567e-09,1.23871e-11,1.54939e-11,7.32133e-11,1,3.76373e-19,-1.03241e-17,0,1.09953,0.614111,0.0996867,0,0,0,1,269,9.9044e-13,4.68568e-09,4.68568e-09,1
5,0.00659445,0.00118649,7.96943e-10,9.95954e-10,4.73485e-09,1.24574e-11,1.55683e-11,7.39816e-11,1,-1.06682e-18,1.39866e-17,0,1.09952,0.57054,0.0994219,0,0,0,1,268,9.98727e-13,4.73485e-09,4.73485e-09,1
6,0.0077585,0.00116404,7.74573e-10,9.70128e-10,4.71898e-09,1.21127e-11,1.51723e-11,7.37333e-11,1,-8.93798e-20,6.50883e-18,0,1.09951,0.537199,0.0991499,0,0,0,1,266,9.89304e-13,4.71898e-09,4.71898e-09,1
7,0.00891157,0.00115307,7.60515e-10,9.55221e-10,4.71029e-09,1.18991e-11,1.49496e-11,7.3597e-11,1,-1.08585e-19,-3.95419e-17,0,1.0995,0.511576,0.0988372,0,0,0,1,266,9.83849e-13,4.71028e-09,4.71028e-09,1
8,0.0100604,0.00114879,7.55361e-10,9.54713e-10,4.78709e-09,1.18315e-11,1.4971e-11,7.47968e-11,1,-9.44933e-19,1.29239e-17,0,1.09949,0.492611,0.0986869,0,0,0,1,262,9.83117e-13,4.78709e-09,4.78709e-09,1
9,0.0112093,0.00114893,6.24857e-10,8.23089e-10,4.28243e-09,9.80732e-12,1.29628e-11,6.6911e-11,1,3.32968e-18,6.44766e-18,0,1.09948,0.480802,0.0997613,0,0,0,1,258,9.72465e-13,4.28243e-09,4.28243e-09,1
10,0.0123612,0.00115195,5.77019e-10,7.78844e-10,4.06862e-09,9.07715e-12,1.23267e-11,6.35707e-11,1,1.9928e-18,1.89745e-17,0,1.09947,0.473708,0.0997174,0,0,0,1,254,9.6678e-13,4.06862e-09,4.06862e-09,1
