problem,method,step,substep,time,r0,xc,yc,max_cfast_seen,r_causal,total_projection_correction,outside_causal_projection_correction,outside_fraction,snapshot_file
blast_wave,elliptic_projection,1,1,0.00150781,0.1,0.5,0.5,4.14508,0.10625,0.0708679,0.0192029,0.270967,mhd_blast_elliptic_projection_projection_step000001_sub01.csv
blast_wave,elliptic_projection,2,1,0.00289011,0.1,0.5,0.5,4.52147,0.113068,0.0436112,0.0102352,0.234693,mhd_blast_elliptic_projection_projection_step000002_sub01.csv
blast_wave,elliptic_projection,3,1,0.00418174,0.1,0.5,0.5,4.83883,0.120235,0.0488325,0.0157043,0.321594,mhd_blast_elliptic_projection_projection_step000003_sub01.csv
blast_wave,elliptic_projection,4,1,0.00540796,0.1,0.5,0.5,5.09698,0.127564,0.0649197,0.0147301,0.226897,mhd_blast_elliptic_projection_projection_step000004_sub01.csv
blast_wave,elliptic_projection,5,1,0.00659445,0.1,0.5,0.5,5.26762,0.134737,0.0812283,0.00265943,0.0327401,mhd_blast_elliptic_projection_projection_step000005_sub01.csv
blast_wave,elliptic_projection,6,1,0.0077585,0.1,0.5,0.5,5.36921,0.141657,0.0882411,0.00194872,0.022084,mhd_blast_elliptic_projection_projection_step000006_sub01.csv
blast_wave,elliptic_projection,7,1,0.00891157,0.1,0.5,0.5,5.42029,0.148303,0.0887152,0.000490337,0.00552709,mhd_blast_elliptic_projection_projection_step000007_sub01.csv
blast_wave,elliptic_projection,8,1,0.0100604,0.1,0.5,0.5,5.44051,0.154733,0.0851534,0.000411784,0.00483579,mhd_blast_elliptic_projection_projection_step000008_sub01.csv
blast_wave,elliptic_projection,9,1,0.0112093,0.1,0.5,0.5,5.44051,0.160984,0.0889153,0.000243653,0.00274028,mhd_blast_elliptic_projection_projection_step000009_sub01.csv
blast_wave,elliptic_projection,10,1,0.0123612,0.1,0.5,0.5,5.44051,0.167251,0.0991345,0.000222263,0.00224204,mhd_blast_elliptic_projection_projection_step000010_sub01.csv
blast_wave,elliptic_projection,11,1,0.0135129,0.1,0.5,0.5,5.44051,0.173517,0.0986067,0.000190502,0.00193193,mhd_blast_elliptic_projection_projection_step000011_sub01.csv
blast_wave,elliptic_projection,12,1,0.0146616,0.1,0.5,0.5,5.4412,0.179777,0.097618,0.000190091,0.00194729,mhd_blast_elliptic_projection_projection_step000012_sub01.csv
blast_wave,elliptic_projection,13,1,0.0158078,0.1,0.5,0.5,5.45251,0.186192,0.102206,0.000152223,0.00148937,mhd_blast_elliptic_projection_projection_step000013_sub01.csv
blast_wave,elliptic_projection,14,1,0.0169527,0.1,0.5,0.5,5.4591,0.192547,0.103462,0.000145985,0.00141101,mhd_blast_elliptic_projection_projection_step000014_sub01.csv
blast_wave,elliptic_projection,15,1,0.0180963,0.1,0.5,0.5,5.4651,0.198898,0.10235,0.000130672,0.00127672,mhd_blast_elliptic_projection_projection_step000015_sub01.csv
blast_wave,elliptic_projection,16,1,0.0192407,0.1,0.5,0.5,5.4651,0.205152,0.103855,0.000111201,0.00107073,mhd_blast_elliptic_projection_projection_step000016_sub01.csv
blast_wave,elliptic_projection,17,1,0.020391,0.1,0.5,0.5,5.4651,0.211439,0.110195,0.000103001,0.000934718,mhd_blast_elliptic_projection_projection_step000017_sub01.csv
blast_wave,elliptic_projection,18,1,0.0215499,0.1,0.5,0.5,5.4651,0.217773,0.110936,9.80091e-05,0.000883472,mhd_blast_elliptic_projection_projection_step000018_sub01.csv
blast_wave,elliptic_projection,19,1,0.0227168,0.1,0.5,0.5,5.4651,0.22415,0.10868,8.9867e-05,0.000826899,mhd_blast_elliptic_projection_projection_step000019_sub01.csv
blast_wave,elliptic_projection,20,1,0.0238911,0.1,0.5,0.5,5.4651,0.230567,0.107328,8.0884e-05,0.000753615,mhd_blast_elliptic_projection_projection_step000020_sub01.csv
blast_wave,elliptic_projection,21,1,0.0250732,0.1,0.5,0.5,5.4651,0.237028,0.111625,7.54196e-05,0.000675654,mhd_blast_elliptic_projection_projection_step000021_sub01.csv
blast_wave,elliptic_projection,22,1,0.0262637,0.1,0.5,0.5,5.4651,0.243534,0.11619,6.53658e-05,0.000562575,mhd_blast_elliptic_projection_projection_step000022_sub01.csv
blast_wave,elliptic_projection,23,1,0.0274608,0.1,0.5,0.5,5.4651,0.250076,0.112364,5.88203e-05,0.000523481,mhd_blast_elliptic_projection_projection_step000023_sub01.csv
blast_wave,elliptic_projection,24,1,0.0286652,0.1,0.5,0.5,5.4651,0.256658,0.109088,5.95022e-05,0.000545449,mhd_blast_elliptic_projection_projection_step000024_sub01.csv
blast_wave,elliptic_projection,25,1,0.0298808,0.1,0.5,0.5,5.4651,0.263302,0.112859,5.26835e-05,0.000466808,mhd_blast_elliptic_projection_projection_step000025_sub01.csv
blast_wave,elliptic_projection,26,1,0.03,0.1,0.5,0.5,5.4651,0.263953,0.00108062,5.1492e-07,0.000476505,mhd_blast_elliptic_projection_projection_step000026_sub01.csv
