i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.999957,2.35402e-06,2.35402e-06,0,0.0999928,0.710336,0.710336,0,0,2.14523e-08,1.00457
1,0,0.0117188,0.00390625,0.99996,4.64396e-06,2.70164e-06,0,0.0999933,0.710336,0.710461,0,0,1.28815e-08,1.00466
2,0,0.0195312,0.00390625,0.999963,6.3434e-06,3.10529e-06,0,0.0999938,0.710337,0.710587,0,0,1.31667e-08,1.00474
3,0,0.0273438,0.00390625,0.999966,7.90271e-06,4.00945e-06,0,0.0999943,0.710338,0.710712,0,0,1.3434e-08,1.00483
4,0,0.0351562,0.00390625,0.999969,9.26225e-06,5.39627e-06,0,0.0999949,0.71034,0.710836,0,0,1.36829e-08,1.00492
5,0,0.0429688,0.00390625,0.999973,1.02368e-05,7.08235e-06,0,0.0999954,0.710342,0.71096,0,0,1.39125e-08,1.00501
6,0,0.0507812,0.00390625,0.999976,1.08441e-05,9.09005e-06,0,0.099996,0.710344,0.711083,0,0,1.41225e-08,1.0051
7,0,0.0585938,0.00390625,0.999979,1.11472e-05,1.14717e-05,0,0.0999966,0.710347,0.711204,0,0,1.43123e-08,1.00519
8,0,0.0664062,0.00390625,0.999983,1.12784e-05,1.43596e-05,0,0.0999971,0.710349,0.711324,0,0,1.44815e-08,1.00528
9,0,0.0742188,0.00390625,0.999986,1.11851e-05,1.7769e-05,0,0.0999977,0.710352,0.711441,0,0,1.46296e-08,1.00536
10,0,0.0820312,0.00390625,0.99999,1.06491e-05,2.14178e-05,0,0.0999983,0.710353,0.711555,0,0,1.47564e-08,1.00544
11,0,0.0898438,0.00390625,0.999993,9.56647e-06,2.52104e-05,0,0.0999989,0.710354,0.711666,0,0,1.48614e-08,1.00552
12,0,0.0976562,0.00390625,0.999997,8.10185e-06,2.93453e-05,0,0.0999996,0.710353,0.711772,0,0,1.49444e-08,1.00559
13,0,0.105469,0.00390625,1,6.40083e-06,3.39061e-05,0,0.1,0.710351,0.711872,0,0,1.50053e-08,1.00566
14,0,0.113281,0.00390625,1.00001,4.70358e-06,3.90159e-05,0,0.100001,0.710346,0.711965,0,0,1.5044e-08,1.00573
15,0,0.121094,0.00390625,1.00001,3.0293e-06,4.45163e-05,0,0.100002,0.71034,0.712051,0,0,1.50602e-08,1.00578
16,0,0.128906,0.00390625,1.00001,1.41362e-06,5.03896e-05,0,0.100002,0.71033,0.712128,0,0,1.50539e-08,1.00583
17,0,0.136719,0.00390625,1.00002,-1.91837e-07,5.6621e-05,0,0.100003,0.710319,0.712195,0,0,1.50253e-08,1.00587
18,0,0.144531,0.00390625,1.00002,-1.92111e-06,6.3158e-05,0,0.100004,0.710305,0.71225,0,0,1.49744e-08,1.0059
19,0,0.152344,0.00390625,1.00003,-3.7058e-06,6.95077e-05,0,0.100005,0.710288,0.712292,0,0,1.49012e-08,1.00592
20,0,0.160156,0.00390625,1.00003,-5.163e-06,7.58771e-05,0,0.100005,0.710268,0.712319,0,0,1.48059e-08,1.00592
21,0,0.167969,0.00390625,1.00003,-5.03896e-06,8.01575e-05,0,0.100006,0.710247,0.712331,0,0,1.46889e-08,1.00592
22,0,0.175781,0.00390625,1.00004,-9.66542e-06,9.01777e-05,0,0.100006,0.710224,0.712326,0,0,1.45504e-08,1.0059
23,0,0.183594,0.00390625,1.00004,-8.49859e-06,9.48896e-05,0,0.100007,0.710199,0.712301,0,0,1.43906e-08,1.00586
24,0,0.191406,0.00390625,1.00005,-1.00169e-05,9.94626e-05,0,0.100008,0.710174,0.712259,0,0,1.42101e-08,1.00581
25,0,0.199219,0.00390625,1.00005,-1.12239e-05,0.000103166,0,0.100009,0.71015,0.712197,0,0,1.40092e-08,1.00575
26,0,0.207031,0.00390625,1.00006,-1.24695e-05,0.000106529,0,0.10001,0.710126,0.712113,0,0,1.37884e-08,1.00568
27,0,0.214844,0.00390625,1.00007,-1.36158e-05,0.000108859,0,0.100011,0.710105,0.712007,0,0,1.35482e-08,1.00559
28,0,0.222656,0.00390625,1.00008,-1.52058e-05,0.000109658,0,0.100013,0.710087,0.711881,0,0,1.32893e-08,1.00548
29,0,0.230469,0.00390625,1.00009,-1.75134e-05,0.000108431,0,0.100015,0.710074,0.711733,0,0,1.30123e-08,1.00537
30,0,0.238281,0.00390625,1.0001,-2.03441e-05,0.000105485,0,0.100017,0.710066,0.711565,0,0,1.27177e-08,1.00525
31,0,0.246094,0.00390625,1.00012,-2.48122e-05,9.94435e-05,0,0.10002,0.710064,0.711377,0,0,1.24064e-08,1.00511
32,0,0.253906,0.00390625,1.00013,-2.63332e-05,9.53897e-05,0,0.100022,0.710071,0.711171,0,0,1.20791e-08,1.00497
33,0,0.261719,0.00390625,1.00014,-2.80978e-05,9.11291e-05,0,0.100024,0.710086,0.710949,0,0,1.17366e-08,1.00482
34,0,0.269531,0.00390625,1.00016,-3.5415e-05,8.2094e-05,0,0.100027,0.71011,0.710715,0,0,1.13796e-08,1.00467
35,0,0.277344,0.00390625,1.00018,-4.41047e-05,7.12978e-05,0,0.10003,0.710138,0.710469,0,0,1.10091e-08,1.00452
36,0,0.285156,0.00390625,1.0002,-5.36463e-05,5.87688e-05,0,0.100033,0.710177,0.710216,0,0,1.0626e-08,1.00437
37,0,0.292969,0.00390625,1.00021,-6.37566e-05,4.11811e-05,0,0.100036,0.71021,0.709958,0,0,1.02312e-08,1.00421
38,0,0.300781,0.00390625,1.00023,-7.28413e-05,2.2079e-05,0,0.100038,0.710246,0.709704,0,0,9.82557e-09,1.00406
39,0,0.308594,0.00390625,1.00023,-7.92934e-05,1.10292e-06,0,0.100039,0.710306,0.709458,0,0,9.41014e-09,1.00393
40,0,0.316406,0.00390625,1.00023,-8.79493e-05,-2.7214e-05,0,0.100038,0.710284,0.709198,0,0,8.98595e-09,1.00373
41,0,0.324219,0.00390625,1.00022,-9.01928e-05,-5.71039e-05,0,0.100036,0.71027,0.708989,0,0,8.55397e-09,1.00357
42,0,0.332031,0.00390625,1.0002,-9.58851e-05,-6.94679e-05,0,0.100034,0.710402,0.708823,0,0,8.11526e-09,1.00354
43,0,0.339844,0.00390625,1.00018,-0.000116534,-6.80711e-05,0,0.100029,0.710375,0.708571,0,0,7.67088e-09,1.00335
44,0,0.347656,0.00390625,1.00015,-0.000138812,-8.99219e-05,0,0.100025,0.710129,0.708332,0,0,7.22189e-09,1.003
45,0,0.355469,0.00390625,1.00012,-0.000148039,-9.89422e-05,0,0.100019,0.709885,0.708241,0,0,6.76938e-09,1.00277
46,0,0.363281,0.00390625,1.00019,-0.000196417,5.26092e-05,0,0.100032,0.710615,0.708293,0,0,6.31442e-09,1.00332
47,0,0.371094,0.00390625,1.00349,-0.00227204,0.00389152,0,0.100669,0.71511,0.708094,0,0,5.85815e-09,1.00637
48,0,0.378906,0.00390625,1.0133,-0.00810534,0.0147283,0,0.102922,0.725483,0.707791,0,0,5.40163e-09,1.01355
49,0,0.386719,0.00390625,1.02991,-0.0179038,0.0328269,0,0.107384,0.742082,0.707519,0,0,4.94597e-09,1.02531
50,0,0.394531,0.00390625,1.05211,-0.0313839,0.0570845,0,0.114085,0.763788,0.707936,0,0,4.49225e-09,1.04142
51,0,0.402344,0.00390625,1.07662,-0.0481524,0.085859,0,0.122258,0.788044,0.709649,0,0,4.0416e-09,1.06048
52,0,0.410156,0.00390625,1.10113,-0.0656599,0.115784,0,0.131015,0.813514,0.710652,0,0,3.59505e-09,1.0802
53,0,0.417969,0.00390625,1.12569,-0.0802296,0.141421,0,0.139881,0.840008,0.710311,0,0,3.15373e-09,1.10007
54,0,0.425781,0.00390625,1.15296,-0.0870773,0.15284,0,0.149038,0.872103,0.704458,0,0,2.71865e-09,1.12108
55,0,0.433594,0.00390625,1.19101,-0.0859132,0.144891,0,0.16037,0.912062,0.695008,0,0,2.29092e-09,1.14669
