i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.999999,-6.37674e-06,-6.37674e-06,0,0.0999998,0.707105,0.707105,0,0,-0.000894191,0.999997
1,0,0.0117188,0.00390625,0.999999,-6.10897e-06,-6.8468e-06,0,0.0999998,0.707101,0.707108,0,0,-0.000916901,0.999997
2,0,0.0195312,0.00390625,0.999999,-6.31888e-06,-7.8424e-06,0,0.0999998,0.707097,0.707112,0,0,-0.0010031,0.999997
3,0,0.0273438,0.00390625,0.999998,-7.04846e-06,-9.44192e-06,0,0.0999997,0.707093,0.707116,0,0,-0.00115714,0.999997
4,0,0.0351562,0.00390625,0.999998,-8.23729e-06,-1.16598e-05,0,0.0999997,0.707088,0.707121,0,0,-0.00138654,0.999996
5,0,0.0429688,0.00390625,0.999997,-9.97459e-06,-1.46266e-05,0,0.0999996,0.707082,0.707126,0,0,-0.00170244,0.999996
6,0,0.0507812,0.00390625,0.999997,-1.23411e-05,-1.84991e-05,0,0.0999994,0.707074,0.707133,0,0,-0.00212018,0.999995
7,0,0.0585938,0.00390625,0.999996,-1.54462e-05,-2.34671e-05,0,0.0999993,0.707065,0.707141,0,0,-0.00265943,0.999995
8,0,0.0664062,0.00390625,0.999994,-1.94346e-05,-2.97664e-05,0,0.099999,0.707054,0.707152,0,0,-0.00334476,0.999994
9,0,0.0742188,0.00390625,0.999992,-2.44847e-05,-3.76827e-05,0,0.0999987,0.70704,0.707165,0,0,-0.00420623,0.999994
10,0,0.0820312,0.00390625,0.99999,-3.08135e-05,-4.75575e-05,0,0.0999983,0.707023,0.707181,0,0,-0.00528004,0.999993
11,0,0.0898438,0.00390625,0.999987,-3.86814e-05,-5.97949e-05,0,0.0999978,0.707003,0.707201,0,0,-0.00660919,0.999994
12,0,0.0976562,0.00390625,0.999983,-4.83963e-05,-7.48672e-05,0,0.0999971,0.706979,0.707227,0,0,-0.00824424,0.999995
13,0,0.105469,0.00390625,0.999978,-6.0318e-05,-9.33204e-05,0,0.0999963,0.70695,0.707259,0,0,-0.010244,0.999997
14,0,0.113281,0.00390625,0.999971,-7.48622e-05,-0.000115779,0,0.0999952,0.706915,0.707298,0,0,-0.0126762,1
15,0,0.121094,0.00390625,0.999963,-9.25042e-05,-0.000142949,0,0.0999938,0.706874,0.707347,0,0,-0.0156178,1.00001
16,0,0.128906,0.00390625,0.999953,-0.000113782,-0.000175616,0,0.0999921,0.706826,0.707406,0,0,-0.0191557,1.00001
17,0,0.136719,0.00390625,0.99994,-0.000139296,-0.000214644,0,0.09999,0.70677,0.707479,0,0,-0.0233863,1.00002
18,0,0.144531,0.00390625,0.999924,-0.000169707,-0.000260966,0,0.0999873,0.706705,0.707567,0,0,-0.0284156,1.00004
19,0,0.152344,0.00390625,0.999905,-0.00020573,-0.00031557,0,0.0999841,0.70663,0.707674,0,0,-0.034358,1.00006
20,0,0.160156,0.00390625,0.999881,-0.00024813,-0.000379476,0,0.09998,0.706546,0.707802,0,0,-0.0413346,1.0001
21,0,0.167969,0.00390625,0.999851,-0.000297703,-0.000453697,0,0.0999751,0.706451,0.707954,0,0,-0.0494711,1.00014
22,0,0.175781,0.00390625,0.999816,-0.000355265,-0.000539203,0,0.0999692,0.706346,0.708135,0,0,-0.0588944,1.00019
23,0,0.183594,0.00390625,0.999773,-0.000421619,-0.000636872,0,0.099962,0.706232,0.708349,0,0,-0.0697283,1.00026
24,0,0.191406,0.00390625,0.999722,-0.0004975,-0.000747444,0,0.0999535,0.706108,0.708599,0,0,-0.0820873,1.00035
25,0,0.199219,0.00390625,0.999662,-0.0005835,-0.000871477,0,0.0999432,0.705977,0.708891,0,0,-0.0960687,1.00046
26,0,0.207031,0.00390625,0.99959,-0.000679995,-0.00100928,0,0.0999311,0.70584,0.709228,0,0,-0.111741,1.00061
27,0,0.214844,0.00390625,0.999505,-0.000787102,-0.00116078,0,0.0999168,0.705702,0.709615,0,0,-0.129131,1.00078
28,0,0.222656,0.00390625,0.999405,-0.00090464,-0.0013249,0,0.0999,0.705567,0.710056,0,0,-0.148208,1.001
29,0,0.230469,0.00390625,0.999291,-0.00103242,-0.00149891,0,0.0998807,0.705441,0.710554,0,0,-0.168878,1.00127
30,0,0.238281,0.00390625,0.999162,-0.00117133,-0.00167843,0,0.099859,0.705333,0.711114,0,0,-0.19099,1.00159
31,0,0.246094,0.00390625,0.999019,-0.00132172,-0.00185719,0,0.0998348,0.705254,0.711737,0,0,-0.214341,1.00197
32,0,0.253906,0.00390625,0.998867,-0.00147835,-0.0020226,0,0.0998092,0.705214,0.712428,0,0,-0.238665,1.00244
33,0,0.261719,0.00390625,0.998699,-0.00165476,-0.002192,0,0.0997808,0.70522,0.713185,0,0,-0.26361,1.00298
34,0,0.269531,0.00390625,0.998499,-0.00181684,-0.00234,0,0.0997471,0.705272,0.714009,0,0,-0.28867,1.0036
35,0,0.277344,0.00390625,0.998258,-0.00196893,-0.00249643,0,0.0997064,0.705363,0.714895,0,0,-0.312949,1.0043
36,0,0.285156,0.00390625,0.997949,-0.00208581,-0.00266024,0,0.0996546,0.705493,0.715834,0,0,-0.335631,1.00506
37,0,0.292969,0.00390625,0.997554,-0.00214244,-0.00283269,0,0.0995886,0.705653,0.716813,0,0,-0.354493,1.00587
38,0,0.300781,0.00390625,0.997096,-0.00214625,-0.00298966,0,0.0995122,0.705869,0.717826,0,0,-0.369555,1.00674
39,0,0.308594,0.00390625,0.996584,-0.00210447,-0.0030863,0,0.0994271,0.706184,0.718872,0,0,-0.375477,1.00771
40,0,0.316406,0.00390625,0.996066,-0.002018,-0.00309833,0,0.0993412,0.706572,0.719904,0,0,-0.370262,1.00871
41,0,0.324219,0.00390625,0.995593,-0.00189591,-0.00292406,0,0.0992632,0.707127,0.720982,0,0,-0.357766,1.00987
42,0,0.332031,0.00390625,0.99521,-0.00178951,-0.00250846,0,0.0992001,0.707971,0.722057,0,0,-0.319702,1.01123
43,0,0.339844,0.00390625,0.995011,-0.00157792,-0.0018509,0,0.099168,0.70898,0.723026,0,0,-0.226006,1.01263
44,0,0.347656,0.00390625,0.994815,-0.00126448,-0.00112099,0,0.0991362,0.710099,0.723987,0,0,-0.114805,1.0141
45,0,0.355469,0.00390625,0.994652,-0.000746337,-0.000275157,0,0.0991099,0.711378,0.725,0,0,0.00448016,1.01572
46,0,0.363281,0.00390625,0.995226,-0.000403307,0.00160058,0,0.0992106,0.71409,0.726024,0,0,0.1642,1.01835
47,0,0.371094,0.00390625,1.00039,-0.00350487,0.0092738,0,0.10027,0.721831,0.726716,0,0,0.398945,1.02428
48,0,0.378906,0.00390625,1.01248,-0.0111994,0.0251591,0,0.103261,0.736486,0.72732,0,0,0.651001,1.03509
49,0,0.386719,0.00390625,1.03158,-0.0232086,0.049269,0,0.108746,0.758183,0.727959,0,0,0.868639,1.05108
50,0,0.394531,0.00390625,1.05662,-0.0390312,0.0802572,0,0.116645,0.785178,0.729495,0,0,1.0245,1.07176
51,0,0.402344,0.00390625,1.08482,-0.0575694,0.115255,0,0.1261,0.814781,0.731903,0,0,1.10967,1.09524
52,0,0.410156,0.00390625,1.11244,-0.0762785,0.150024,0,0.136004,0.844743,0.733873,0,0,1.14035,1.119
53,0,0.417969,0.00390625,1.13966,-0.0911041,0.178634,0,0.145914,0.875254,0.733904,0,0,1.15563,1.14223
54,0,0.425781,0.00390625,1.16926,-0.097284,0.192073,0,0.156142,0.910799,0.727741,0,0,1.10894,1.16583
55,0,0.433594,0.00390625,1.20733,-0.0958819,0.186963,0,0.16845,0.953471,0.717733,0,0,0.997586,1.19342
56,0,0.441406,0.00390625,1.25489,-0.0887783,0.166678,0,0.182692,1.00252,0.704009,0,0,0.810807,1.22502
57,0,0.449219,0.00390625,1.30443,-0.0813735,0.142267,0,0.195526,1.05278,0.689392,0,0,0.550975,1.25842
58,0,0.457031,0.00390625,1.35441,-0.0669766,0.104178,0,0.210522,1.10558,0.672045,0,0,0.299532,1.29381
59,0,0.464844,0.00390625,1.40376,-0.0424179,0.0486161,0,0.228699,1.15966,0.6539,0,0,0.0875614,1.33132
60,0,0.472656,0.00390625,1.45036,-0.0115905,-0.0172226,0,0.248318,1.20981,0.640637,0,0,-0.109874,1.36896
61,0,0.480469,0.00390625,1.48892,0.0217168,-0.0845156,0,0.265812,1.24998,0.634418,0,0,-0.255835,1.40176
62,0,0.488281,0.00390625,1.51541,0.0550924,-0.148073,0,0.279553,1.27665,0.634749,0,0,-0.325737,1.42575
63,0,0.496094,0.00390625,1.53099,0.086041,-0.204758,0,0.2897,1.28853,0.640325,0,0,-0.336189,1.43886
64,0,0.503906,0.00390625,1.53559,0.115298,-0.253048,0,0.297272,1.28793,0.648203,0,0,-0.341341,1.44185
65,0,0.511719,0.00390625,1.52488,0.143201,-0.298862,0,0.297219,1.28152,0.655722,0,0,-0.369789,1.43954
66,0,0.519531,0.00390625,1.50768,0.17381,-0.350148,0,0.287424,1.27001,0.665805,0,0,-0.366297,1.43396
67,0,0.527344,0.00390625,1.49296,0.20235,-0.396374,0,0.276826,1.25121,0.67876,0,0,-0.291008,1.42346
68,0,0.535156,0.00390625,1.47758,0.225001,-0.429235,0,0.268906,1.2279,0.692372,0,0,-0.155305,1.40965
69,0,0.542969,0.00390625,1.46249,0.242137,-0.447011,0,0.262749,1.20466,0.705066,0,0,0.0235275,1.39583
70,0,0.550781,0.00390625,1.44759,0.252896,-0.452501,0,0.25744,1.18409,0.71588,0,0,0.217819,1.38367
71,0,0.558594,0.00390625,1.43198,0.258151,-0.446332,0,0.251804,1.16479,0.72779,0,0,0.412522,1.37346
72,0,0.566406,0.00390625,1.41696,0.25767,-0.428603,0,0.245813,1.1447,0.738199,0,0,0.619139,1.36208
