i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.999334,1.00227,0.497525,0,0.998937,1.00003,-0.00115836,0,-3.55282e-05,0.00104579,1.00003
1,0,0.0117188,0.00390625,0.999279,1.00245,0.497421,0,0.998812,0.999988,-0.00118024,0,-3.97919e-05,0.00118671,0.999988
2,0,0.0195312,0.00390625,0.999224,1.00263,0.497313,0,0.998689,0.999942,-0.00120458,0,-4.41548e-05,0.00133012,0.999943
3,0,0.0273438,0.00390625,0.999168,1.00281,0.497202,0,0.99857,0.999894,-0.00123062,0,-4.86041e-05,0.0014757,0.999894
4,0,0.0351562,0.00390625,0.999116,1.00299,0.497089,0,0.998459,0.999843,-0.0012574,0,-5.3128e-05,0.00162319,0.999844
5,0,0.0429688,0.00390625,0.999071,1.00315,0.496977,0,0.99836,0.999789,-0.0012838,0,-5.7717e-05,0.00177243,0.99979
6,0,0.0507812,0.00390625,0.999034,1.00331,0.496867,0,0.99828,0.999733,-0.00130845,0,-6.23651e-05,0.00192339,0.999733
7,0,0.0585938,0.00390625,0.999011,1.00344,0.496761,0,0.998223,0.999672,-0.00132977,0,-6.70705e-05,0.00207616,0.999673
8,0,0.0664062,0.00390625,0.999005,1.00356,0.496664,0,0.998197,0.999608,-0.00134595,0,-7.18375e-05,0.00223102,0.999609
9,0,0.0742188,0.00390625,0.999021,1.00364,0.496576,0,0.998208,0.99954,-0.00135492,0,-7.66763e-05,0.00238839,0.999541
10,0,0.0820312,0.00390625,0.999062,1.00369,0.496503,0,0.998264,0.999467,-0.00135439,0,-8.16044e-05,0.00254884,0.999468
11,0,0.0898438,0.00390625,0.999134,1.0037,0.496446,0,0.99837,0.999389,-0.00134187,0,-8.66466e-05,0.00271309,0.99939
12,0,0.0976562,0.00390625,0.99924,1.00365,0.49641,0,0.998535,0.999305,-0.00131464,0,-9.18345e-05,0.00288196,0.999306
13,0,0.105469,0.00390625,0.999384,1.00356,0.496398,0,0.998764,0.999216,-0.00126986,0,-9.72042e-05,0.00305617,0.999217
14,0,0.113281,0.00390625,0.999569,1.0034,0.496415,0,0.999063,0.999121,-0.00120454,0,-0.000102794,0.00323634,0.999122
15,0,0.121094,0.00390625,0.999798,1.00318,0.496463,0,0.999434,0.99902,-0.00111565,0,-0.000108642,0.00342283,0.999021
16,0,0.128906,0.00390625,1.00007,1.0029,0.496546,0,0.99988,0.998912,-0.0010002,0,-0.000114779,0.0036156,0.998913
17,0,0.136719,0.00390625,1.00039,1.00255,0.496667,0,1.0004,0.998798,-0.000855268,0,-0.000121227,0.00381395,0.998798
18,0,0.144531,0.00390625,1.00075,1.00213,0.496829,0,1.00099,0.998676,-0.000678141,0,-0.000127987,0.00401628,0.998676
19,0,0.152344,0.00390625,1.00115,1.00166,0.497034,0,1.00164,0.998548,-0.000466392,0,-0.000135033,0.00421994,0.998548
20,0,0.160156,0.00390625,1.00158,1.00112,0.497284,0,1.00236,0.998413,-0.000217964,0,-0.000142304,0.004421,0.998413
21,0,0.167969,0.00390625,1.00204,1.00055,0.497579,0,1.00311,0.998272,6.87267e-05,0,-0.000149698,0.00461422,0.998272
22,0,0.175781,0.00390625,1.00252,0.999929,0.497919,0,1.0039,0.998125,0.000394699,0,-0.000157064,0.00479298,0.998125
23,0,0.183594,0.00390625,1.00301,0.999287,0.498304,0,1.0047,0.997973,0.000760304,0,-0.000164197,0.00494922,0.997974
24,0,0.191406,0.00390625,1.00349,0.998632,0.498733,0,1.00549,0.997818,0.00116509,0,-0.000170844,0.00507387,0.997819
25,0,0.199219,0.00390625,1.00396,0.997977,0.499202,0,1.00627,0.997661,0.00160765,0,-0.000176705,0.00515719,0.997662
26,0,0.207031,0.00390625,1.00442,0.997336,0.499708,0,1.00701,0.997503,0.00208548,0,-0.000181449,0.00518978,0.997505
27,0,0.214844,0.00390625,1.00484,0.99672,0.500245,0,1.0077,0.997347,0.00259487,0,-0.000184733,0.00516259,0.997351
28,0,0.222656,0.00390625,1.00522,0.996141,0.500808,0,1.00833,0.997196,0.0031308,0,-0.000186216,0.00506796,0.997201
29,0,0.230469,0.00390625,1.00555,0.995609,0.501389,0,1.00888,0.997052,0.00368696,0,-0.000185578,0.00489979,0.997059
30,0,0.238281,0.00390625,1.00584,0.995133,0.50198,0,1.00934,0.996918,0.00425571,0,-0.000182546,0.00465436,0.996927
31,0,0.246094,0.00390625,1.00607,0.994717,0.502571,0,1.00971,0.996798,0.00482816,0,-0.000176909,0.00433082,0.99681
32,0,0.253906,0.00390625,1.00624,0.994367,0.503152,0,1.00999,0.996695,0.00539434,0,-0.000168546,0.00393163,0.996709
33,0,0.261719,0.00390625,1.00635,0.994085,0.50371,0,1.01017,0.996611,0.0059434,0,-0.000157433,0.0034626,0.996629
34,0,0.269531,0.00390625,1.0064,0.993871,0.504235,0,1.01026,0.99655,0.00646392,0,-0.000143659,0.00293276,0.996571
35,0,0.277344,0.00390625,1.0064,0.993725,0.504714,0,1.01026,0.996516,0.00694436,0,-0.00012742,0.00235388,0.99654
36,0,0.285156,0.00390625,1.00635,0.993645,0.505137,0,1.01017,0.996509,0.00737354,0,-0.000109016,0.00173965,0.996536
37,0,0.292969,0.00390625,1.00625,0.993627,0.505492,0,1.01001,0.996532,0.00774109,0,-8.88286e-05,0.00110487,0.996562
38,0,0.300781,0.00390625,1.00611,0.993665,0.50577,0,1.00978,0.996586,0.00803796,0,-6.7306e-05,0.000465078,0.996618
39,0,0.308594,0.00390625,1.00593,0.993755,0.505965,0,1.00949,0.996672,0.00825682,0,-4.49344e-05,-0.000164953,0.996706
40,0,0.316406,0.00390625,1.00571,0.993889,0.506071,0,1.00915,0.996789,0.00839236,0,-2.22133e-05,-0.000771431,0.996825
41,0,0.324219,0.00390625,1.00548,0.994062,0.506085,0,1.00878,0.996938,0.00844148,0,3.62725e-07,-0.00134203,0.996974
42,0,0.332031,0.00390625,1.00522,0.994266,0.506007,0,1.00837,0.997117,0.00840338,0,2.23221e-05,-0.00186638,0.997153
43,0,0.339844,0.00390625,1.00494,0.994495,0.505838,0,1.00794,0.997324,0.00827947,0,4.32324e-05,-0.00233596,0.997359
44,0,0.347656,0.00390625,1.00466,0.994741,0.505583,0,1.0075,0.997558,0.00807328,0,6.27154e-05,-0.00274447,0.99759
45,0,0.355469,0.00390625,1.00437,0.994999,0.505247,0,1.00706,0.997814,0.00779016,0,8.04554e-05,-0.00308776,0.997844
46,0,0.363281,0.00390625,1.00408,0.995262,0.504838,0,1.00662,0.998091,0.00743706,0,9.62048e-05,-0.00336375,0.998118
47,0,0.371094,0.00390625,1.0038,0.995526,0.504365,0,1.00619,0.998384,0.00702219,0,0.000109787,-0.00357237,0.998409
48,0,0.378906,0.00390625,1.00352,0.995785,0.503838,0,1.00577,0.998691,0.00655465,0,0.000121094,-0.00371534,0.998712
49,0,0.386719,0.00390625,1.00326,0.996037,0.503267,0,1.00537,0.999007,0.00604415,0,0.00013009,-0.00379601,0.999025
50,0,0.394531,0.00390625,1.003,0.996279,0.502664,0,1.00499,0.999329,0.00550066,0,0.0001368,-0.0038191,0.999344
51,0,0.402344,0.00390625,1.00276,0.996507,0.502039,0,1.00463,0.999654,0.00493411,0,0.000141308,-0.00379044,0.999666
52,0,0.410156,0.00390625,1.00253,0.996721,0.501403,0,1.0043,0.999978,0.00435411,0,0.000143748,-0.00371668,0.999987
53,0,0.417969,0.00390625,1.00232,0.996919,0.500766,0,1.004,1.0003,0.00376972,0,0.000144294,-0.003605,1.0003
54,0,0.425781,0.00390625,1.00212,0.997102,0.500137,0,1.00372,1.00061,0.00318927,0,0.000143154,-0.00346282,1.00061
55,0,0.433594,0.00390625,1.00193,0.997268,0.499525,0,1.00346,1.00091,0.00262018,0,0.000140555,-0.00329749,1.00092
56,0,0.441406,0.00390625,1.00176,0.99742,0.498937,0,1.00323,1.0012,0.00206884,0,0.000136736,-0.00311608,1.0012
57,0,0.449219,0.00390625,1.0016,0.997556,0.498378,0,1.00302,1.00148,0.00154057,0,0.000131936,-0.00292513,1.00148
58,0,0.457031,0.00390625,1.00146,0.99768,0.497854,0,1.00283,1.00174,0.00103961,0,0.000126391,-0.00273054,1.00174
59,0,0.464844,0.00390625,1.00132,0.997791,0.497368,0,1.00266,1.00198,0.000569097,0,0.000120318,-0.00253739,1.00198
60,0,0.472656,0.00390625,1.0012,0.997892,0.496923,0,1.0025,1.0022,0.000131159,0,0.00011392,-0.00234993,1.0022
61,0,0.480469,0.00390625,1.00109,0.997983,0.496521,0,1.00237,1.00241,-0.000273011,0,0.000107374,-0.00217157,1.00241
