i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.0078125,0.0078125,0.998918,1.00224,0.498155,0,0.998174,0.999579,-0.00116746,0,-4.01449e-05,0.000623822,0.99958
1,0,0.0234375,0.0078125,0.998827,1.00264,0.49785,0,0.997981,0.999552,-0.00119237,0,-5.14697e-05,0.00104489,0.999553
2,0,0.0390625,0.0078125,0.998746,1.00305,0.497515,0,0.997813,0.999529,-0.0012174,0,-6.24787e-05,0.00148896,0.99953
3,0,0.0546875,0.0078125,0.998703,1.00343,0.497172,0,0.997703,0.999508,-0.00123138,0,-7.31102e-05,0.00202936,0.999508
4,0,0.0703125,0.0078125,0.998731,1.00378,0.496826,0,0.997737,0.999484,-0.00122182,0,-8.16085e-05,0.00248341,0.999485
5,0,0.0859375,0.0078125,0.998894,1.00399,0.496552,0,0.997982,0.999454,-0.00117183,0,-9.4257e-05,0.00345824,0.999455
6,0,0.101562,0.0078125,0.99914,1.00398,0.496264,0,0.998359,0.999413,-0.00109751,0,-0.000104624,0.00328609,0.999413
7,0,0.117188,0.0078125,0.999656,1.00378,0.496163,0,0.999202,0.999363,-0.00089098,0,-0.000121383,0.00561243,0.999363
8,0,0.132812,0.0078125,1.00042,1.00322,0.496212,0,1.00045,0.999276,-0.000608423,0,-0.000128097,0.00547911,0.999276
9,0,0.148438,0.0078125,1.00139,1.00236,0.496401,0,1.00203,0.999155,-0.000206808,0,-0.000143555,0.00639558,0.999155
10,0,0.164062,0.0078125,1.00253,1.00123,0.496797,0,1.0039,0.998993,0.000341521,0,-0.000163305,0.00749885,0.998993
11,0,0.179688,0.0078125,1.00376,0.999931,0.497396,0,1.00591,0.998783,0.00102933,0,-0.00018415,0.00833757,0.998783
12,0,0.195312,0.0078125,1.00495,0.998599,0.49818,0,1.00783,0.998522,0.00185071,0,-0.000205704,0.00896219,0.998523
13,0,0.210938,0.0078125,1.00597,0.997364,0.499148,0,1.0095,0.998222,0.0027931,0,-0.000218383,0.00922645,0.998226
14,0,0.226562,0.0078125,1.00676,0.996323,0.500238,0,1.01076,0.997896,0.00382427,0,-0.000217348,0.0082713,0.997903
15,0,0.242188,0.0078125,1.00726,0.995529,0.501404,0,1.01156,0.997567,0.00490602,0,-0.000201503,0.00699968,0.997579
16,0,0.257812,0.0078125,1.00754,0.994961,0.502546,0,1.01194,0.997263,0.00595856,0,-0.000170785,0.00514924,0.99728
17,0,0.273438,0.0078125,1.00739,0.994646,0.503646,0,1.01167,0.99702,0.00693698,0,-0.000112206,0.00240211,0.997044
18,0,0.289062,0.0078125,1.00702,0.994685,0.504508,0,1.01102,0.99686,0.00768211,0,-5.83605e-05,0.000278995,0.99689
19,0,0.304688,0.0078125,1.00649,0.994812,0.505149,0,1.01015,0.996806,0.00826324,0,1.53227e-05,-0.00241566,0.996841
20,0,0.320312,0.0078125,1.00578,0.995105,0.505509,0,1.009,0.996877,0.00841181,0,9.8705e-05,-0.00626284,0.996912
21,0,0.335938,0.0078125,1.00503,0.995411,0.505402,0,1.00781,0.997088,0.00828213,0,0.000158462,-0.00806848,0.997122
22,0,0.351562,0.0078125,1.00425,0.995744,0.505055,0,1.00661,0.997437,0.00788295,0,0.000210776,-0.00952734,0.997469
23,0,0.367188,0.0078125,1.00351,0.99609,0.504388,0,1.00548,0.997909,0.00717109,0,0.000238599,-0.00961678,0.997935
24,0,0.382812,0.0078125,1.00285,0.996421,0.503476,0,1.0045,0.998475,0.00623199,0,0.000247282,-0.00929458,0.998494
25,0,0.398438,0.0078125,1.00231,0.996725,0.502395,0,1.00371,0.999109,0.00514804,0,0.000238993,-0.00844664,0.999122
26,0,0.414062,0.0078125,1.00187,0.996983,0.501222,0,1.00308,0.999781,0.00399554,0,0.000214854,-0.00705481,0.999789
27,0,0.429688,0.0078125,1.0015,0.997188,0.500023,0,1.00261,1.00046,0.00283626,0,0.000179417,-0.00526722,1.00047
28,0,0.445312,0.0078125,1.0012,0.997331,0.498869,0,1.00225,1.00112,0.00173672,0,0.000138513,-0.0034085,1.00112
29,0,0.460938,0.0078125,1.00093,0.997422,0.497808,0,1.00198,1.00173,0.00074357,0,9.67054e-05,-0.00171346,1.00173
30,0,0.476562,0.0078125,1.00069,0.997472,0.496869,0,1.00175,1.00227,-0.000114886,0,5.66526e-05,-0.00028353,1.00227
31,0,0.492188,0.0078125,1.00049,0.99749,0.496069,0,1.00156,1.00272,-0.000821533,0,2.12143e-05,0.000809484,1.00272
32,0,0.507812,0.0078125,1.00033,0.997505,0.495422,0,1.00139,1.00308,-0.00137718,0,-6.23607e-06,0.0015145,1.00308
33,0,0.523438,0.0078125,1.0002,0.997549,0.494937,0,1.00126,1.00334,-0.00180755,0,-2.63741e-05,0.00194245,1.00335
34,0,0.539062,0.0078125,1.00007,0.997643,0.494617,0,1.00117,1.00352,-0.00213397,0,-3.92248e-05,0.00222434,1.00352
35,0,0.554688,0.0078125,0.999948,0.997797,0.494432,0,1.0011,1.00361,-0.00238539,0,-3.98791e-05,0.00194034,1.00361
