i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1.00027,1.00057,0.499585,0,1.00046,1.0012,-0.000138182,0,0,-2.12602e-08,1.0012
1,0,0.0117188,0.00390625,1.00037,1.00063,0.499474,0,1.00061,1.00123,-0.000123474,0,0,-1.3569e-08,1.00123
2,0,0.0195312,0.00390625,1.00046,1.00069,0.499358,0,1.00078,1.00127,-0.000106066,0,0,-1.42865e-08,1.00127
3,0,0.0273438,0.00390625,1.00057,1.00075,0.499236,0,1.00095,1.00131,-8.58634e-05,0,0,-1.4969e-08,1.00131
4,0,0.0351562,0.00390625,1.00068,1.00081,0.499109,0,1.00113,1.00135,-6.28174e-05,0,0,-1.56149e-08,1.00135
5,0,0.0429688,0.00390625,1.00079,1.00088,0.498976,0,1.00132,1.0014,-3.68304e-05,0,0,-1.62224e-08,1.0014
6,0,0.0507812,0.00390625,1.00092,1.00095,0.498839,0,1.00153,1.00144,-7.9448e-06,0,0,-1.67904e-08,1.00144
7,0,0.0585938,0.00390625,1.00105,1.00102,0.498698,0,1.00175,1.00148,2.34662e-05,0,0,-1.73172e-08,1.00148
8,0,0.0664062,0.00390625,1.00118,1.00109,0.498553,0,1.00198,1.00152,5.75153e-05,0,0,-1.78018e-08,1.00152
9,0,0.0742188,0.00390625,1.00133,1.00116,0.498404,0,1.00222,1.00156,9.41795e-05,0,0,-1.82428e-08,1.00156
10,0,0.0820312,0.00390625,1.00148,1.00122,0.498254,0,1.00247,1.0016,0.000133149,0,0,-1.86394e-08,1.0016
11,0,0.0898438,0.00390625,1.00164,1.00129,0.498102,0,1.00274,1.00163,0.000174285,0,0,-1.89904e-08,1.00163
12,0,0.0976562,0.00390625,1.00181,1.00135,0.49795,0,1.00303,1.00166,0.000216822,0,0,-1.92951e-08,1.00166
13,0,0.105469,0.00390625,1.00199,1.0014,0.497798,0,1.00332,1.00168,0.000260431,0,0,-1.95527e-08,1.00168
14,0,0.113281,0.00390625,1.00218,1.00145,0.497647,0,1.00363,1.00169,0.000304701,0,0,-1.97627e-08,1.00169
15,0,0.121094,0.00390625,1.00237,1.00149,0.497499,0,1.00395,1.0017,0.000348976,0,0,-1.99244e-08,1.0017
16,0,0.128906,0.00390625,1.00257,1.00152,0.497353,0,1.00428,1.0017,0.000393142,0,0,-2.00376e-08,1.0017
17,0,0.136719,0.00390625,1.00277,1.00155,0.497211,0,1.00461,1.00168,0.000435864,0,0,-2.0102e-08,1.00168
18,0,0.144531,0.00390625,1.00297,1.00158,0.497075,0,1.00495,1.00166,0.00047628,0,0,-2.01174e-08,1.00166
19,0,0.152344,0.00390625,1.00317,1.00159,0.496945,0,1.00528,1.00162,0.000516196,0,0,-2.00839e-08,1.00162
20,0,0.160156,0.00390625,1.00337,1.00161,0.496821,0,1.00561,1.00157,0.000553195,0,0,-2.00014e-08,1.00157
21,0,0.167969,0.00390625,1.00356,1.00162,0.496706,0,1.00592,1.0015,0.000588653,0,0,-1.98703e-08,1.0015
22,0,0.175781,0.00390625,1.00373,1.00163,0.496601,0,1.00622,1.00142,0.000622296,0,0,-1.96908e-08,1.00142
23,0,0.183594,0.00390625,1.00389,1.00165,0.496507,0,1.00649,1.00132,0.000654777,0,0,-1.94634e-08,1.00132
24,0,0.191406,0.00390625,1.00404,1.00167,0.496426,0,1.00672,1.0012,0.000687237,0,0,-1.91886e-08,1.0012
25,0,0.199219,0.00390625,1.00416,1.00169,0.496359,0,1.00692,1.00108,0.000721497,0,0,-1.88672e-08,1.00108
26,0,0.207031,0.00390625,1.00425,1.00172,0.496306,0,1.00708,1.00093,0.000759512,0,0,-1.84999e-08,1.00093
27,0,0.214844,0.00390625,1.00432,1.00176,0.496271,0,1.0072,1.00078,0.000803043,0,0,-1.80877e-08,1.00078
28,0,0.222656,0.00390625,1.00437,1.0018,0.496255,0,1.00728,1.00061,0.000854774,0,0,-1.76314e-08,1.00061
29,0,0.230469,0.00390625,1.00439,1.00183,0.496256,0,1.0073,1.00044,0.000919238,0,0,-1.71324e-08,1.00044
30,0,0.238281,0.00390625,1.00437,1.00186,0.496271,0,1.00728,1.00026,0.000998455,0,0,-1.65917e-08,1.00026
31,0,0.246094,0.00390625,1.00434,1.00189,0.496306,0,1.00722,1.00009,0.00108812,0,0,-1.60106e-08,1.00009
32,0,0.253906,0.00390625,1.00428,1.00192,0.496355,0,1.00712,0.999911,0.00119714,0,0,-1.53908e-08,0.999911
33,0,0.261719,0.00390625,1.00419,1.00193,0.496416,0,1.00698,0.999742,0.00132699,0,0,-1.47335e-08,0.999743
34,0,0.269531,0.00390625,1.00408,1.00192,0.496489,0,1.00679,0.999583,0.00147628,0,0,-1.40404e-08,0.999584
35,0,0.277344,0.00390625,1.00395,1.0019,0.496568,0,1.00657,0.999438,0.00164359,0,0,-1.33133e-08,0.999439
36,0,0.285156,0.00390625,1.00379,1.00185,0.496649,0,1.00631,0.999309,0.00182695,0,0,-1.25538e-08,0.999311
37,0,0.292969,0.00390625,1.00361,1.00177,0.496731,0,1.00602,0.999201,0.00202191,0,0,-1.17639e-08,0.999203
38,0,0.300781,0.00390625,1.00342,1.00166,0.49681,0,1.0057,0.999116,0.00222645,0,0,-1.09454e-08,0.999118
39,0,0.308594,0.00390625,1.00321,1.00153,0.496881,0,1.00535,0.999056,0.00243577,0,0,-1.01003e-08,0.999059
40,0,0.316406,0.00390625,1.00299,1.00137,0.49694,0,1.00499,0.999021,0.00264422,0,0,-9.23072e-09,0.999025
41,0,0.324219,0.00390625,1.00276,1.00117,0.496982,0,1.00462,0.999016,0.00284591,0,0,-8.33871e-09,0.99902
42,0,0.332031,0.00390625,1.00252,1.00096,0.497015,0,1.00422,0.999037,0.0030388,0,0,-7.42643e-09,0.999041
43,0,0.339844,0.00390625,1.00228,1.00072,0.497019,0,1.00382,0.999085,0.00321688,0,0,-6.49611e-09,0.999091
44,0,0.347656,0.00390625,1.00203,1.00046,0.497009,0,1.00342,0.99916,0.00337237,0,0,-5.54998e-09,0.999165
45,0,0.355469,0.00390625,1.00179,1.00018,0.496984,0,1.00302,0.999258,0.00350222,0,0,-4.59035e-09,0.999264
46,0,0.363281,0.00390625,1.00155,0.999891,0.496948,0,1.00262,0.999377,0.00360023,0,0,-3.61952e-09,0.999384
47,0,0.371094,0.00390625,1.00132,0.999592,0.496898,0,1.00224,0.999513,0.00366996,0,0,-2.63985e-09,0.99952
48,0,0.378906,0.00390625,1.0011,0.999289,0.496851,0,1.00188,0.999666,0.0036961,0,0,-1.65367e-09,0.999673
