i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1.00065,1.00094,0.499154,0,1.00089,1.00182,-0.000491732,0,0.000408671,-0.0108269,1.00182
1,0,0.0117188,0.00390625,1.00072,1.001,0.499095,0,1.00098,1.00176,-0.000501045,0,0.000411443,-0.0108935,1.00176
2,0,0.0195312,0.00390625,1.00078,1.00106,0.499033,0,1.00107,1.00171,-0.000508803,0,0.00041353,-0.0109407,1.00171
3,0,0.0273438,0.00390625,1.00085,1.00113,0.498969,0,1.00117,1.00165,-0.000514924,0,0.000414948,-0.0109688,1.00165
4,0,0.0351562,0.00390625,1.00092,1.00119,0.498903,0,1.00128,1.00159,-0.000519301,0,0.000415715,-0.0109781,1.00159
5,0,0.0429688,0.00390625,1.001,1.00125,0.498835,0,1.00139,1.00153,-0.000521799,0,0.000415848,-0.0109692,1.00153
6,0,0.0507812,0.00390625,1.00107,1.00131,0.498765,0,1.0015,1.00147,-0.000522263,0,0.000415366,-0.0109424,1.00147
7,0,0.0585938,0.00390625,1.00115,1.00136,0.498694,0,1.00163,1.0014,-0.000520507,0,0.000414283,-0.0108981,1.0014
8,0,0.0664062,0.00390625,1.00124,1.00141,0.498623,0,1.00177,1.00133,-0.000516319,0,0.00041261,-0.0108363,1.00133
9,0,0.0742188,0.00390625,1.00133,1.00146,0.49855,0,1.00191,1.00126,-0.000509465,0,0.000410352,-0.0107572,1.00126
10,0,0.0820312,0.00390625,1.00142,1.00149,0.498478,0,1.00207,1.00119,-0.000499688,0,0.000407507,-0.0106606,1.00119
11,0,0.0898438,0.00390625,1.00153,1.00152,0.498405,0,1.00224,1.00112,-0.000486718,0,0.000404061,-0.0105461,1.00112
12,0,0.0976562,0.00390625,1.00163,1.00153,0.498332,0,1.00242,1.00104,-0.000470275,0,0.000399992,-0.0104132,1.00104
13,0,0.105469,0.00390625,1.00175,1.00154,0.49826,0,1.00261,1.00096,-0.000450075,0,0.000395263,-0.0102612,1.00096
14,0,0.113281,0.00390625,1.00186,1.00153,0.498188,0,1.00282,1.00088,-0.000425828,0,0.000389828,-0.010089,1.00088
15,0,0.121094,0.00390625,1.00199,1.00151,0.498117,0,1.00303,1.00079,-0.000397245,0,0.00038363,-0.0098958,1.00079
16,0,0.128906,0.00390625,1.00212,1.00148,0.498046,0,1.00325,1.0007,-0.000364027,0,0.000376603,-0.0096805,1.0007
17,0,0.136719,0.00390625,1.00225,1.00143,0.497976,0,1.00348,1.0006,-0.000325862,0,0.000368677,-0.00944229,1.0006
18,0,0.144531,0.00390625,1.00238,1.00137,0.497907,0,1.00371,1.00051,-0.000282408,0,0.000359782,-0.00918057,1.00051
19,0,0.152344,0.00390625,1.00251,1.00131,0.497839,0,1.00394,1.0004,-0.000233282,0,0.000349853,-0.00889517,1.0004
20,0,0.160156,0.00390625,1.00264,1.00123,0.497773,0,1.00416,1.0003,-0.000178034,0,0.000338839,-0.00858646,1.0003
21,0,0.167969,0.00390625,1.00276,1.00115,0.497707,0,1.00438,1.00019,-0.000116136,0,0.000326707,-0.00825551,1.00019
22,0,0.175781,0.00390625,1.00287,1.00107,0.497643,0,1.00458,1.00008,-4.69619e-05,0,0.000313451,-0.00790412,1.00008
23,0,0.183594,0.00390625,1.00297,1.00098,0.497582,0,1.00476,0.999963,3.02084e-05,0,0.000299098,-0.00753492,0.999963
24,0,0.191406,0.00390625,1.00305,1.0009,0.497524,0,1.00491,0.999846,0.000116184,0,0.000283712,-0.00715135,0.999847
25,0,0.199219,0.00390625,1.00312,1.00082,0.49747,0,1.00504,0.999728,0.000211834,0,0.000267395,-0.00675758,0.999728
26,0,0.207031,0.00390625,1.00317,1.00074,0.497422,0,1.00514,0.999609,0.000318035,0,0.00025029,-0.00635841,0.999609
27,0,0.214844,0.00390625,1.0032,1.00067,0.49738,0,1.00521,0.999491,0.000435602,0,0.000232579,-0.00595907,0.999491
