i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.998565,1.0004,0.499955,0,0.998247,0.998392,-0.00112343,0,-0.0023371,-0.0014177,0.998393
1,0,0.0117188,0.00390625,0.998705,1.0005,0.499745,0,0.998385,0.998404,-0.00104468,0,-0.00256977,-0.000922159,0.998404
2,0,0.0195312,0.00390625,0.998855,1.0006,0.499512,0,0.998545,0.998421,-0.000948199,0,-0.00282205,-0.000307728,0.998422
3,0,0.0273438,0.00390625,0.999018,1.00072,0.499258,0,0.99873,0.998446,-0.000832168,0,-0.00309503,0.000438799,0.998446
4,0,0.0351562,0.00390625,0.999195,1.00085,0.49898,0,0.998942,0.998478,-0.000694463,0,-0.00339015,0.00133421,0.998478
5,0,0.0429688,0.00390625,0.99939,1.00098,0.49868,0,0.999187,0.998519,-0.000532819,0,-0.00370755,0.00235458,0.998519
6,0,0.0507812,0.00390625,0.999606,1.00113,0.498356,0,0.999467,0.998569,-0.000346154,0,-0.00404846,0.00355513,0.998569
7,0,0.0585938,0.00390625,0.999845,1.00128,0.49801,0,0.999786,0.99863,-0.000131905,0,-0.00441278,0.00488931,0.99863
8,0,0.0664062,0.00390625,1.00011,1.00144,0.497642,0,1.00015,0.998703,0.00011098,0,-0.00480097,0.00641311,0.998703
9,0,0.0742188,0.00390625,1.0004,1.0016,0.497253,0,1.00055,0.998789,0.000383571,0,-0.00521239,0.00808352,0.998789
10,0,0.0820312,0.00390625,1.00072,1.00176,0.496847,0,1.00101,0.998888,0.000687273,0,-0.00564614,0.00989535,0.998889
11,0,0.0898438,0.00390625,1.00107,1.00193,0.496424,0,1.00151,0.999003,0.00102181,0,-0.00610127,0.0118638,0.999003
12,0,0.0976562,0.00390625,1.00146,1.0021,0.495987,0,1.00206,0.999132,0.0013875,0,-0.0065757,0.0139457,0.999133
13,0,0.105469,0.00390625,1.00188,1.00226,0.49554,0,1.00267,0.999278,0.00178329,0,-0.00706741,0.0161739,0.999279
14,0,0.113281,0.00390625,1.00234,1.00242,0.495086,0,1.00332,0.99944,0.00220713,0,-0.0075738,0.0185551,0.999442
15,0,0.121094,0.00390625,1.00282,1.00258,0.494628,0,1.00402,0.999618,0.0026561,0,-0.00809117,0.0210323,0.999622
16,0,0.128906,0.00390625,1.00333,1.00274,0.49417,0,1.00475,0.999814,0.00312646,0,-0.00861528,0.0235247,0.999819
17,0,0.136719,0.00390625,1.00386,1.00291,0.493716,0,1.0055,1.00003,0.00361257,0,-0.00914119,0.0259833,1.00003
18,0,0.144531,0.00390625,1.0044,1.00309,0.493269,0,1.00627,1.00026,0.00410886,0,-0.00966318,0.0282845,1.00026
19,0,0.152344,0.00390625,1.00495,1.00328,0.492834,0,1.00704,1.0005,0.00460901,0,-0.0101752,0.0304111,1.00051
20,0,0.160156,0.00390625,1.00549,1.00348,0.492416,0,1.0078,1.00075,0.00510571,0,-0.010671,0.0323731,1.00076
21,0,0.167969,0.00390625,1.00601,1.00371,0.492024,0,1.00852,1.00101,0.00559064,0,-0.0111443,0.0341305,1.00103
22,0,0.175781,0.00390625,1.00651,1.00397,0.491662,0,1.0092,1.00128,0.00605401,0,-0.0115872,0.0357992,1.0013
23,0,0.183594,0.00390625,1.00697,1.00427,0.491337,0,1.00981,1.00156,0.00648755,0,-0.0119907,0.0372089,1.00158
24,0,0.191406,0.00390625,1.00739,1.0046,0.491056,0,1.01034,1.00184,0.00688531,0,-0.0123478,0.0383142,1.00186
25,0,0.199219,0.00390625,1.00776,1.00495,0.490825,0,1.0108,1.00212,0.00724049,0,-0.0126503,0.0391724,1.00215
26,0,0.207031,0.00390625,1.00806,1.00534,0.49065,0,1.01116,1.0024,0.00754424,0,-0.0128903,0.0397229,1.00243
27,0,0.214844,0.00390625,1.00832,1.00575,0.490546,0,1.01144,1.00268,0.00778836,0,-0.0130592,0.0398822,1.00271
28,0,0.222656,0.00390625,1.00855,1.00619,0.490527,0,1.01164,1.00295,0.00796309,0,-0.013146,0.0388103,1.00298
29,0,0.230469,0.00390625,1.00873,1.00664,0.490581,0,1.01177,1.00322,0.00807239,0,-0.0131465,0.0386139,1.00325
30,0,0.238281,0.00390625,1.00882,1.00706,0.490758,0,1.01179,1.00347,0.008077,0,-0.0130511,0.037813,1.00351
31,0,0.246094,0.00390625,1.00887,1.00749,0.491011,0,1.01176,1.00371,0.00802338,0,-0.0128557,0.0358619,1.00374
32,0,0.253906,0.00390625,1.0089,1.00789,0.491368,0,1.01168,1.00394,0.00788329,0,-0.0125594,0.0338115,1.00397
33,0,0.261719,0.00390625,1.00891,1.00826,0.491835,0,1.01157,1.00414,0.00764835,0,-0.0121565,0.0317051,1.00417
34,0,0.269531,0.00390625,1.00889,1.0086,0.492412,0,1.01143,1.00433,0.00731613,0,-0.0116437,0.0290055,1.00436
35,0,0.277344,0.00390625,1.00885,1.00889,0.493093,0,1.01127,1.00451,0.00688982,0,-0.0110199,0.0264729,1.00453
36,0,0.285156,0.00390625,1.0088,1.00912,0.49387,0,1.01112,1.00466,0.00636967,0,-0.0102855,0.0235616,1.00468
37,0,0.292969,0.00390625,1.00874,1.0093,0.494736,0,1.01097,1.0048,0.00575613,0,-0.00944356,0.0205205,1.00482
38,0,0.300781,0.00390625,1.00869,1.00942,0.495679,0,1.01085,1.00492,0.00505157,0,-0.00849857,0.0174275,1.00494
39,0,0.308594,0.00390625,1.00866,1.00948,0.496687,0,1.01077,1.00503,0.0042611,0,-0.00745758,0.0142197,1.00504
40,0,0.316406,0.00390625,1.00864,1.00948,0.497741,0,1.01072,1.00513,0.00339103,0,-0.00632874,0.0110757,1.00513
41,0,0.324219,0.00390625,1.00865,1.00943,0.498839,0,1.01071,1.00521,0.00246053,0,-0.00511852,0.00784711,1.00521
42,0,0.332031,0.00390625,1.00867,1.00933,0.499946,0,1.01076,1.00528,0.00146828,0,-0.0038418,0.00486959,1.00528
43,0,0.339844,0.00390625,1.0087,1.00916,0.501049,0,1.01085,1.00533,0.000431154,0,-0.00250991,0.00183847,1.00533
44,0,0.347656,0.00390625,1.00875,1.00894,0.502134,0,1.01098,1.00538,-0.000633302,0,-0.00113861,-0.00119534,1.00538
45,0,0.355469,0.00390625,1.00881,1.00866,0.50318,0,1.01113,1.00542,-0.00170968,0,0.000258184,-0.00422688,1.00542
46,0,0.363281,0.00390625,1.00888,1.00834,0.504164,0,1.0113,1.00545,-0.00278214,0,0.00166145,-0.00703008,1.00545
47,0,0.371094,0.00390625,1.00894,1.00795,0.505067,0,1.01147,1.00547,-0.00382681,0,0.00305531,-0.00986238,1.00548
48,0,0.378906,0.00390625,1.00898,1.00751,0.505869,0,1.01162,1.00548,-0.00481981,0,0.00442068,-0.0125553,1.00549
49,0,0.386719,0.00390625,1.009,1.00702,0.506555,0,1.01175,1.00547,-0.00573991,0,0.00574321,-0.0151676,1.00549
50,0,0.394531,0.00390625,1.00899,1.00647,0.507105,0,1.01181,1.00546,-0.00656886,0,0.00700796,-0.0174857,1.00548
51,0,0.402344,0.00390625,1.00891,1.00583,0.507496,0,1.01177,1.00542,-0.00728414,0,0.00820043,-0.0197029,1.00545
52,0,0.410156,0.00390625,1.00874,1.00512,0.507725,0,1.01161,1.00537,-0.00786525,0,0.00930792,-0.0221403,1.0054
53,0,0.417969,0.00390625,1.00848,1.00429,0.50779,0,1.01129,1.00531,-0.00831025,0,0.0103117,-0.0245812,1.00534
54,0,0.425781,0.00390625,1.00811,1.00338,0.50773,0,1.0108,1.00522,-0.00865413,0,0.011201,-0.0263484,1.00526
55,0,0.433594,0.00390625,1.00764,1.00237,0.507456,0,1.01014,1.00511,-0.00879824,0,0.0119756,-0.0275392,1.00515
56,0,0.441406,0.00390625,1.00704,1.00126,0.506999,0,1.00929,1.00498,-0.00876781,0,0.0126353,-0.0294734,1.00502
57,0,0.449219,0.00390625,1.00632,1.00006,0.506414,0,1.00823,1.00482,-0.00861283,0,0.0131684,-0.0303522,1.00485
58,0,0.457031,0.00390625,1.00546,0.998753,0.505664,0,1.00695,1.00463,-0.00829479,0,0.0135791,-0.0311239,1.00467
59,0,0.464844,0.00390625,1.00447,0.997353,0.504767,0,1.00546,1.00442,-0.00782489,0,0.0138708,-0.0316548,1.00445
60,0,0.472656,0.00390625,1.00336,0.995861,0.503748,0,1.00377,1.00418,-0.00722329,0,0.0140452,-0.0325808,1.00421
61,0,0.480469,0.00390625,1.00215,0.994314,0.502633,0,1.00192,1.00392,-0.00651101,0,0.0141043,-0.032742,1.00394
62,0,0.488281,0.00390625,1.00087,0.992754,0.501456,0,0.99995,1.00363,-0.00571345,0,0.0140578,-0.0326046,1.00365
63,0,0.496094,0.00390625,0.999563,0.991216,0.500254,0,0.99794,1.00333,-0.00486011,0,0.0139121,-0.0329532,1.00334
64,0,0.503906,0.00390625,0.998261,0.989757,0.499067,0,0.995954,1.00301,-0.00398191,0,0.0136714,-0.0329667,1.00302
65,0,0.511719,0.00390625,0.997024,0.988428,0.49793,0,0.994073,1.00269,-0.00310845,0,0.013345,-0.0328898,1.00269
66,0,0.519531,0.00390625,0.995908,0.987279,0.496882,0,0.992368,1.00235,-0.00227257,0,0.0129424,-0.0327976,1.00236
67,0,0.527344,0.00390625,0.994914,0.986346,0.495947,0,0.990869,1.00203,-0.00150077,0,0.0124685,-0.0323918,1.00203
68,0,0.535156,0.00390625,0.994059,0.985635,0.495142,0,0.989638,1.0017,-0.000799287,0,0.0119357,-0.0318396,1.0017
69,0,0.542969,0.00390625,0.99344,0.985269,0.494507,0,0.9888,1.00139,-0.000188481,0,0.011359,-0.0313173,1.00139
70,0,0.550781,0.00390625,0.993107,0.985259,0.49408,0,0.988416,1.00109,0.000289745,0,0.0107445,-0.0307007,1.00109
71,0,0.558594,0.00390625,0.992895,0.985438,0.493815,0,0.988244,1.00082,0.000644238,0,0.0100978,-0.0291313,1.00082
72,0,0.566406,0.00390625,0.992833,0.985787,0.493693,0,0.988284,1.00057,0.000899924,0,0.00943769,-0.0279592,1.00057
73,0,0.574219,0.00390625,0.992863,0.986288,0.493692,0,0.988514,1.00034,0.00107489,0,0.00876483,-0.0253793,1.00035
74,0,0.582031,0.00390625,0.993022,0.986961,0.493765,0,0.98895,1.00013,0.00121126,0,0.00811306,-0.0228715,1.00013
75,0,0.589844,0.00390625,0.993279,0.987738,0.49394,0,0.989523,0.999944,0.00127859,0,0.00748286,-0.021024,0.999944
76,0,0.597656,0.00390625,0.993584,0.988576,0.494199,0,0.990182,0.999778,0.00128429,0,0.0068723,-0.0187395,0.999779
77,0,0.605469,0.00390625,0.993924,0.989449,0.49451,0,0.990896,0.999634,0.00125454,0,0.0062895,-0.0165204,0.999635
78,0,0.613281,0.00390625,0.994287,0.990344,0.494877,0,0.991644,0.999509,0.00117952,0,0.00573737,-0.0143447,0.99951
79,0,0.621094,0.00390625,0.994666,0.991246,0.495282,0,0.992415,0.999403,0.00107208,0,0.00521899,-0.012234,0.999404
80,0,0.628906,0.00390625,0.99505,0.992143,0.495712,0,0.993192,0.999314,0.000943104,0,0.00473567,-0.0102478,0.999314
81,0,0.636719,0.00390625,0.99543,0.993021,0.496155,0,0.993959,0.999239,0.00079921,0,0.00428857,-0.00839893,0.99924
82,0,0.644531,0.00390625,0.995797,0.993868,0.496602,0,0.9947,0.999178,0.000646151,0,0.0038769,-0.00665465,0.999179
83,0,0.652344,0.00390625,0.996138,0.994667,0.497044,0,0.995394,0.999129,0.000489605,0,0.00350055,-0.00506256,0.999129
84,0,0.660156,0.00390625,0.996437,0.995405,0.497472,0,0.996026,0.999089,0.000335286,0,0.00315817,-0.00359721,0.999089
85,0,0.667969,0.00390625,0.996687,0.996074,0.497877,0,0.996582,0.999057,0.000188404,0,0.00284877,-0.00229991,0.999057
86,0,0.675781,0.00390625,0.99689,0.996669,0.498255,0,0.997057,0.999031,5.22252e-05,0,0.00257008,-0.00113629,0.999031
87,0,0.683594,0.00390625,0.99705,0.99719,0.498602,0,0.99745,0.99901,-7.1517e-05,0,0.00231998,-0.00017382,0.99901
88,0,0.691406,0.00390625,0.99717,0.997642,0.498919,0,0.997768,0.998993,-0.000181905,0,0.00209605,0.000621927,0.998993
89,0,0.699219,0.00390625,0.997249,0.99803,0.499205,0,0.998016,0.998977,-0.000279777,0,0.00189556,0.00125929,0.998977
