i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1.0007,1.00053,0.500014,0,1.00099,0.999793,0.000293454,0,-5.21795e-05,0.00126784,0.999793
1,0,0.0117188,0.00390625,1.00083,1.00051,0.499931,0,1.00121,0.999856,0.000349979,0,-5.33025e-05,0.00137461,0.999856
2,0,0.0195312,0.00390625,1.00097,1.0005,0.499844,0,1.00144,0.999922,0.000410346,0,-5.43022e-05,0.00147722,0.999923
3,0,0.0273438,0.00390625,1.00112,1.00047,0.499753,0,1.00169,0.999991,0.00047469,0,-5.49352e-05,0.0015493,0.999991
4,0,0.0351562,0.00390625,1.00127,1.00045,0.499661,0,1.00196,1.00006,0.000543914,0,-5.52236e-05,0.00162347,1.00006
5,0,0.0429688,0.00390625,1.00144,1.00041,0.499567,0,1.00225,1.00013,0.000618035,0,-5.52342e-05,0.00170561,1.00013
6,0,0.0507812,0.00390625,1.00162,1.00037,0.499472,0,1.00256,1.0002,0.000697236,0,-5.50297e-05,0.00179839,1.0002
7,0,0.0585938,0.00390625,1.00182,1.00032,0.499378,0,1.00289,1.00028,0.000781706,0,-5.46635e-05,0.00189595,1.00028
8,0,0.0664062,0.00390625,1.00202,1.00026,0.499285,0,1.00324,1.00035,0.000871414,0,-5.41732e-05,0.00199536,1.00035
9,0,0.0742188,0.00390625,1.00224,1.00018,0.499194,0,1.00362,1.00042,0.000966673,0,-5.36032e-05,0.00210417,1.00042
10,0,0.0820312,0.00390625,1.00248,1.00009,0.499107,0,1.00402,1.00049,0.00106723,0,-5.2965e-05,0.00221686,1.00049
11,0,0.0898438,0.00390625,1.00273,0.999991,0.499023,0,1.00444,1.00055,0.0011729,0,-5.23778e-05,0.0023321,1.00055
12,0,0.0976562,0.00390625,1.00299,0.999875,0.498944,0,1.00488,1.00061,0.00128343,0,-5.19252e-05,0.00245968,1.00061
13,0,0.105469,0.00390625,1.00326,0.999745,0.498871,0,1.00535,1.00067,0.00139824,0,-5.17184e-05,0.00259392,1.00067
14,0,0.113281,0.00390625,1.00354,0.999603,0.498803,0,1.00582,1.00072,0.00151638,0,-5.18179e-05,0.0027451,1.00072
15,0,0.121094,0.00390625,1.00383,0.999452,0.498741,0,1.00631,1.00076,0.00163687,0,-5.23691e-05,0.00291166,1.00076
16,0,0.128906,0.00390625,1.00412,0.999295,0.498685,0,1.0068,1.0008,0.00175833,0,-5.32975e-05,0.00310268,1.0008
17,0,0.136719,0.00390625,1.00441,0.999137,0.498634,0,1.00729,1.00082,0.00187965,0,-5.42259e-05,0.00325715,1.00082
18,0,0.144531,0.00390625,1.00469,0.998979,0.498588,0,1.00776,1.00084,0.00199926,0,-5.6266e-05,0.00325469,1.00084
19,0,0.152344,0.00390625,1.00495,0.998837,0.498544,0,1.0082,1.00084,0.00211514,0,-5.96434e-05,0.00353835,1.00085
20,0,0.160156,0.00390625,1.00519,0.998714,0.498503,0,1.0086,1.00084,0.00222492,0,-6.30728e-05,0.00380442,1.00084
21,0,0.167969,0.00390625,1.00539,0.998621,0.498464,0,1.00894,1.00082,0.00232658,0,-6.58566e-05,0.00382581,1.00082
22,0,0.175781,0.00390625,1.00555,0.99856,0.498427,0,1.00921,1.00079,0.00242192,0,-6.78546e-05,0.00376033,1.0008
23,0,0.183594,0.00390625,1.00567,0.99853,0.498394,0,1.00942,1.00076,0.00250991,0,-7.02538e-05,0.00390504,1.00076
24,0,0.191406,0.00390625,1.00576,0.99854,0.498365,0,1.00956,1.00071,0.00258766,0,-7.29168e-05,0.00390969,1.00071
