i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.999016,1.00204,0.49804,0,0.998369,0.999759,-0.00121667,0,-3.98678e-05,0.000862477,0.999759
1,0,0.0117188,0.00390625,0.998974,1.00224,0.497861,0,0.998281,0.99975,-0.00123877,0,-4.44748e-05,0.00103202,0.999751
2,0,0.0195312,0.00390625,0.99893,1.00245,0.49767,0,0.998192,0.999742,-0.00126386,0,-4.91032e-05,0.00120346,0.999743
3,0,0.0273438,0.00390625,0.998887,1.00267,0.497467,0,0.998106,0.999735,-0.00129118,0,-5.37407e-05,0.00137784,0.999736
4,0,0.0351562,0.00390625,0.998847,1.00289,0.497254,0,0.998027,0.999728,-0.00131971,0,-5.83982e-05,0.00155957,0.999729
5,0,0.0429688,0.00390625,0.998813,1.00311,0.497035,0,0.997958,0.99972,-0.00134837,0,-6.30505e-05,0.00174783,0.999721
6,0,0.0507812,0.00390625,0.998789,1.00333,0.49681,0,0.997907,0.999712,-0.00137588,0,-6.76773e-05,0.00194078,0.999713
7,0,0.0585938,0.00390625,0.99878,1.00353,0.496584,0,0.997878,0.999703,-0.00140023,0,-7.23203e-05,0.00215079,0.999704
8,0,0.0664062,0.00390625,0.998787,1.00372,0.496358,0,0.997885,0.999691,-0.00142059,0,-7.70515e-05,0.00237504,0.999692
9,0,0.0742188,0.00390625,0.998821,1.00388,0.49614,0,0.997929,0.999677,-0.00143352,0,-8.12148e-05,0.0024641,0.999678
10,0,0.0820312,0.00390625,0.998887,1.00401,0.49593,0,0.998028,0.99966,-0.00143358,0,-8.58277e-05,0.00289267,0.999661
11,0,0.0898438,0.00390625,0.998988,1.0041,0.495743,0,0.998188,0.999639,-0.00142083,0,-8.84734e-05,0.00294683,0.99964
12,0,0.0976562,0.00390625,0.99913,1.00414,0.495561,0,0.998412,0.999612,-0.0014017,0,-9.64228e-05,0.00344169,0.999613
13,0,0.105469,0.00390625,0.999322,1.00411,0.495412,0,0.99872,0.999578,-0.00135897,0,-9.87044e-05,0.00336847,0.999579
14,0,0.113281,0.00390625,0.999566,1.00402,0.495303,0,0.999115,0.999538,-0.00128841,0,-0.000102517,0.00369411,0.999539
15,0,0.121094,0.00390625,0.999871,1.00384,0.495225,0,0.999615,0.99949,-0.00118993,0,-0.000107886,0.00392454,0.999491
16,0,0.128906,0.00390625,1.00024,1.00359,0.495202,0,1.00022,0.999433,-0.00106772,0,-0.000116609,0.00494136,0.999434
17,0,0.136719,0.00390625,1.00067,1.00325,0.495225,0,1.00093,0.999362,-0.000914823,0,-0.000117538,0.00440858,0.999363
18,0,0.144531,0.00390625,1.00117,1.00281,0.495302,0,1.00174,0.999281,-0.000721984,0,-0.000123923,0.00495273,0.999281
19,0,0.152344,0.00390625,1.00172,1.0023,0.495443,0,1.00265,0.999186,-0.000487274,0,-0.000129905,0.00525003,0.999186
