i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1.00056,1.00093,0.498291,0,1.00088,1.00057,-0.000723751,0,0,0.000291413,1.00057
1,0,0.0117188,0.00390625,1.00055,1.00106,0.498222,0,1.00085,1.00055,-0.000732396,0,0,0.000297453,1.00055
2,0,0.0195312,0.00390625,1.00052,1.0012,0.498137,0,1.00081,1.00052,-0.000752018,0,0,0.000303012,1.00052
3,0,0.0273438,0.00390625,1.00049,1.00137,0.498033,0,1.00074,1.00049,-0.000784497,0,0,0.000307277,1.00049
4,0,0.0351562,0.00390625,1.00043,1.00156,0.497909,0,1.00065,1.00046,-0.000831837,0,0,0.000310342,1.00046
5,0,0.0429688,0.00390625,1.00036,1.00177,0.497761,0,1.00053,1.00042,-0.000896111,0,0,0.00031231,1.00042
6,0,0.0507812,0.00390625,1.00026,1.00201,0.497586,0,1.00037,1.00037,-0.000979387,0,0,0.000313354,1.00037
7,0,0.0585938,0.00390625,1.00015,1.00227,0.497384,0,1.00018,1.00031,-0.00108362,0,0,0.000313716,1.00031
8,0,0.0664062,0.00390625,1.00002,1.00256,0.497151,0,0.999966,1.00025,-0.00121055,0,0,0.000313682,1.00025
9,0,0.0742188,0.00390625,0.999868,1.00287,0.496886,0,0.999718,1.00017,-0.00136152,0,0,0.000313556,1.00017
10,0,0.0820312,0.00390625,0.999701,1.00319,0.496587,0,0.999444,1.00009,-0.00153734,0,0,0.000313617,1.00009
11,0,0.0898438,0.00390625,0.99952,1.00352,0.496255,0,0.999149,0.999988,-0.00173811,0,0,0.000314085,0.999989
12,0,0.0976562,0.00390625,0.999331,1.00386,0.495891,0,0.998841,0.999873,-0.00196301,0,0,0.000315046,0.999875
13,0,0.105469,0.00390625,0.999141,1.00419,0.495496,0,0.998531,0.999743,-0.00221008,0,0,0.000316495,0.999745
14,0,0.113281,0.00390625,0.998956,1.0045,0.495074,0,0.998232,0.999595,-0.00247602,0,0,0.000318258,0.999598
15,0,0.121094,0.00390625,0.998786,1.00477,0.494632,0,0.997959,0.999428,-0.00275597,0,0,0.000319885,0.999432
16,0,0.128906,0.00390625,0.998643,1.005,0.494176,0,0.99773,0.999241,-0.00304324,0,0,0.000321055,0.999246
17,0,0.136719,0.00390625,0.998537,1.00517,0.493717,0,0.997564,0.999033,-0.00332916,0,0,0.000320295,0.999038
18,0,0.144531,0.00390625,0.998481,1.00525,0.493267,0,0.997482,0.998802,-0.00360285,0,0,0.000317772,0.998809
19,0,0.152344,0.00390625,0.998489,1.00522,0.492842,0,0.997507,0.998549,-0.00385126,0,0,0.000312292,0.998556
20,0,0.160156,0.00390625,0.998575,1.00508,0.492459,0,0.997661,0.998273,-0.00405896,0,0,0.000301913,0.998281
21,0,0.167969,0.00390625,0.998751,1.0048,0.492139,0,0.997964,0.997975,-0.0042083,0,0,0.00028515,0.997984
22,0,0.175781,0.00390625,0.999029,1.00436,0.491905,0,0.998438,0.997656,-0.00427955,0,0,0.000259609,0.997666
23,0,0.183594,0.00390625,0.999418,1.00376,0.491782,0,0.999096,0.99732,-0.00425127,0,0,0.000222587,0.997329
24,0,0.191406,0.00390625,0.999926,1.00298,0.491797,0,0.999951,0.996969,-0.00410097,0,0,0.000170679,0.996977
25,0,0.199219,0.00390625,1.00055,1.00203,0.491974,0,1.001,0.996608,-0.00380599,0,0,9.99952e-05,0.996616
26,0,0.207031,0.00390625,1.0013,1.00092,0.492341,0,1.00225,0.996245,-0.0033447,0,0,6.10487e-06,0.996251
27,0,0.214844,0.00390625,1.00215,0.999646,0.492919,0,1.00368,0.995887,-0.00269815,0,0,-0.000112223,0.995891
28,0,0.222656,0.00390625,1.0031,0.998251,0.493726,0,1.00526,0.995545,-0.00185145,0,0,-0.000267265,0.995547
29,0,0.230469,0.00390625,1.00411,0.996765,0.494772,0,1.00695,0.995229,-0.000796576,0,0,-0.000453853,0.99523
30,0,0.238281,0.00390625,1.00517,0.995235,0.496057,0,1.00869,0.994953,0.000463952,0,0,-0.000674349,0.994953
31,0,0.246094,0.00390625,1.00622,0.993715,0.497567,0,1.01044,0.99473,0.00191596,0,0,-0.000921536,0.994731
32,0,0.253906,0.00390625,1.00723,0.992265,0.499273,0,1.01211,0.994572,0.0035315,0,0,-0.00122487,0.994578
33,0,0.261719,0.00390625,1.00815,0.990945,0.501133,0,1.01364,0.994491,0.00526934,0,0,-0.00160073,0.994505
34,0,0.269531,0.00390625,1.00895,0.989815,0.503088,0,1.01495,0.994498,0.00707284,0,0,-0.0013999,0.994523
35,0,0.277344,0.00390625,1.00958,0.988915,0.505069,0,1.01599,0.994598,0.00887593,0,0,-0.00132666,0.994638
36,0,0.285156,0.00390625,1.01003,0.988284,0.507008,0,1.01671,0.994794,0.010615,0,0,-0.00109784,0.99485
37,0,0.292969,0.00390625,1.01028,0.987944,0.508838,0,1.01709,0.995083,0.012225,0,0,-0.000747302,0.995158
38,0,0.300781,0.00390625,1.01031,0.9879,0.510493,0,1.01711,0.99546,0.0136468,0,0,-0.000294261,0.995554
39,0,0.308594,0.00390625,1.01013,0.988144,0.511919,0,1.01678,0.995917,0.0148309,0,0,0.000234033,0.996027
40,0,0.316406,0.00390625,1.00975,0.988655,0.513074,0,1.01612,0.996442,0.0157402,0,0,0.000804674,0.996566
41,0,0.324219,0.00390625,1.0092,0.989402,0.513929,0,1.01517,0.997021,0.0163511,0,0,0.00138594,0.997156
42,0,0.332031,0.00390625,1.0085,0.990347,0.514468,0,1.01397,0.997643,0.0166533,0,0,0.00195348,0.997782
43,0,0.339844,0.00390625,1.00768,0.991447,0.514687,0,1.01257,0.998293,0.0166486,0,0,0.00248747,0.998431
44,0,0.347656,0.00390625,1.00677,0.99266,0.514595,0,1.01103,0.998957,0.0163494,0,0,0.00297224,0.999091
45,0,0.355469,0.00390625,1.00581,0.99394,0.514208,0,1.0094,0.999625,0.0157764,0,0,0.00339487,0.99975
46,0,0.363281,0.00390625,1.00482,0.995248,0.513549,0,1.00773,1.00029,0.0149572,0,0,0.00374414,1.0004
47,0,0.371094,0.00390625,1.00382,0.996543,0.512649,0,1.00606,1.00093,0.0139245,0,0,0.00401034,1.00103
48,0,0.378906,0.00390625,1.00286,0.997793,0.511543,0,1.00445,1.00155,0.0127143,0,0,0.00418552,1.00163
49,0,0.386719,0.00390625,1.00194,0.998968,0.510267,0,1.00292,1.00213,0.011365,0,0,0.00426409,1.0022
50,0,0.394531,0.00390625,1.00109,1.00004,0.50886,0,1.0015,1.00268,0.00991555,0,0,0.00424343,1.00273
51,0,0.402344,0.00390625,1.00032,1.001,0.507364,0,1.00023,1.00318,0.00840493,0,0,0.00412433,1.00322
