i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.999262,1.00155,0.498389,0,0.998907,0.999978,-0.00111546,0,0,0.000706154,0.999978
1,0,0.0117188,0.00390625,0.999255,1.00171,0.498215,0,0.998867,0.99997,-0.00113785,0,0,0.000776406,0.999971
2,0,0.0195312,0.00390625,0.999245,1.00189,0.498024,0,0.998824,0.999962,-0.00116565,0,0,0.000849789,0.999963
3,0,0.0273438,0.00390625,0.999232,1.00207,0.497816,0,0.998778,0.999952,-0.00119894,0,0,0.000926652,0.999953
4,0,0.0351562,0.00390625,0.999217,1.00227,0.497592,0,0.998731,0.99994,-0.00123756,0,0,0.00100747,0.999941
5,0,0.0429688,0.00390625,0.999202,1.00247,0.497353,0,0.998687,0.999925,-0.00128112,0,0,0.00109316,0.999926
6,0,0.0507812,0.00390625,0.999189,1.00268,0.4971,0,0.998648,0.999907,-0.00132872,0,0,0.00118458,0.999908
7,0,0.0585938,0.00390625,0.999183,1.00288,0.496837,0,0.998621,0.999885,-0.0013791,0,0,0.00128244,0.999886
8,0,0.0664062,0.00390625,0.999185,1.00309,0.496564,0,0.998609,0.999858,-0.00143126,0,0,0.00138673,0.999859
9,0,0.0742188,0.00390625,0.999198,1.00328,0.496288,0,0.998621,0.999826,-0.00148205,0,0,0.00149755,0.999827
10,0,0.0820312,0.00390625,0.999229,1.00345,0.496009,0,0.998662,0.999788,-0.00153066,0,0,0.00161529,0.999789
11,0,0.0898438,0.00390625,0.999283,1.0036,0.495735,0,0.998742,0.999743,-0.0015733,0,0,0.00174175,0.999744
12,0,0.0976562,0.00390625,0.999366,1.00372,0.495471,0,0.998869,0.999689,-0.00160726,0,0,0.00188056,0.999691
13,0,0.105469,0.00390625,0.999488,1.00379,0.49523,0,0.999066,0.999631,-0.00161946,0,0,0.00202919,0.999632
14,0,0.113281,0.00390625,0.999642,1.00382,0.494992,0,0.999314,0.999557,-0.00163912,0,0,0.00217512,0.999558
15,0,0.121094,0.00390625,0.999842,1.00378,0.494802,0,0.999639,0.999475,-0.00161675,0,0,0.00230271,0.999476
16,0,0.128906,0.00390625,1.0001,1.00368,0.49465,0,1.00006,0.99938,-0.00157308,0,0,0.00244139,0.999381
17,0,0.136719,0.00390625,1.0004,1.00349,0.494536,0,1.00057,0.999278,-0.0014962,0,0,0.00260876,0.999279
18,0,0.144531,0.00390625,1.00077,1.00324,0.494478,0,1.00117,0.999155,-0.00138193,0,0,0.0027967,0.999156
