i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1.00017,1.00066,0.499829,0,1.00024,1.00108,-0.00348138,0,0,0.00199584,1.00109
1,0,0.0117188,0.00390625,1.00027,1.00072,0.499718,0,1.00039,1.00099,-0.00340761,0,0,0.00146498,1.00099
2,0,0.0195312,0.00390625,1.00039,1.00079,0.4996,0,1.00054,1.0009,-0.00332275,0,0,0.000917789,1.0009
3,0,0.0273438,0.00390625,1.0005,1.00086,0.499475,0,1.00071,1.00081,-0.00322756,0,0,0.000357694,1.00082
4,0,0.0351562,0.00390625,1.00062,1.00093,0.499343,0,1.00089,1.00074,-0.0031229,0,0,-0.000206325,1.00074
5,0,0.0429688,0.00390625,1.00075,1.00101,0.499203,0,1.00108,1.00067,-0.00300978,0,0,-0.000749704,1.00067
6,0,0.0507812,0.00390625,1.00088,1.00109,0.499057,0,1.00128,1.0006,-0.00288916,0,0,-0.00124176,1.0006
7,0,0.0585938,0.00390625,1.00101,1.00116,0.498905,0,1.0015,1.00054,-0.00276205,0,0,-0.0016635,1.00054
8,0,0.0664062,0.00390625,1.00115,1.00124,0.498748,0,1.00172,1.00049,-0.00262954,0,0,-0.00200624,1.00049
9,0,0.0742188,0.00390625,1.0013,1.00132,0.498586,0,1.00196,1.00044,-0.00249286,0,0,-0.00226961,1.00044
10,0,0.0820312,0.00390625,1.00146,1.00139,0.49842,0,1.00221,1.00039,-0.00235278,0,0,-0.00247335,1.0004
11,0,0.0898438,0.00390625,1.00162,1.00146,0.498251,0,1.00248,1.00035,-0.0022105,0,0,-0.00261781,1.00035
12,0,0.0976562,0.00390625,1.00178,1.00153,0.498081,0,1.00276,1.00031,-0.00206747,0,0,-0.00270944,1.00031
13,0,0.105469,0.00390625,1.00196,1.00159,0.49791,0,1.00306,1.00027,-0.00192453,0,0,-0.0027281,1.00028
14,0,0.113281,0.00390625,1.00214,1.00164,0.497739,0,1.00337,1.00024,-0.0017829,0,0,-0.00266046,1.00024
15,0,0.121094,0.00390625,1.00233,1.00169,0.49757,0,1.00369,1.0002,-0.00164343,0,0,-0.00250178,1.0002
16,0,0.128906,0.00390625,1.00253,1.00172,0.497404,0,1.00403,1.00016,-0.00150704,0,0,-0.00231888,1.00016
17,0,0.136719,0.00390625,1.00273,1.00175,0.497241,0,1.00437,1.00011,-0.00137435,0,0,-0.0020988,1.00011
18,0,0.144531,0.00390625,1.00294,1.00177,0.497085,0,1.00472,1.00006,-0.00124621,0,0,-0.00188418,1.00006
19,0,0.152344,0.00390625,1.00315,1.00178,0.496935,0,1.00507,1,-0.00112238,0,0,-0.00169657,1
20,0,0.160156,0.00390625,1.00335,1.00178,0.496794,0,1.00542,0.999933,-0.00100289,0,0,-0.0012517,0.999934
21,0,0.167969,0.00390625,1.00354,1.00178,0.496665,0,1.00575,0.999855,-0.000888195,0,0,-0.00120572,0.999856
22,0,0.175781,0.00390625,1.00373,1.00177,0.496544,0,1.00608,0.999764,-0.000776773,0,0,-0.00113441,0.999765
23,0,0.183594,0.00390625,1.0039,1.00177,0.496438,0,1.00637,0.999663,-0.000668658,0,0,-0.000652221,0.999663
24,0,0.191406,0.00390625,1.00406,1.00177,0.496345,0,1.00664,0.999549,-0.00056249,0,0,-0.000397747,0.999549
25,0,0.199219,0.00390625,1.00419,1.00178,0.49627,0,1.00687,0.999422,-0.000455521,0,0,-0.000316648,0.999423
26,0,0.207031,0.00390625,1.00429,1.00179,0.496215,0,1.00705,0.999285,-0.000346277,0,0,-2.37576e-05,0.999285
27,0,0.214844,0.00390625,1.00437,1.00181,0.496182,0,1.00719,0.999136,-0.000231976,0,0,0.000369121,0.999136
28,0,0.222656,0.00390625,1.00442,1.00184,0.496175,0,1.00728,0.998977,-0.000112127,0,0,-0.000459931,0.998977
29,0,0.230469,0.00390625,1.00445,1.00186,0.496183,0,1.00733,0.998813,2.62175e-05,0,0,-0.000659673,0.998813
30,0,0.238281,0.00390625,1.00444,1.00188,0.496211,0,1.00731,0.998643,0.000180096,0,0,-0.00053507,0.998643
31,0,0.246094,0.00390625,1.0044,1.00191,0.496261,0,1.00726,0.998473,0.000347589,0,0,-0.000503284,0.998473
32,0,0.253906,0.00390625,1.00434,1.00192,0.496328,0,1.00716,0.998309,0.000533819,0,0,-0.000530119,0.998309
33,0,0.261719,0.00390625,1.00425,1.00193,0.496412,0,1.00702,0.998149,0.000741201,0,0,-0.000945103,0.99815
34,0,0.269531,0.00390625,1.00413,1.00193,0.496508,0,1.00683,0.998,0.000969414,0,0,-0.00120539,0.998001
35,0,0.277344,0.00390625,1.004,1.0019,0.496612,0,1.0066,0.997865,0.00121466,0,0,-0.00152163,0.997865
36,0,0.285156,0.00390625,1.00383,1.00186,0.496718,0,1.00633,0.997746,0.00147533,0,0,-0.00188836,0.997747
37,0,0.292969,0.00390625,1.00365,1.00179,0.496823,0,1.00603,0.997648,0.00174885,0,0,-0.00226091,0.997649
38,0,0.300781,0.00390625,1.00345,1.00169,0.496919,0,1.0057,0.997573,0.0020281,0,0,-0.00259754,0.997575
