i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,0.999999,0.999999,0,1,0.000114176,-0.000114176,0,0,-1.73472e-18,0.00016147
1,0,0.0117188,0.00390625,1,0.999999,1,0,1,-9.87802e-05,0.000321073,0,0,-7.75625e-10,0.000335925
2,0,0.0195312,0.00390625,1,0.999999,1,0,1,-0.000346341,0.000762521,0,0,-1.1844e-09,0.000837491
3,0,0.0273438,0.00390625,1,0.999999,1,0,1,-0.000444977,0.000924043,0,0,-1.56538e-09,0.0010256
4,0,0.0351562,0.00390625,1,0.999999,1,0,1,-0.000465084,0.000923647,0,0,-1.91552e-09,0.00103413
5,0,0.0429688,0.00390625,1,0.999999,1,0,1,-0.000465275,0.000895736,0,0,-2.23214e-09,0.00100937
6,0,0.0507812,0.00390625,1,0.999999,1,0,1,-0.000446948,0.000856558,0,0,-2.51292e-09,0.000966154
7,0,0.0585938,0.00390625,1,0.999999,1,0,1,-0.000420951,0.000831639,0,0,-2.75596e-09,0.000932107
8,0,0.0664062,0.00390625,1,0.999999,0.999999,0,1,-0.000396317,0.000829427,0,0,-2.9597e-09,0.000919247
9,0,0.0742188,0.00390625,1,0.999999,0.999999,0,1,-0.000373009,0.000834022,0,0,-3.12297e-09,0.000913635
10,0,0.0820312,0.00390625,1,1,0.999999,0,1,-0.000354337,0.000847069,0,0,-3.24493e-09,0.000918194
11,0,0.0898438,0.00390625,1,1,0.999999,0,1,-0.000339463,0.00085328,0,0,-3.3251e-09,0.000918326
12,0,0.0976562,0.00390625,1,1,0.999999,0,1,-0.00032512,0.000851119,0,0,-3.36334e-09,0.000911102
13,0,0.105469,0.00390625,1,1,0.999999,0,1,-0.000312266,0.000842331,0,0,-3.35979e-09,0.00089835
14,0,0.113281,0.00390625,1,1,1,0,1,-0.00030219,0.000829544,0,0,-3.31491e-09,0.000882872
15,0,0.121094,0.00390625,1,1,1,0,1,-0.000293772,0.000816085,0,0,-3.22945e-09,0.00086735
16,0,0.128906,0.00390625,1,1,1,0,1,-0.000285149,0.000792871,0,0,-3.10439e-09,0.000842588
17,0,0.136719,0.00390625,1,1,1,0,1,-0.000265793,0.000720321,0,0,-2.941e-09,0.000767794
18,0,0.144531,0.00390625,1,1,1,0,1,-0.000221595,0.000547309,0,0,-2.74077e-09,0.000590467
19,0,0.152344,0.00390625,1,1,1,0,1,-0.000161356,0.00029602,0,0,-2.50541e-09,0.00033714
20,0,0.160156,0.00390625,1,1,1,0,1,-0.000119361,9.29228e-05,0,0,-2.23687e-09,0.000151267
21,0,0.167969,0.00390625,1,1,1,0,1,-0.00010722,5.15914e-05,0,0,-1.93729e-09,0.000118986
22,0,0.175781,0.00390625,1,1,1,0,1,-9.65931e-05,5.46261e-05,0,0,-1.60904e-09,0.00011097
23,0,0.183594,0.00390625,1,1,1,0,1,-8.8344e-05,6.15728e-05,0,0,-1.25465e-09,0.000107684
24,0,0.191406,0.00390625,1,1,1,0,1,-8.16959e-05,6.69348e-05,0,0,-8.76872e-10,0.000105615
25,0,0.199219,0.00390625,1,1,1,0,1,-7.52814e-05,6.72149e-05,0,0,-4.7865e-10,0.000100921
