i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,1,1,0,1,-3.7717e-05,3.7717e-05,0,-1.92441e-21,0,5.33399e-05
1,0,0.0117188,0.00390625,1,1,1,0,1,-4.35211e-05,8.51726e-05,0,2.35776e-08,7.05777e-06,9.56476e-05
2,0,0.0195312,0.00390625,1,1,1,0,1,-4.90352e-05,0.000130888,0,7.20612e-08,1.33589e-05,0.000139772
3,0,0.0273438,0.00390625,1,1,1,0,1,-5.41806e-05,0.000173995,0,1.42752e-07,1.88987e-05,0.000182236
4,0,0.0351562,0.00390625,1,1,1,0,1,-5.88861e-05,0.000213703,0,2.32109e-07,2.36981e-05,0.000221668
5,0,0.0429688,0.00390625,1,1,1,0,1,-6.30901e-05,0.000249321,0,3.35872e-07,2.7802e-05,0.00025718
6,0,0.0507812,0.00390625,1,1,1,0,1,-6.67415e-05,0.000280277,0,4.492e-07,3.12773e-05,0.000288114
7,0,0.0585938,0.00390625,1,1,1,0,1,-6.98006e-05,0.000306133,0,5.66827e-07,3.42098e-05,0.00031399
8,0,0.0664062,0.00390625,1,1,1,0,1,-7.22408e-05,0.000326593,0,6.83234e-07,3.67002e-05,0.000334487
9,0,0.0742188,0.00390625,1,1,1,0,1,-7.4048e-05,0.000341513,0,7.92839e-07,3.8859e-05,0.000349448
10,0,0.0820312,0.00390625,1,1,1,0,1,-7.52213e-05,0.000350897,0,8.90202e-07,4.08011e-05,0.000358869
11,0,0.0898438,0.00390625,1,1,1,0,1,-7.57725e-05,0.000354897,0,9.70245e-07,4.26385e-05,0.000362896
12,0,0.0976562,0.00390625,1,1,1,0,1,-7.57252e-05,0.000353799,0,1.02848e-06,4.44741e-05,0.000361812
13,0,0.105469,0.00390625,1,1,1,0,1,-7.51141e-05,0.000348008,0,1.06121e-06,4.63946e-05,0.000356022
14,0,0.113281,0.00390625,1,1,1,0,1,-7.39834e-05,0.000338033,0,1.06577e-06,4.8465e-05,0.000346034
15,0,0.121094,0.00390625,1,1,1,0,1,-7.23851e-05,0.000324459,0,1.04061e-06,5.07242e-05,0.000332435
16,0,0.128906,0.00390625,1,1,1,0,1,-7.03769e-05,0.000307924,0,9.85467e-07,5.31829e-05,0.000315864
17,0,0.136719,0.00390625,1,1,1,0,1,-6.80206e-05,0.000289092,0,9.01348e-07,5.58234e-05,0.000296987
18,0,0.144531,0.00390625,1,1,1,0,1,-6.53794e-05,0.000268629,0,7.90496e-07,5.86018e-05,0.00027647
19,0,0.152344,0.00390625,1,1,1,0,1,-6.25166e-05,0.000247174,0,6.56263e-07,6.14525e-05,0.000254957
20,0,0.160156,0.00390625,1,1,1,0,1,-5.94931e-05,0.000225321,0,5.02918e-07,6.42936e-05,0.000233042
21,0,0.167969,0.00390625,1,1,1,0,1,-5.6366e-05,0.000203601,0,3.35397e-07,6.70341e-05,0.000211259
22,0,0.175781,0.00390625,1,1,1,0,1,-5.31877e-05,0.000182468,0,1.59023e-07,6.95808e-05,0.000190062
23,0,0.183594,0.00390625,1,1,1,0,1,-5.00044e-05,0.000162294,0,-2.07863e-08,7.18452e-05,0.000169823
24,0,0.191406,0.00390625,1,1,1,0,1,-4.68558e-05,0.000143362,0,-1.98802e-07,7.37496e-05,0.000150825
