i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,1,1,0,1,-3.87181e-05,3.87181e-05,0,-4.87044e-21,1.73472e-18,5.47557e-05
1,0,0.0117188,0.00390625,1,1,1,0,1,-3.92554e-05,9.19376e-05,0,2.9395e-08,1.73133e-05,9.99676e-05
2,0,0.0195312,0.00390625,1,1,1,0,1,-3.95643e-05,0.000143293,0,7.72246e-08,3.42893e-05,0.000148655
3,0,0.0273438,0.00390625,1,1,1,0,1,-3.96408e-05,0.000191814,0,1.40867e-07,5.06324e-05,0.000195868
4,0,0.0351562,0.00390625,1,1,1,0,1,-3.94855e-05,0.000236615,0,2.17174e-07,6.60638e-05,0.000239887
5,0,0.0429688,0.00390625,1,1,1,0,1,-3.91031e-05,0.000276917,0,3.0258e-07,8.03292e-05,0.000279664
6,0,0.0507812,0.00390625,1,1,1,0,1,-3.8503e-05,0.000312073,0,3.93229e-07,9.3205e-05,0.000314439
7,0,0.0585938,0.00390625,1,1,1,0,1,-3.76984e-05,0.000341581,0,4.85101e-07,0.000104504,0.000343655
8,0,0.0664062,0.00390625,1,1,1,0,1,-3.67064e-05,0.000365099,0,5.74157e-07,0.000114078,0.00036694
9,0,0.0742188,0.00390625,1,1,1,0,1,-3.55476e-05,0.000382449,0,6.56486e-07,0.000121824,0.000384098
10,0,0.0820312,0.00390625,1,1,1,0,1,-3.42453e-05,0.000393621,0,7.28452e-07,0.000127683,0.000395108
11,0,0.0898438,0.00390625,1,1,1,0,1,-3.28248e-05,0.000398764,0,7.86837e-07,0.000131643,0.000400112
12,0,0.0976562,0.00390625,1,1,1,0,1,-3.1313e-05,0.000398178,0,8.28974e-07,0.000133734,0.000399408
13,0,0.105469,0.00390625,1,1,1,0,1,-2.97377e-05,0.000392301,0,8.52855e-07,0.00013403,0.000393427
14,0,0.113281,0.00390625,1,1,1,0,1,-2.81261e-05,0.000381681,0,8.57211e-07,0.000132644,0.000382716
15,0,0.121094,0.00390625,1,1,1,0,1,-2.65047e-05,0.000366956,0,8.41553e-07,0.00012972,0.000367912
16,0,0.128906,0.00390625,1,1,1,0,1,-2.48985e-05,0.000348826,0,8.06169e-07,0.000125433,0.000349713
17,0,0.136719,0.00390625,1,1,1,0,1,-2.33297e-05,0.000328023,0,7.52079e-07,0.000119977,0.000328851
18,0,0.144531,0.00390625,1,1,1,0,1,-2.18177e-05,0.000305284,0,6.80944e-07,0.00011356,0.000306062
