i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,1,1,0,1,-2.9185e-05,2.9185e-05,0,1.03459e-20,-4.33681e-19,4.12738e-05
1,0,0.0117188,0.00390625,1,1,1,0,1,-2.70521e-05,8.31288e-05,0,-7.08776e-08,2.02804e-05,8.74198e-05
2,0,0.0195312,0.00390625,1,1,1,0,1,-2.45907e-05,0.000135624,0,-1.73476e-07,4.15368e-05,0.000137835
3,0,0.0273438,0.00390625,1,1,1,0,1,-2.18416e-05,0.000185668,0,-3.0748e-07,6.34364e-05,0.000186949
4,0,0.0351562,0.00390625,1,1,1,0,1,-1.8854e-05,0.000232332,0,-4.71413e-07,8.56154e-05,0.000233096
5,0,0.0429688,0.00390625,1,1,1,0,1,-1.56835e-05,0.000274781,0,-6.62684e-07,0.000107688,0.000275228
6,0,0.0507812,0.00390625,1,1,1,0,1,-1.23908e-05,0.000312302,0,-8.77671e-07,0.000129259,0.000312548
7,0,0.0585938,0.00390625,1,1,1,0,1,-9.03963e-06,0.000344322,0,-1.11183e-06,0.000149931,0.000344441
8,0,0.0664062,0.00390625,1,1,1,0,1,-5.69501e-06,0.000370421,0,-1.35982e-06,0.00016932,0.000370465
9,0,0.0742188,0.00390625,1,1,1,0,1,-2.42125e-06,0.000390341,0,-1.61571e-06,0.000187061,0.000390349
10,0,0.0820312,0.00390625,1,1,1,0,1,7.20008e-07,0.000403991,0,-1.87309e-06,0.000202821,0.000403992
11,0,0.0898438,0.00390625,1,1,1,0,1,3.67158e-06,0.000411445,0,-2.12535e-06,0.00021631,0.000411461
12,0,0.0976562,0.00390625,1,1,1,0,1,6.38249e-06,0.000412932,0,-2.36585e-06,0.000227285,0.000412981
13,0,0.105469,0.00390625,1,1,1,0,1,8.80947e-06,0.000408823,0,-2.58817e-06,0.000235563,0.000408918
14,0,0.113281,0.00390625,1,1,1,0,1,1.09182e-05,0.000399614,0,-2.78633e-06,0.000241027,0.000399763
15,0,0.121094,0.00390625,1,1,1,0,1,1.26841e-05,0.000385901,0,-2.95505e-06,0.000243625,0.000386109
16,0,0.128906,0.00390625,1,1,1,0,1,1.40929e-05,0.000368356,0,-3.08991e-06,0.000243382,0.000368626
17,0,0.136719,0.00390625,1,1,1,0,1,1.51408e-05,0.000347698,0,-3.18759e-06,0.000240393,0.000348027
18,0,0.144531,0.00390625,1,1,1,0,1,1.5834e-05,0.000324664,0,-3.24596e-06,0.000234823,0.000325049
19,0,0.152344,0.00390625,1,1,1,0,1,1.61879e-05,0.000299984,0,-3.26421e-06,0.000226899,0.00030042
20,0,0.160156,0.00390625,1,1,1,0,1,1.62264e-05,0.000274356,0,-3.24279e-06,0.000216904,0.000274835
21,0,0.167969,0.00390625,1,1,1,0,1,1.59797e-05,0.000248423,0,-3.18344e-06,0.000205164,0.000248937
22,0,0.175781,0.00390625,1,1,1,0,1,1.54837e-05,0.000222759,0,-3.08904e-06,0.000192035,0.000223296
23,0,0.183594,0.00390625,1,1,1,0,1,1.47772e-05,0.000197853,0,-2.96344e-06,0.000177886,0.000198404
24,0,0.191406,0.00390625,1,1,1,0,1,1.39011e-05,0.000174105,0,-2.81123e-06,0.000163088,0.000174659
25,0,0.199219,0.00390625,1,1,1,0,1,1.2896e-05,0.000151824,0,-2.63754e-06,0.000147997,0.00015237
26,0,0.207031,0.00390625,1,1,1,0,1,1.18013e-05,0.000131229,0,-2.44774e-06,0.000132944,0.000131759
27,0,0.214844,0.00390625,1,1,1,0,1,1.06532e-05,0.000112456,0,-2.2472e-06,0.000118221,0.00011296
28,0,0.222656,0.00390625,1,1,1,0,1,9.4845e-06,9.5566e-05,0,-2.04108e-06,0.000104078,9.60355e-05
29,0,0.230469,0.00390625,1,1,1,0,1,8.32341e-06,8.05557e-05,0,-1.83411e-06,9.07146e-05,8.09845e-05
30,0,0.238281,0.00390625,1,1,1,0,1,7.19327e-06,6.73698e-05,0,-1.63048e-06,7.82802e-05,6.77527e-05
31,0,0.246094,0.00390625,1,1,1,0,1,6.11242e-06,5.59129e-05,0,-1.43369e-06,6.68751e-05,5.6246e-05
32,0,0.253906,0.00390625,1,1,1,0,1,5.09439e-06,4.60606e-05,0,-1.24655e-06,5.65537e-05,4.63415e-05
33,0,0.261719,0.00390625,1,1,1,0,1,4.14812e-06,3.767e-05,0,-1.07112e-06,4.73292e-05,3.78977e-05
34,0,0.269531,0.00390625,1,1,1,0,1,3.27853e-06,3.05887e-05,0,-9.08783e-07,3.91804e-05,3.07639e-05
35,0,0.277344,0.00390625,1,1,1,0,1,2.487e-06,2.46627e-05,0,-7.60278e-07,3.20585e-05,2.47878e-05
36,0,0.285156,0.00390625,1,1,1,0,1,1.77202e-06,1.97418e-05,0,-6.25796e-07,2.5894e-05,1.98211e-05
37,0,0.292969,0.00390625,1,1,1,0,1,1.12981e-06,1.56839e-05,0,-5.05067e-07,2.06034e-05,1.57246e-05
38,0,0.300781,0.00390625,1,1,1,0,1,5.54911e-07,1.23585e-05,0,-3.9746e-07,1.60954e-05,1.23709e-05
39,0,0.308594,0.00390625,1,1,1,0,1,4.06939e-08,9.64762e-06,0,-3.02078e-07,1.22755e-05,9.64771e-06
40,0,0.316406,0.00390625,1,1,1,0,1,-4.20144e-07,7.44714e-06,0,-2.17844e-07,9.05066e-06,7.45899e-06
