i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,1,1,0,1,3.41872e-06,-3.41872e-06,0,-1.13802e-20,1.19262e-18,4.8348e-06
1,0,0.0117188,0.00390625,1,1,1,0,1,7.05313e-06,0.000117598,0,8.74451e-07,1.81672e-06,0.000117809
2,0,0.0195312,0.00390625,1,1,1,0,1,1.20958e-05,0.00023669,0,1.47732e-06,1.73688e-05,0.000236999
3,0,0.0273438,0.00390625,1,1,1,0,1,1.83937e-05,0.000347887,0,1.65574e-06,5.09584e-05,0.000348372
4,0,0.0351562,0.00390625,1,1,1,0,1,2.56376e-05,0.000446367,0,1.32721e-06,0.00010239,0.000447103
5,0,0.0429688,0.00390625,1,1,1,0,1,3.34262e-05,0.000529353,0,5.14796e-07,0.000169389,0.000530407
6,0,0.0507812,0.00390625,1,1,1,0,1,4.13398e-05,0.000596467,0,-6.25253e-07,0.000241018,0.000597898
7,0,0.0585938,0.00390625,1,1,1,0,1,4.90216e-05,0.000649322,0,-1.92663e-06,0.000307625,0.00065117
8,0,0.0664062,0.00390625,1,1,1,0,1,5.6258e-05,0.000690135,0,-3.35593e-06,0.000381429,0.000692424
9,0,0.0742188,0.00390625,1,0.999999,1,0,1,6.25809e-05,0.000716877,0,-5.4171e-06,0.000528785,0.000719604
10,0,0.0820312,0.00390625,1,0.999999,1,0,1,6.76718e-05,0.000721255,0,-6.51669e-06,0.000549224,0.000724423
11,0,0.0898438,0.00390625,1,1,1,0,1,7.2149e-05,0.000720807,0,-6.52713e-06,0.000486804,0.000724409
12,0,0.0976562,0.00390625,1,1,1,0,1,7.63642e-05,0.000718323,0,-6.84018e-06,0.000509397,0.000722371
13,0,0.105469,0.00390625,1,1,1,0,1,7.99938e-05,0.000709224,0,-7.41014e-06,0.000539415,0.000713721
14,0,0.113281,0.00390625,1,1,1,0,1,8.27867e-05,0.00068804,0,-7.81353e-06,0.000524419,0.000693003
15,0,0.121094,0.00390625,1,1,1,0,1,8.47071e-05,0.000651649,0,-8.2555e-06,0.000514008,0.000657132
