i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.999965,0.999978,0.999978,0,0.999942,-8.38792e-06,8.38792e-06,0,0,0,1.18623e-05
1,0,0.0117188,0.00390625,0.999968,0.999981,0.999976,0,0.999946,-3.73363e-06,0.00034349,0,0,-0.00320614,0.00034351
2,0,0.0195312,0.00390625,0.999969,0.999983,0.999976,0,0.999949,1.61316e-05,0.000703622,0,0,-0.000203095,0.000703807
3,0,0.0273438,0.00390625,0.999971,0.999986,0.999975,0,0.999952,6.07856e-05,0.000991967,0,0,0.0122333,0.000993828
4,0,0.0351562,0.00390625,0.999973,0.999988,0.999976,0,0.999954,3.28052e-05,0.00103525,0,0,0.00611285,0.00103577
5,0,0.0429688,0.00390625,0.999974,0.999989,0.999976,0,0.999956,-1.83198e-05,0.00102886,0,0,0.000500545,0.00102902
6,0,0.0507812,0.00390625,0.999975,0.99999,0.999976,0,0.999959,-5.36724e-05,0.00101977,0,0,-0.000978934,0.00102118
7,0,0.0585938,0.00390625,0.999976,0.99999,0.999976,0,0.99996,-6.24625e-05,0.00100293,0,0,-0.000910837,0.00100487
8,0,0.0664062,0.00390625,0.999977,0.999991,0.999976,0,0.999962,-5.54193e-05,0.000995672,0,0,0.000494867,0.000997213
9,0,0.0742188,0.00390625,0.999979,0.999991,0.999976,0,0.999964,-4.98439e-05,0.000990605,0,0,0.000252209,0.000991858
10,0,0.0820312,0.00390625,0.99998,0.999991,0.999977,0,0.999966,-4.23805e-05,0.000990038,0,0,0.000628427,0.000990945
11,0,0.0898438,0.00390625,0.999981,0.999991,0.999978,0,0.999968,-3.64429e-05,0.000987547,0,0,0.000381054,0.000988219
12,0,0.0976562,0.00390625,0.999982,0.999991,0.999978,0,0.999969,-3.30389e-05,0.000989429,0,0,-8.8876e-05,0.000989981
13,0,0.105469,0.00390625,0.999983,0.999991,0.999979,0,0.999971,-1.8819e-05,0.000986512,0,0,0.00163284,0.000986692
14,0,0.113281,0.00390625,0.999984,0.999991,0.99998,0,0.999973,-2.21972e-05,0.000972009,0,0,-0.000333456,0.000972263
15,0,0.121094,0.00390625,0.999984,0.999992,0.999982,0,0.999974,-2.16876e-05,0.000946572,0,0,-6.36808e-05,0.00094682
16,0,0.128906,0.00390625,0.999985,0.999992,0.999983,0,0.999976,-1.53155e-06,0.000881981,0,0,0.003924,0.000881982
