i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,1,1,0,1,3.77532e-05,-3.77532e-05,0,0,0,5.3391e-05
1,0,0.0117188,0.00390625,1,1,1,0,1,-0.000112373,0.000317154,0,0,1.04682e-05,0.000336474
2,0,0.0195312,0.00390625,1,1,1,0,1,-0.000308268,0.000684252,0,0,-0.000136904,0.000750487
3,0,0.0273438,0.00390625,1,1,1,0,1,-0.000419091,0.000868449,0,0,-0.0003798,0.000964283
4,0,0.0351562,0.00390625,1,1,1,0,1,-0.000431681,0.000883455,0,0,-0.000477243,0.000983281
5,0,0.0429688,0.00390625,1,1,1,0,1,-0.000421784,0.000870852,0,0,-0.000387144,0.000967618
6,0,0.0507812,0.00390625,1,1,1,0,1,-0.000392243,0.000846403,0,0,-0.00019262,0.000932874
7,0,0.0585938,0.00390625,1,1,0.999999,0,1,-0.000357416,0.000835224,0,0,-1.44779e-05,0.000908485
8,0,0.0664062,0.00390625,1,1,0.999999,0,1,-0.000322964,0.000836862,0,0,0.000119945,0.000897019
9,0,0.0742188,0.00390625,1,1,0.999999,0,1,-0.00029355,0.000850214,0,0,0.000213317,0.000899464
10,0,0.0820312,0.00390625,1,1,0.999999,0,1,-0.00027129,0.000872514,0,0,0.000268793,0.000913717
11,0,0.0898438,0.00390625,1,1,0.999999,0,1,-0.000253378,0.000882189,0,0,0.000283741,0.000917855
12,0,0.0976562,0.00390625,1,1,0.999999,0,1,-0.000236201,0.000880301,0,0,0.000266979,0.000911439
13,0,0.105469,0.00390625,1,1,0.999999,0,1,-0.000220852,0.000871883,0,0,0.000243844,0.000899419
14,0,0.113281,0.00390625,1,1,1,0,1,-0.000208524,0.000857299,0,0,0.000227269,0.000882294
15,0,0.121094,0.00390625,1,1,1,0,1,-0.000199741,0.000838715,0,0,0.000211422,0.000862172
16,0,0.128906,0.00390625,1,1,1,0,1,-0.000192267,0.000803432,0,0,0.000173991,0.000826117
17,0,0.136719,0.00390625,1,1,1,0,1,-0.000174177,0.000713029,0,0,8.81267e-05,0.000733995
18,0,0.144531,0.00390625,1,1,1,0,1,-0.000134472,0.000531636,0,0,-1.70577e-05,0.000548379
19,0,0.152344,0.00390625,1,1,1,0,1,-8.39403e-05,0.000291367,0,0,-3.56333e-05,0.000303217
20,0,0.160156,0.00390625,1,1,1,0,1,-5.91775e-05,0.00012678,0,0,9.66892e-05,0.000139911
21,0,0.167969,0.00390625,1,1,1,0,1,-5.51675e-05,0.000106995,0,0,0.000248767,0.00012038
