i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,0.999999,0.999999,0,1,-2.47226e-05,2.47226e-05,0,0,0,3.49631e-05
1,0,0.0117188,0.00390625,1,0.999999,1,0,1,-7.83928e-05,0.000285767,0,0,0.00338669,0.000296325
2,0,0.0195312,0.00390625,1,0.999999,1,0,1,-0.00014901,0.000556708,0,0,0.00478079,0.000576305
3,0,0.0273438,0.00390625,1,1,1,0,1,-0.000223973,0.00077566,0,0,0.00281637,0.000807349
4,0,0.0351562,0.00390625,1,1,1,0,1,-0.000249288,0.000837423,0,0,-0.00217063,0.00087374
5,0,0.0429688,0.00390625,1,1,1,0,1,-0.000260311,0.000834537,0,0,-0.00338737,0.000874193
6,0,0.0507812,0.00390625,1,1,1,0,1,-0.000261487,0.000822579,0,0,-0.00277424,0.00086314
7,0,0.0585938,0.00390625,1,1,1,0,1,-0.000255491,0.000808081,0,0,-0.00199968,0.000847509
8,0,0.0664062,0.00390625,1,1,0.999999,0,1,-0.000246691,0.000797874,0,0,-0.00121122,0.00083514
9,0,0.0742188,0.00390625,1,1,0.999999,0,1,-0.000237954,0.000795707,0,0,-0.000455614,0.000830525
10,0,0.0820312,0.00390625,1,1,0.999999,0,1,-0.000228969,0.000796884,0,0,5.0685e-05,0.000829126
11,0,0.0898438,0.00390625,1,1,0.999999,0,1,-0.000220746,0.000799609,0,0,0.000366298,0.00082952
12,0,0.0976562,0.00390625,1,1,0.999999,0,1,-0.000213654,0.000800248,0,0,0.000347923,0.000828278
13,0,0.105469,0.00390625,1,1,1,0,1,-0.000208054,0.000799067,0,0,0.000241767,0.000825709
14,0,0.113281,0.00390625,1,1,1,0,1,-0.000203424,0.000792076,0,0,0.000238219,0.000817781
15,0,0.121094,0.00390625,1,1,1,0,1,-0.000198395,0.000766791,0,0,0.000329541,0.000792041
16,0,0.128906,0.00390625,1,1,1,0,1,-0.000191723,0.000711253,0,0,0.000336818,0.00073664
17,0,0.136719,0.00390625,1,1,1,0,1,-0.000182625,0.000618833,0,0,0.000254699,0.000645218
18,0,0.144531,0.00390625,1,1,1,0,1,-0.000170625,0.000487882,0,0,9.76306e-05,0.000516858
19,0,0.152344,0.00390625,1,1,1,0,1,-0.000155956,0.000325348,0,0,-8.26441e-05,0.000360796
20,0,0.160156,0.00390625,1,1,1,0,1,-0.000139507,0.000150071,0,0,-0.000266918,0.000204898
21,0,0.167969,0.00390625,1,1,1,0,1,-0.000122391,-2.96423e-06,0,0,-0.000314924,0.000122427
22,0,0.175781,0.00390625,1,1,1,0,1,-0.000105512,-6.93779e-05,0,0,-2.19779e-05,0.000126278
23,0,0.183594,0.00390625,1,1,1,0,1,-8.91869e-05,-6.99499e-05,0,0,-2.57506e-05,0.000113346
24,0,0.191406,0.00390625,1,1,1,0,1,-7.41655e-05,-6.80656e-05,0,0,-0.000140611,0.000100665
25,0,0.199219,0.00390625,1,1,1,0,1,-6.06121e-05,-6.23498e-05,0,0,-0.000155617,8.69559e-05
26,0,0.207031,0.00390625,1,1,1,0,1,-4.83153e-05,-5.34143e-05,0,0,-2.95748e-05,7.20239e-05
27,0,0.214844,0.00390625,1,1,1,0,1,-3.69855e-05,-4.29661e-05,0,0,0.000187744,5.66922e-05
28,0,0.222656,0.00390625,1,1,1,0,1,-2.68622e-05,-3.24649e-05,0,0,0.000409238,4.21372e-05
29,0,0.230469,0.00390625,1,1,1,0,1,-1.88731e-05,-2.29142e-05,0,0,0.000530959,2.9686e-05
30,0,0.238281,0.00390625,1,1,1,0,1,-1.34001e-05,-1.50459e-05,0,0,0.000534446,2.0148e-05
31,0,0.246094,0.00390625,1,1,1,0,1,-9.68421e-06,-9.46949e-06,0,0,0.000465324,1.35446e-05
32,0,0.253906,0.00390625,1,1,1,0,1,-7.0853e-06,-5.95396e-06,0,0,0.00036132,9.25479e-06
33,0,0.261719,0.00390625,1,1,1,0,1,-5.32829e-06,-3.94852e-06,0,0,0.000238958,6.63185e-06
34,0,0.269531,0.00390625,1,1,1,0,1,-4.01916e-06,-2.91008e-06,0,0,0.000147166,4.96207e-06
35,0,0.277344,0.00390625,1,1,1,0,1,-2.92901e-06,-2.34984e-06,0,0,9.22527e-05,3.75511e-06
36,0,0.285156,0.00390625,1,1,1,0,1,-1.99098e-06,-1.92921e-06,0,0,6.76775e-05,2.77234e-06
37,0,0.292969,0.00390625,1,1,1,0,1,-1.28061e-06,-1.48852e-06,0,0,5.38726e-05,1.96358e-06
38,0,0.300781,0.00390625,1,1,1,0,1,-7.99573e-07,-1.03745e-06,0,0,4.51182e-05,1.30982e-06
39,0,0.308594,0.00390625,1,1,1,0,1,-5.10018e-07,-6.41761e-07,0,0,3.51864e-05,8.19741e-07
40,0,0.316406,0.00390625,1,1,1,0,1,-3.29792e-07,-3.58358e-07,0,0,2.657e-05,4.87014e-07
41,0,0.324219,0.00390625,1,1,1,0,1,-2.21288e-07,-1.8599e-07,0,0,1.76769e-05,2.89069e-07
42,0,0.332031,0.00390625,1,1,1,0,1,-1.52062e-07,-1.00709e-07,0,0,1.0478e-05,1.82388e-07
43,0,0.339844,0.00390625,1,1,1,0,1,-1.01376e-07,-6.63496e-08,0,0,6.03859e-06,1.21159e-07
44,0,0.347656,0.00390625,1,1,1,0,1,-6.31996e-08,-5.15187e-08,0,0,3.60733e-06,8.15375e-08
45,0,0.355469,0.00390625,1,1,1,0,1,-3.72078e-08,-3.97137e-08,0,0,2.32006e-06,5.44205e-08
