i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.241413,-0.0181897,0.0146515,0,0.181129,-0.00978038,0.0127756,0,0.00465039,-0.138191,0.0160895
1,0,0.0117188,0.00390625,0.238293,0.0132347,0.0668841,0,0.181055,-0.0109617,0.040348,0,0.00411406,-0.0791247,0.0418106
2,0,0.0195312,0.00390625,0.236873,0.040408,0.117601,0,0.181166,-0.0134685,0.0683015,0,0.00344553,-0.0623527,0.0696167
3,0,0.0273438,0.00390625,0.23617,0.0623475,0.167091,0,0.181472,-0.0174959,0.0970302,0,0.00278368,-0.0511314,0.098595
4,0,0.0351562,0.00390625,0.23607,0.0790563,0.212295,0,0.182098,-0.0228993,0.12549,0,0.00232326,-0.0524047,0.127562
5,0,0.0429688,0.00390625,0.236437,0.0913499,0.251154,0,0.183119,-0.0292498,0.152932,0,0.00205565,-0.0554273,0.155704
6,0,0.0507812,0.00390625,0.237035,0.100233,0.283906,0,0.184435,-0.0360466,0.179452,0,0.00177559,-0.0459222,0.183036
7,0,0.0585938,0.00390625,0.237624,0.106492,0.31189,0,0.18587,-0.0428491,0.20538,0,0.00131421,-0.0229227,0.209802
8,0,0.0664062,0.00390625,0.238021,0.110711,0.336669,0,0.187249,-0.0492874,0.230951,0,0.000601009,0.00917339,0.236152
9,0,0.0742188,0.00390625,0.238118,0.11339,0.35967,0,0.188439,-0.0550437,0.2562,0,-0.000346349,0.0441291,0.262046
10,0,0.0820312,0.00390625,0.23788,0.115033,0.382063,0,0.189359,-0.05984,0.280965,0,-0.00145088,0.0761934,0.287267
11,0,0.0898438,0.00390625,0.237337,0.116192,0.404725,0,0.189991,-0.0634364,0.304941,0,-0.00260554,0.101685,0.311469
12,0,0.0976562,0.00390625,0.23657,0.117464,0.428252,0,0.190371,-0.0656348,0.327723,0,-0.00369705,0.118766,0.334231
13,0,0.105469,0.00390625,0.235695,0.119453,0.45299,0,0.190588,-0.0662822,0.348872,0,-0.00462373,0.127368,0.355113
14,0,0.113281,0.00390625,0.234862,0.122718,0.479043,0,0.19077,-0.0652694,0.367962,0,-0.00530863,0.128753,0.373706
