i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.251402,-0.021389,0.0193799,0,0.181919,-0.0221841,0.0122601,0,0.00222205,0.0281745,0.0253465
1,0,0.0117188,0.00390625,0.251214,-0.000671581,0.0565939,0,0.182501,-0.0211766,0.038476,0,0.00198665,0.076591,0.0439187
2,0,0.0195312,0.00390625,0.250786,0.0163891,0.0941242,0,0.18337,-0.0215142,0.06518,0,0.0018717,0.119383,0.0686389
3,0,0.0273438,0.00390625,0.250543,0.0295409,0.130094,0,0.184599,-0.0238181,0.0913432,0,0.0019001,0.142077,0.0943975
4,0,0.0351562,0.00390625,0.251455,0.0379483,0.164904,0,0.186658,-0.028316,0.11656,0,0.00194874,0.155305,0.11995
5,0,0.0429688,0.00390625,0.253962,0.0414802,0.198009,0,0.190101,-0.0348657,0.14085,0,0.00179352,0.17403,0.145101
6,0,0.0507812,0.00390625,0.257381,0.0407176,0.227699,0,0.194291,-0.043064,0.164945,0,0.00116208,0.201608,0.170474
7,0,0.0585938,0.00390625,0.262627,0.0370002,0.254181,0,0.199665,-0.0525091,0.18992,0,-0.000309116,0.25352,0.197045
8,0,0.0664062,0.00390625,0.265822,0.0305112,0.279122,0,0.204799,-0.062665,0.216941,0,-0.0022262,0.276686,0.22581
9,0,0.0742188,0.00390625,0.268006,0.0222886,0.300894,0,0.209028,-0.072861,0.246199,0,-0.00442562,0.271994,0.256754
10,0,0.0820312,0.00390625,0.270243,0.0147673,0.32228,0,0.212171,-0.0823588,0.277309,0,-0.00657378,0.1996,0.28928
11,0,0.0898438,0.00390625,0.270779,0.00994745,0.343427,0,0.213434,-0.0898876,0.309589,0,-0.0079126,0.0992262,0.322375
12,0,0.0976562,0.00390625,0.269556,0.0069307,0.364945,0,0.212506,-0.0944276,0.341359,0,-0.00856392,0.071545,0.354179
13,0,0.105469,0.00390625,0.266565,0.00914237,0.386859,0,0.210195,-0.0961882,0.370894,0,-0.00819906,-0.00267768,0.383164
14,0,0.113281,0.00390625,0.261029,0.0163032,0.412312,0,0.205505,-0.0954503,0.398154,0,-0.0082318,0.023552,0.409435
15,0,0.121094,0.00390625,0.253282,0.0279792,0.443682,0,0.199399,-0.0930204,0.423124,0,-0.00826565,-0.001121,0.433228
16,0,0.128906,0.00390625,0.244196,0.0421485,0.477384,0,0.192904,-0.0893364,0.445456,0,-0.00840464,-0.000614176,0.454325
17,0,0.136719,0.00390625,0.237096,0.0561638,0.511154,0,0.187796,-0.0844503,0.463412,0,-0.00812154,-0.0339359,0.471044
18,0,0.144531,0.00390625,0.233047,0.0715566,0.54316,0,0.184613,-0.0784711,0.477038,0,-0.0078285,-0.0188137,0.483449
19,0,0.152344,0.00390625,0.233433,0.088842,0.571025,0,0.182704,-0.0713818,0.487081,0,-0.00731694,-0.0229491,0.492283
20,0,0.160156,0.00390625,0.235649,0.114208,0.594107,0,0.182771,-0.0621452,0.493072,0,-0.00581931,-0.041707,0.496973
21,0,0.167969,0.00390625,0.239338,0.131814,0.62138,0,0.186225,-0.0492969,0.491321,0,-0.00338168,-0.0866915,0.493788
22,0,0.175781,0.00390625,0.2408,0.155303,0.643447,0,0.193287,-0.0320545,0.481187,0,-0.000798302,-0.123011,0.482253
23,0,0.183594,0.00390625,0.244645,0.18114,0.645704,0,0.20524,-0.00975373,0.462144,0,0.0019486,-0.124735,0.462247
24,0,0.191406,0.00390625,0.250152,0.210051,0.626126,0,0.221219,0.0180445,0.432291,0,0.00506516,-0.105267,0.432668
25,0,0.199219,0.00390625,0.262598,0.241364,0.589624,0,0.241412,0.0514646,0.388768,0,0.00828373,-0.134298,0.39216
26,0,0.207031,0.00390625,0.280712,0.27158,0.548616,0,0.263672,0.09028,0.332008,0,0.0108584,-0.0890571,0.344064
27,0,0.214844,0.00390625,0.301073,0.300087,0.515235,0,0.28701,0.132946,0.264122,0,0.0117634,0.0383298,0.295694
28,0,0.222656,0.00390625,0.3133,0.316578,0.487643,0,0.299946,0.176812,0.18677,0,0.00968521,0.00965468,0.257188
29,0,0.230469,0.00390625,0.313016,0.29651,0.473353,0,0.298417,0.219234,0.107212,0,0.00402583,0.164222,0.244045
30,0,0.238281,0.00390625,0.300887,0.245608,0.467354,0,0.279222,0.256338,0.0357274,0,-0.00351271,0.253481,0.258815
31,0,0.246094,0.00390625,0.280457,0.167501,0.457159,0,0.248586,0.286456,-0.0183273,0,-0.00942991,0.300488,0.287042
32,0,0.253906,0.00390625,0.263953,0.113596,0.44276,0,0.224721,0.310273,-0.0561643,0,-0.0109788,0.257553,0.315315
33,0,0.261719,0.00390625,0.258133,0.10313,0.435309,0,0.216472,0.330239,-0.0872111,0,-0.00935171,0.139541,0.341561
34,0,0.269531,0.00390625,0.25472,0.112653,0.42978,0,0.212165,0.347986,-0.115959,0,-0.00699227,0.0962613,0.366798
35,0,0.277344,0.00390625,0.251472,0.125273,0.420547,0,0.207996,0.363521,-0.142212,0,-0.00462056,0.0784826,0.390349
36,0,0.285156,0.00390625,0.245957,0.131965,0.402644,0,0.200561,0.375701,-0.164813,0,-0.00261787,0.00354098,0.410261
37,0,0.292969,0.00390625,0.238917,0.130055,0.37209,0,0.190926,0.384407,-0.182979,0,-0.000804687,0.0106408,0.425735
38,0,0.300781,0.00390625,0.230282,0.119263,0.331023,0,0.178951,0.389065,-0.197033,0,0.00092099,-0.0190257,0.436112
39,0,0.308594,0.00390625,0.22102,0.102291,0.281504,0,0.16635,0.389934,-0.207365,0,0.00224008,-0.0308337,0.441643
40,0,0.316406,0.00390625,0.21261,0.0867431,0.231136,0,0.155996,0.388503,-0.215717,0,0.00290101,-0.0698709,0.444374
41,0,0.324219,0.00390625,0.206265,0.0798932,0.18945,0,0.149845,0.387406,-0.22416,0,0.00268087,-0.075602,0.447584
42,0,0.332031,0.00390625,0.202057,0.0850052,0.158765,0,0.147252,0.388324,-0.233837,0,0.00215394,-0.0595807,0.453294
43,0,0.339844,0.00390625,0.201471,0.100409,0.134635,0,0.147545,0.391106,-0.24459,0,0.00172925,-0.0226654,0.46129
44,0,0.347656,0.00390625,0.203771,0.119703,0.114111,0,0.149442,0.394271,-0.25529,0,0.00156876,-0.0248168,0.469705
45,0,0.355469,0.00390625,0.209968,0.141133,0.0921921,0,0.152372,0.396557,-0.265132,0,0.00153657,-0.0433579,0.477025
46,0,0.363281,0.00390625,0.222551,0.159066,0.0712426,0,0.156287,0.397189,-0.273223,0,0.00140514,-0.0306303,0.482089
47,0,0.371094,0.00390625,0.236717,0.169479,0.0537756,0,0.161217,0.395771,-0.279145,0,0.00105489,-0.0372491,0.484311
48,0,0.378906,0.00390625,0.241639,0.16655,0.0450908,0,0.166163,0.392395,-0.282414,0,0.000816678,0.0246017,0.483458
49,0,0.386719,0.00390625,0.240152,0.147781,0.0477737,0,0.172986,0.387164,-0.284319,0,0.000923739,-0.0652615,0.480347
50,0,0.394531,0.00390625,0.227525,0.11448,0.061153,0,0.180304,0.380259,-0.284071,0,0.000668516,0.022339,0.474651
51,0,0.402344,0.00390625,0.203064,0.0727677,0.0819242,0,0.18854,0.37121,-0.281881,0,0.000885441,-0.0208693,0.466105
52,0,0.410156,0.00390625,0.186007,0.030668,0.102459,0,0.198161,0.359522,-0.277026,0,0.00133553,-0.0188725,0.453872
53,0,0.417969,0.00390625,0.185668,-0.00349383,0.116428,0,0.209519,0.344243,-0.268593,0,0.00161373,-0.0289779,0.436629
54,0,0.425781,0.00390625,0.191042,-0.0260187,0.120002,0,0.222719,0.324657,-0.255913,0,0.00232838,-0.0433023,0.413393
55,0,0.433594,0.00390625,0.206568,-0.0366842,0.113716,0,0.237193,0.300652,-0.239386,0,0.00293496,-0.0192166,0.384314
56,0,0.441406,0.00390625,0.231441,-0.0371071,0.0997704,0,0.254004,0.272063,-0.218881,0,0.00352012,-0.0453729,0.349181
57,0,0.449219,0.00390625,0.259689,-0.0320369,0.0828672,0,0.270074,0.239486,-0.194088,0,0.00408274,-0.0440373,0.308259
58,0,0.457031,0.00390625,0.289505,-0.0255988,0.0658422,0,0.285904,0.203464,-0.166424,0,0.00438322,-0.0285494,0.262859
59,0,0.464844,0.00390625,0.318644,-0.0197022,0.0510593,0,0.300575,0.164611,-0.135948,0,0.00463095,-0.021815,0.213492
60,0,0.472656,0.00390625,0.344598,-0.0148299,0.0377175,0,0.313384,0.123444,-0.10288,0,0.00474169,-0.00713904,0.160695
61,0,0.480469,0.00390625,0.36501,-0.0118449,0.027292,0,0.322762,0.080477,-0.0682055,0,0.00487553,-0.00232347,0.105492
62,0,0.488281,0.00390625,0.378256,-0.00782786,0.0207755,0,0.329215,0.0363707,-0.0324848,0,0.0048695,0.00719225,0.0487657
