i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.242488,-0.0083891,0.0468647,0,0.183644,-0.00780829,0.0175641,0,0.00410901,-0.118302,0.0192215
1,0,0.0117188,0.00390625,0.240004,0.0211641,0.0977158,0,0.183924,-0.00849034,0.0450362,0,0.00337127,-0.0531781,0.0458295
2,0,0.0195312,0.00390625,0.239038,0.0469067,0.147182,0,0.184406,-0.010523,0.0732408,0,0.00250423,-0.026928,0.0739929
3,0,0.0273438,0.00390625,0.2387,0.0679367,0.195376,0,0.185032,-0.0141408,0.102413,0,0.00165333,-0.0092376,0.103385
4,0,0.0351562,0.00390625,0.238875,0.0841721,0.239348,0,0.185927,-0.019197,0.131343,0,0.00105366,-0.00928917,0.132739
5,0,0.0429688,0.00390625,0.239436,0.0962399,0.277005,0,0.187172,-0.0252358,0.159294,0,0.000684665,-0.0131829,0.161281
6,0,0.0507812,0.00390625,0.240134,0.104981,0.308481,0,0.188644,-0.0317378,0.186462,0,0.000324667,-0.00525712,0.189143
7,0,0.0585938,0.00390625,0.240712,0.111087,0.335115,0,0.190133,-0.0382557,0.213206,0,-0.00018534,0.0147146,0.216611
8,0,0.0664062,0.00390625,0.240992,0.115089,0.358492,0,0.191449,-0.0444128,0.239694,0,-0.000887881,0.0414738,0.243774
9,0,0.0742188,0.00390625,0.240895,0.117468,0.38003,0,0.192469,-0.0498774,0.265845,0,-0.00173873,0.0691573,0.270484
10,0,0.0820312,0.00390625,0.24043,0.118752,0.400892,0,0.193146,-0.0543524,0.29139,0,-0.00264839,0.0931315,0.296416
11,0,0.0898438,0.00390625,0.239671,0.11954,0.422004,0,0.193498,-0.0575783,0.315933,0,-0.00351267,0.109787,0.321137
12,0,0.0976562,0.00390625,0.23874,0.120494,0.444046,0,0.193599,-0.0593422,0.33902,0,-0.00423249,0.11765,0.344175
13,0,0.105469,0.00390625,0.237777,0.122293,0.467451,0,0.193562,-0.0594852,0.360205,0,-0.00472728,0.11711,0.365084
14,0,0.113281,0.00390625,0.236938,0.125565,0.492403,0,0.193523,-0.0579031,0.379078,0,-0.00494287,0.109445,0.383475
15,0,0.121094,0.00390625,0.236386,0.130818,0.518772,0,0.193647,-0.054539,0.395275,0,-0.00485385,0.0960955,0.399019
16,0,0.128906,0.00390625,0.236289,0.138372,0.545996,0,0.194135,-0.04937,0.408445,0,-0.0044615,0.078961,0.411418
17,0,0.136719,0.00390625,0.236788,0.1483,0.572985,0,0.195254,-0.0423901,0.418169,0,-0.00379043,0.0597585,0.420312
18,0,0.144531,0.00390625,0.237987,0.160397,0.598022,0,0.197344,-0.0335991,0.423905,0,-0.00289237,0.0403659,0.425235
19,0,0.152344,0.00390625,0.239951,0.174176,0.618903,0,0.200771,-0.0229957,0.425017,0,-0.00186399,0.0237212,0.425638
20,0,0.160156,0.00390625,0.242788,0.188898,0.633321,0,0.205843,-0.0105538,0.42084,0,-0.0007704,0.00967588,0.420972
21,0,0.167969,0.00390625,0.24671,0.203656,0.639439,0,0.212712,0.00381316,0.410769,0,0.000363837,-0.00456691,0.410787
22,0,0.175781,0.00390625,0.251943,0.217418,0.636063,0,0.221345,0.0202621,0.39412,0,0.00154692,-0.0226685,0.394641
23,0,0.183594,0.00390625,0.258465,0.228952,0.622833,0,0.231411,0.0389655,0.370134,0,0.00275458,-0.0435406,0.372179
24,0,0.191406,0.00390625,0.265753,0.236734,0.600596,0,0.242085,0.0599851,0.338313,0,0.00385598,-0.0601129,0.34359
25,0,0.199219,0.00390625,0.272711,0.238913,0.571502,0,0.251942,0.0831379,0.298917,0,0.0045935,-0.0697344,0.310264
26,0,0.207031,0.00390625,0.277906,0.234299,0.538227,0,0.259217,0.108063,0.253294,0,0.00473068,-0.0581458,0.275382
27,0,0.214844,0.00390625,0.280054,0.221802,0.504176,0,0.262295,0.133891,0.203997,0,0.00394355,-0.0339659,0.244012
28,0,0.222656,0.00390625,0.278874,0.20196,0.473599,0,0.260848,0.159685,0.154665,0,0.00271612,0.0283951,0.222308
29,0,0.230469,0.00390625,0.274879,0.1774,0.445661,0,0.255491,0.184815,0.107255,0,0.00153509,0.0630232,0.213683
30,0,0.238281,0.00390625,0.268921,0.151153,0.41973,0,0.2474,0.208707,0.0632578,0,0.000444185,0.0933462,0.218083
31,0,0.246094,0.00390625,0.262022,0.126271,0.39527,0,0.237992,0.2309,0.023512,0,-0.000446871,0.111289,0.232094
32,0,0.253906,0.00390625,0.255045,0.105089,0.371806,0,0.228455,0.251125,-0.0118547,0,-0.00108378,0.11758,0.251404
33,0,0.261719,0.00390625,0.248546,0.0887755,0.349014,0,0.219514,0.269266,-0.0431694,0,-0.00147094,0.115054,0.272704
34,0,0.269531,0.00390625,0.242792,0.0774154,0.326688,0,0.211468,0.28532,-0.0709351,0,-0.00165056,0.107065,0.294005
35,0,0.277344,0.00390625,0.237872,0.0704206,0.304682,0,0.204355,0.299345,-0.0956443,0,-0.00167659,0.0964048,0.314254
36,0,0.285156,0.00390625,0.233816,0.0669654,0.282874,0,0.198109,0.311434,-0.117702,0,-0.00159573,0.0847993,0.332933
37,0,0.292969,0.00390625,0.230589,0.0661485,0.261209,0,0.192644,0.321697,-0.137421,0,-0.00140261,0.0750663,0.349819
38,0,0.300781,0.00390625,0.22833,0.0677333,0.239537,0,0.187908,0.330181,-0.155029,0,-0.00114865,0.0583112,0.364765
39,0,0.308594,0.00390625,0.227181,0.070801,0.217845,0,0.18393,0.337029,-0.170702,0,-0.000929577,0.0462409,0.377793
40,0,0.316406,0.00390625,0.227108,0.0747092,0.196386,0,0.180701,0.342364,-0.184593,0,-0.000758676,0.0368366,0.388957
41,0,0.324219,0.00390625,0.228066,0.0788544,0.175475,0,0.178208,0.346301,-0.196844,0,-0.000634547,0.0294582,0.398337
42,0,0.332031,0.00390625,0.229898,0.0826337,0.155493,0,0.176448,0.348939,-0.207567,0,-0.000553463,0.0238653,0.406007
43,0,0.339844,0.00390625,0.23215,0.0854793,0.136843,0,0.175427,0.350345,-0.216836,0,-0.000510993,0.0198161,0.412019
44,0,0.347656,0.00390625,0.233966,0.0868937,0.119904,0,0.175166,0.35055,-0.224684,0,-0.000499126,0.0168839,0.416375
45,0,0.355469,0.00390625,0.234232,0.0864982,0.104975,0,0.175705,0.349532,-0.231091,0,-0.000510737,0.0148526,0.419017
46,0,0.363281,0.00390625,0.232002,0.0840616,0.0922421,0,0.1771,0.347216,-0.235988,0,-0.000532361,0.0131217,0.41982
47,0,0.371094,0.00390625,0.226999,0.0795257,0.0817408,0,0.179429,0.343471,-0.239252,0,-0.000551732,0.0116655,0.418585
48,0,0.378906,0.00390625,0.219907,0.0730134,0.0733429,0,0.182762,0.338116,-0.240726,0,-0.000548467,0.00942128,0.415056
49,0,0.386719,0.00390625,0.212259,0.0647809,0.0667974,0,0.187175,0.330929,-0.240217,0,-0.000507098,0.0062345,0.408923
50,0,0.394531,0.00390625,0.205853,0.0552353,0.0617435,0,0.192732,0.321656,-0.237514,0,-0.000409514,0.00162013,0.399844
51,0,0.402344,0.00390625,0.202061,0.0449177,0.0577101,0,0.199463,0.310026,-0.23241,0,-0.000234861,-0.00555266,0.387467
52,0,0.410156,0.00390625,0.201565,0.0344147,0.0541035,0,0.207362,0.295762,-0.224667,0,1.13421e-05,-0.0144397,0.371417
