i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.241936,-0.0198271,0.0260727,0,0.182438,-0.0167324,0.0135718,0,0.00459707,-0.119141,0.0215445
1,0,0.0117188,0.00390625,0.239348,0.00839998,0.0774776,0,0.182464,-0.0180788,0.0410151,0,0.00371888,-0.0538131,0.0448228
2,0,0.0195312,0.00390625,0.238667,0.0323958,0.129993,0,0.182619,-0.0206781,0.0701178,0,0.00262739,-0.0151252,0.0731033
3,0,0.0273438,0.00390625,0.238591,0.051385,0.182594,0,0.182856,-0.0247985,0.100808,0,0.00152985,0.0126814,0.103813
4,0,0.0351562,0.00390625,0.238977,0.0657294,0.230757,0,0.183349,-0.0302805,0.131268,0,0.000761764,0.0136791,0.134716
5,0,0.0429688,0.00390625,0.239726,0.0766323,0.271478,0,0.184238,-0.0365968,0.160246,0,0.000341307,0.00401634,0.164372
6,0,0.0507812,0.00390625,0.240638,0.0852629,0.305286,0,0.185413,-0.0431668,0.187903,0,7.69346e-06,0.00531541,0.192797
7,0,0.0585938,0.00390625,0.241488,0.0923019,0.334204,0,0.186644,-0.0495478,0.214827,0,-0.00045088,0.0206265,0.220467
8,0,0.0664062,0.00390625,0.242105,0.0981005,0.360154,0,0.187736,-0.0554211,0.241371,0,-0.00109295,0.043729,0.247652
9,0,0.0742188,0.00390625,0.242389,0.102933,0.384502,0,0.188574,-0.0605283,0.26754,0,-0.0018722,0.0682051,0.274301
10,0,0.0820312,0.00390625,0.24231,0.107127,0.408136,0,0.189127,-0.0646389,0.293098,0,-0.00270251,0.0899487,0.300141
11,0,0.0898438,0.00390625,0.241888,0.111088,0.431598,0,0.189425,-0.0675487,0.31767,0,-0.00349212,0.106575,0.324772
12,0,0.0976562,0.00390625,0.241187,0.115263,0.45515,0,0.189559,-0.0690891,0.340792,0,-0.00415779,0.116923,0.347725
13,0,0.105469,0.00390625,0.240314,0.120101,0.478827,0,0.189669,-0.0691318,0.361965,0,-0.00463222,0.120882,0.368507
14,0,0.113281,0.00390625,0.239415,0.125992,0.502484,0,0.189935,-0.0675885,0.380689,0,-0.00486946,0.119182,0.386642
15,0,0.121094,0.00390625,0.238684,0.133219,0.525834,0,0.190569,-0.0644037,0.396487,0,-0.00484806,0.112843,0.401684
16,0,0.128906,0.00390625,0.238347,0.141908,0.548448,0,0.191812,-0.0595424,0.408905,0,-0.00456856,0.102503,0.413218
17,0,0.136719,0.00390625,0.238646,0.152004,0.569698,0,0.193932,-0.0529745,0.417494,0,-0.00404722,0.0896823,0.420841
18,0,0.144531,0.00390625,0.239803,0.163265,0.588751,0,0.197223,-0.0446549,0.421759,0,-0.00330132,0.0742746,0.424116
19,0,0.152344,0.00390625,0.241997,0.175295,0.604485,0,0.201958,-0.034514,0.421211,0,-0.00238178,0.0572304,0.422622
20,0,0.160156,0.00390625,0.245335,0.187584,0.61555,0,0.208314,-0.0224498,0.415356,0,-0.00133603,0.0383435,0.415962
21,0,0.167969,0.00390625,0.249847,0.199486,0.620675,0,0.216265,-0.00833224,0.403794,0,-0.000242311,0.0199692,0.40388
22,0,0.175781,0.00390625,0.255467,0.21015,0.618948,0,0.225538,0.00797469,0.386159,0,0.000845446,0.00174612,0.386241
23,0,0.183594,0.00390625,0.261941,0.218472,0.610105,0,0.235565,0.0265884,0.362115,0,0.00189746,-0.0166786,0.36309
24,0,0.191406,0.00390625,0.268679,0.223048,0.594766,0,0.245405,0.0475445,0.331595,0,0.00283424,-0.0322609,0.334986
25,0,0.199219,0.00390625,0.274705,0.222289,0.574217,0,0.253769,0.0707047,0.295034,0,0.00347953,-0.0455672,0.303388
26,0,0.207031,0.00390625,0.278848,0.215346,0.55001,0,0.259272,0.09582,0.253589,0,0.00368075,-0.0401709,0.271089
27,0,0.214844,0.00390625,0.280127,0.201448,0.524101,0,0.26082,0.122118,0.209213,0,0.00314533,-0.034253,0.242246
28,0,0.222656,0.00390625,0.278417,0.181636,0.499534,0,0.258406,0.148738,0.164746,0,0.00213681,0.0157673,0.221956
29,0,0.230469,0.00390625,0.27432,0.158714,0.475586,0,0.252796,0.175037,0.121804,0,0.00113362,0.0454638,0.213246
30,0,0.238281,0.00390625,0.268638,0.135797,0.451904,0,0.245113,0.200428,0.0814993,0,0.000205717,0.0719816,0.216364
31,0,0.246094,0.00390625,0.262241,0.115622,0.428388,0,0.236552,0.224417,0.0444441,0,-0.000550445,0.0890368,0.228775
32,0,0.253906,0.00390625,0.255803,0.0999479,0.404995,0,0.22801,0.246678,0.0107059,0,-0.00109099,0.0964727,0.24691
33,0,0.261719,0.00390625,0.249708,0.0893262,0.381731,0,0.219961,0.267031,-0.0199682,0,-0.00142814,0.0967659,0.267777
34,0,0.269531,0.00390625,0.244111,0.083371,0.358611,0,0.21255,0.285397,-0.047927,0,-0.00160462,0.0928903,0.289393
35,0,0.277344,0.00390625,0.239048,0.0812448,0.335638,0,0.205757,0.301761,-0.0734798,0,-0.00166752,0.0871655,0.310578
36,0,0.285156,0.00390625,0.234535,0.0820536,0.312796,0,0.199527,0.316146,-0.0968538,0,-0.00165349,0.0809246,0.33065
37,0,0.292969,0.00390625,0.230619,0.0850214,0.290062,0,0.19383,0.328602,-0.118204,0,-0.00158368,0.0745481,0.349215
38,0,0.300781,0.00390625,0.227329,0.0894616,0.267461,0,0.188658,0.339205,-0.137642,0,-0.00142331,0.0701028,0.366067
39,0,0.308594,0.00390625,0.22493,0.0953842,0.24496,0,0.184023,0.347958,-0.155247,0,-0.00120545,0.0557048,0.38102
40,0,0.316406,0.00390625,0.223607,0.10213,0.222447,0,0.180021,0.35499,-0.171095,0,-0.00102553,0.0464219,0.39407
41,0,0.324219,0.00390625,0.223414,0.109172,0.200185,0,0.176703,0.360408,-0.18526,0,-0.000896638,0.0394465,0.405234
42,0,0.332031,0.00390625,0.224318,0.115999,0.178493,0,0.174102,0.364311,-0.197812,0,-0.000812417,0.0338639,0.414551
43,0,0.339844,0.00390625,0.226095,0.122089,0.157741,0,0.172251,0.366788,-0.20881,0,-0.000766458,0.0295355,0.42206
44,0,0.347656,0.00390625,0.228221,0.126923,0.138324,0,0.17118,0.367898,-0.218288,0,-0.000752503,0.0262755,0.427783
45,0,0.355469,0.00390625,0.229864,0.13002,0.12063,0,0.170931,0.367668,-0.226249,0,-0.000762593,0.0238181,0.431704
46,0,0.363281,0.00390625,0.230054,0.130984,0.104995,0,0.17155,0.366079,-0.232658,0,-0.0007883,0.0219349,0.433756
47,0,0.371094,0.00390625,0.228028,0.129538,0.0916662,0,0.173098,0.363068,-0.237444,0,-0.00081734,0.0202242,0.433818
48,0,0.378906,0.00390625,0.223601,0.125553,0.0807703,0,0.175641,0.358527,-0.240497,0,-0.000836501,0.0184964,0.431718
49,0,0.386719,0.00390625,0.21738,0.119066,0.0722952,0,0.179236,0.352306,-0.241686,0,-0.000827672,0.0160044,0.427237
50,0,0.394531,0.00390625,0.210664,0.110274,0.0660766,0,0.183934,0.344228,-0.240857,0,-0.000774367,0.0123365,0.420125
51,0,0.402344,0.00390625,0.205017,0.0995544,0.0618208,0,0.189774,0.334087,-0.237842,0,-0.000660743,0.00724887,0.410101
