i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.247041,-0.024703,0.0257033,0,0.186394,-0.00796725,0.0104339,0,0,-2.96273,0.0131279
1,0,0.0117188,0.00390625,0.24552,-0.00671963,0.073634,0,0.18776,-0.028073,0.0417495,0,0,-2.5173,0.0503101
2,0,0.0195312,0.00390625,0.246456,0.00608306,0.122179,0,0.190479,-0.0365304,0.0642886,0,0,-0.821375,0.0739425
3,0,0.0273438,0.00390625,0.248445,0.0149329,0.166935,0,0.194045,-0.0431286,0.0882545,0,0,-0.264854,0.098229
4,0,0.0351562,0.00390625,0.250801,0.019445,0.210312,0,0.197786,-0.0501644,0.114665,0,0,0.13433,0.125158
5,0,0.0429688,0.00390625,0.253067,0.0189572,0.252541,0,0.20122,-0.0583963,0.144705,0,0,0.553346,0.156044
6,0,0.0507812,0.00390625,0.254694,0.0142696,0.295129,0,0.203681,-0.067377,0.178982,0,0,1.05198,0.191244
7,0,0.0585938,0.00390625,0.255228,0.00737588,0.338403,0,0.204631,-0.0762943,0.216958,0,0,1.48911,0.229982
8,0,0.0664062,0.00390625,0.254518,0.000996601,0.380896,0,0.203929,-0.0839936,0.256767,0,0,1.67993,0.270156
9,0,0.0742188,0.00390625,0.252756,-0.00234473,0.419904,0,0.201908,-0.0893817,0.295698,0,0,1.5121,0.308912
10,0,0.0820312,0.00390625,0.250416,-0.00129243,0.453101,0,0.199231,-0.0920293,0.331207,0,0,1.09147,0.343755
11,0,0.0898438,0.00390625,0.248012,0.00415583,0.479753,0,0.196538,-0.0922172,0.361749,0,0,0.604836,0.373318
12,0,0.0976562,0.00390625,0.245919,0.0132502,0.500829,0,0.194231,-0.0905577,0.38696,0,0,0.183586,0.397415
13,0,0.105469,0.00390625,0.244324,0.0251816,0.518452,0,0.192493,-0.0875478,0.407254,0,0,-0.124252,0.416558
14,0,0.113281,0.00390625,0.243233,0.0393862,0.534618,0,0.191363,-0.0834706,0.423263,0,0,-0.336307,0.431415
15,0,0.121094,0.00390625,0.242572,0.0554876,0.550674,0,0.190847,-0.0784249,0.435559,0,0,-0.481268,0.442563
16,0,0.128906,0.00390625,0.242202,0.0730918,0.567307,0,0.190939,-0.0723261,0.444556,0,0,-0.565022,0.450401
17,0,0.136719,0.00390625,0.241974,0.0915996,0.584069,0,0.191713,-0.0650654,0.450316,0,0,-0.597991,0.454992
18,0,0.144531,0.00390625,0.241772,0.110089,0.600026,0,0.193275,-0.0567582,0.452711,0,0,-0.613122,0.456255
19,0,0.152344,0.00390625,0.241617,0.127641,0.614045,0,0.195662,-0.0476571,0.451915,0,0,-0.607541,0.454421
20,0,0.160156,0.00390625,0.241844,0.143893,0.624464,0,0.199099,-0.0378085,0.447764,0,0,-0.578208,0.449358
21,0,0.167969,0.00390625,0.243135,0.159035,0.628963,0,0.204137,-0.0267516,0.43913,0,0,-0.532247,0.439944
22,0,0.175781,0.00390625,0.246214,0.173233,0.625569,0,0.211336,-0.013662,0.424294,0,0,-0.469172,0.424514
23,0,0.183594,0.00390625,0.251611,0.185801,0.613278,0,0.221034,0.00229734,0.401237,0,0,-0.401926,0.401244
24,0,0.191406,0.00390625,0.259306,0.194914,0.592298,0,0.233041,0.021834,0.367954,0,0,-0.351539,0.368601
25,0,0.199219,0.00390625,0.268366,0.197878,0.564351,0,0.246191,0.045468,0.323253,0,0,-0.32654,0.326435
26,0,0.207031,0.00390625,0.276836,0.1917,0.532339,0,0.258086,0.0736069,0.26766,0,0,-0.277735,0.277597
27,0,0.214844,0.00390625,0.28223,0.174579,0.49953,0,0.26546,0.105659,0.205176,0,0,-0.0597252,0.230784
28,0,0.222656,0.00390625,0.283269,0.146295,0.471737,0,0.26654,0.138673,0.143291,0,0,0.194909,0.199406
29,0,0.230469,0.00390625,0.280405,0.110294,0.448093,0,0.261827,0.170465,0.0851484,0,0,0.291988,0.190548
30,0,0.238281,0.00390625,0.274727,0.0711504,0.426703,0,0.252938,0.199383,0.0336858,0,0,0.365575,0.202209
31,0,0.246094,0.00390625,0.267714,0.0336052,0.405873,0,0.242215,0.224536,-0.00972982,0,0,0.437591,0.224747
32,0,0.253906,0.00390625,0.260697,0.00142087,0.384689,0,0.231698,0.245634,-0.0453889,0,0,0.490845,0.249792
33,0,0.261719,0.00390625,0.254549,-0.0236471,0.363273,0,0.222538,0.262799,-0.0747961,0,0,0.483108,0.273236
34,0,0.269531,0.00390625,0.249624,-0.0418856,0.342341,0,0.214977,0.276457,-0.100114,0,0,0.376286,0.294025
35,0,0.277344,0.00390625,0.24583,-0.0546983,0.322429,0,0.208619,0.287317,-0.12361,0,0,0.164224,0.312779
36,0,0.285156,0.00390625,0.242818,-0.0633407,0.30321,0,0.202865,0.296371,-0.147115,0,0,-0.109888,0.330875
37,0,0.292969,0.00390625,0.240018,-0.0688347,0.284053,0,0.197044,0.305061,-0.171863,0,0,-0.34164,0.350141
38,0,0.300781,0.00390625,0.236793,-0.071133,0.264043,0,0.190671,0.313857,-0.198282,0,0,-0.575726,0.371244
39,0,0.308594,0.00390625,0.232754,-0.0687438,0.240705,0,0.183936,0.322776,-0.225345,0,0,-0.729092,0.393656
40,0,0.316406,0.00390625,0.227849,-0.0594686,0.211106,0,0.177598,0.33102,-0.250983,0,0,-0.796613,0.415412
41,0,0.324219,0.00390625,0.222384,-0.0436059,0.175066,0,0.172059,0.33895,-0.273911,0,0,-0.688199,0.435792
42,0,0.332031,0.00390625,0.217627,-0.0249745,0.13714,0,0.167088,0.347527,-0.29434,0,0,-0.445939,0.455424
43,0,0.339844,0.00390625,0.214781,-0.00817965,0.103136,0,0.162535,0.356442,-0.312813,0,0,-0.266585,0.47424
44,0,0.347656,0.00390625,0.212785,0.00402577,0.0762845,0,0.158582,0.365044,-0.32949,0,0,-0.179152,0.491753
45,0,0.355469,0.00390625,0.21203,0.0112979,0.0570082,0,0.155523,0.372488,-0.344277,0,0,-0.184949,0.507222
46,0,0.363281,0.00390625,0.213424,0.0150601,0.0434995,0,0.1537,0.37809,-0.356952,0,0,-0.251824,0.519968
47,0,0.371094,0.00390625,0.217523,0.0168051,0.0337131,0,0.153561,0.382034,-0.367066,0,0,-0.256406,0.5298
48,0,0.378906,0.00390625,0.223773,0.0178311,0.0262086,0,0.155466,0.383715,-0.374181,0,0,-0.292939,0.535956
49,0,0.386719,0.00390625,0.230568,0.0190242,0.0199863,0,0.159529,0.382977,-0.378092,0,0,-0.310494,0.538169
50,0,0.394531,0.00390625,0.236434,0.0209753,0.0143433,0,0.165671,0.37926,-0.37884,0,0,-0.382763,0.536057
51,0,0.402344,0.00390625,0.241347,0.0239077,0.00821205,0,0.173944,0.373219,-0.376254,0,0,-0.370801,0.529962
52,0,0.410156,0.00390625,0.246209,0.0272003,0.00226056,0,0.184282,0.365669,-0.370073,0,0,-0.269257,0.520257
53,0,0.417969,0.00390625,0.252126,0.0304871,-0.00285047,0,0.196469,0.35664,-0.36033,0,0,-0.182981,0.506981
54,0,0.425781,0.00390625,0.259168,0.0314227,-0.00438472,0,0.209299,0.347079,-0.348151,0,0,0.00157089,0.491603
