i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.223695,-0.103046,0.134548,0,0.153852,-0.03242,0.0602476,0,0,0.397936,0.0684166
1,0,0.0117188,0.00390625,0.229702,-0.0493251,0.163775,0,0.16111,-0.023682,0.0614857,0,0,0.362232,0.0658887
2,0,0.0195312,0.00390625,0.237146,-0.00970947,0.187884,0,0.170166,-0.0206671,0.0776981,0,0,0.333126,0.0803997
3,0,0.0273438,0.00390625,0.245242,0.0220799,0.219359,0,0.179687,-0.0202366,0.0932307,0,0,0.301915,0.0954017
4,0,0.0351562,0.00390625,0.253073,0.0386028,0.245622,0,0.188984,-0.0253356,0.110219,0,0,0.268592,0.113093
5,0,0.0429688,0.00390625,0.259864,0.0399195,0.272246,0,0.197758,-0.0346451,0.132535,0,0,0.239244,0.136989
6,0,0.0507812,0.00390625,0.268729,0.0316062,0.296057,0,0.206924,-0.0513704,0.155298,0,0,0.217193,0.163574
7,0,0.0585938,0.00390625,0.274224,0.0155628,0.32881,0,0.212719,-0.0692775,0.185398,0,0,0.191843,0.197919
8,0,0.0664062,0.00390625,0.275674,-0.00150231,0.348334,0,0.214555,-0.0893562,0.223622,0,0,0.166161,0.240814
9,0,0.0742188,0.00390625,0.273816,-0.0170449,0.365634,0,0.214286,-0.110351,0.263072,0,0,0.139692,0.285279
10,0,0.0820312,0.00390625,0.271151,-0.0234698,0.37949,0,0.211653,-0.12584,0.30345,0,0,0.100384,0.328508
11,0,0.0898438,0.00390625,0.265678,-0.0274572,0.388239,0,0.206084,-0.133402,0.34078,0,0,0.0656306,0.365961
12,0,0.0976562,0.00390625,0.259174,-0.0292718,0.407997,0,0.200454,-0.135207,0.372998,0,0,0.0314262,0.396747
13,0,0.105469,0.00390625,0.251527,-0.0289487,0.433808,0,0.192963,-0.132419,0.402189,0,0,0.00926067,0.423428
14,0,0.113281,0.00390625,0.246203,-0.0258395,0.468092,0,0.18622,-0.128259,0.424337,0,0,-0.00299806,0.443297
15,0,0.121094,0.00390625,0.241322,-0.0175473,0.515844,0,0.179706,-0.124371,0.441419,0,0,-0.00410765,0.458606
16,0,0.128906,0.00390625,0.235905,-0.00453888,0.552016,0,0.171544,-0.12003,0.457516,0,0,0.00296318,0.472999
17,0,0.136719,0.00390625,0.231687,0.0101046,0.586493,0,0.165078,-0.116175,0.471235,0,0,0.00866933,0.485344
18,0,0.144531,0.00390625,0.227634,0.0268996,0.615428,0,0.159922,-0.112865,0.484603,0,0,0.0140495,0.497572
19,0,0.152344,0.00390625,0.224486,0.0381296,0.659008,0,0.156449,-0.108599,0.495571,0,0,0.0225422,0.507331
20,0,0.160156,0.00390625,0.22445,0.0509449,0.713342,0,0.155969,-0.0998068,0.501356,0,0,0.0313227,0.511193
21,0,0.167969,0.00390625,0.225883,0.0609896,0.775991,0,0.156073,-0.089362,0.50478,0,0,0.0348048,0.512628
22,0,0.175781,0.00390625,0.228465,0.0773149,0.819304,0,0.157029,-0.0748401,0.507713,0,0,0.0289676,0.513199
23,0,0.183594,0.00390625,0.224165,0.0857017,0.843242,0,0.154804,-0.0617508,0.513049,0,0,0.0182226,0.516751
24,0,0.191406,0.00390625,0.213299,0.0814671,0.880977,0,0.145873,-0.056184,0.534609,0,0,-0.0111039,0.537554
25,0,0.199219,0.00390625,0.228004,0.116618,0.745664,0,0.170429,-0.0172316,0.501502,0,0,-0.0462437,0.501798
26,0,0.207031,0.00390625,0.258445,0.160261,0.522274,0,0.220862,0.0500735,0.395367,0,0,-0.0637534,0.398525
27,0,0.214844,0.00390625,0.275217,0.169279,0.43266,0,0.241044,0.104352,0.30402,0,0,-0.0447656,0.321431
28,0,0.222656,0.00390625,0.277879,0.125454,0.397855,0,0.240808,0.148585,0.223074,0,0,0.0141515,0.268029
29,0,0.230469,0.00390625,0.274841,0.0843018,0.368725,0,0.231744,0.186208,0.146045,0,0,0.0622994,0.236649
