i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.234839,-0.0324311,0.0255552,0,0.146714,-0.0106752,0.017225,0,0,-0.00184174,0.0202648
1,0,0.0117188,0.00390625,0.233744,-0.0421611,0.0768225,0,0.145574,-0.0159704,0.0458069,0,0,-0.0106569,0.0485111
2,0,0.0195312,0.00390625,0.231901,-0.0511222,0.127768,0,0.143662,-0.0209135,0.0733944,0,0,-0.0169297,0.0763159
3,0,0.0273438,0.00390625,0.229387,-0.0581253,0.177891,0,0.141069,-0.0253631,0.0994536,0,0,-0.0236055,0.102637
4,0,0.0351562,0.00390625,0.226411,-0.0625636,0.226935,0,0.138024,-0.0291898,0.123604,0,0,-0.0267222,0.127004
5,0,0.0429688,0.00390625,0.223078,-0.0643007,0.274614,0,0.134643,-0.032372,0.145667,0,0,-0.0289904,0.149221
6,0,0.0507812,0.00390625,0.21964,-0.0627941,0.320897,0,0.131192,-0.034816,0.16557,0,0,-0.0257599,0.169191
7,0,0.0585938,0.00390625,0.216152,-0.0579132,0.366141,0,0.127728,-0.0365524,0.183038,0,0,-0.0277458,0.186652
8,0,0.0664062,0.00390625,0.212752,-0.0502006,0.409239,0,0.124385,-0.0376913,0.198528,0,0,-0.0335367,0.202074
9,0,0.0742188,0.00390625,0.209506,-0.0396838,0.451194,0,0.121223,-0.0381555,0.211952,0,0,-0.0102796,0.215359
10,0,0.0820312,0.00390625,0.206556,-0.0264242,0.491084,0,0.118391,-0.0380815,0.223319,0,0,-0.0304071,0.226542
11,0,0.0898438,0.00390625,0.203869,-0.0106893,0.529515,0,0.115834,-0.0374685,0.232861,0,0,-0.0150349,0.235856
12,0,0.0976562,0.00390625,0.201479,0.00716138,0.566542,0,0.113567,-0.0364089,0.240814,0,0,-0.0169478,0.243551
13,0,0.105469,0.00390625,0.19941,0.0269202,0.601807,0,0.111627,-0.0348887,0.247054,0,0,-0.0124164,0.249505
14,0,0.113281,0.00390625,0.197675,0.0482608,0.635722,0,0.109997,-0.0329752,0.251786,0,0,-0.0121957,0.253937
15,0,0.121094,0.00390625,0.196252,0.0708553,0.666935,0,0.108738,-0.0306734,0.254796,0,0,-0.00488293,0.256635
16,0,0.128906,0.00390625,0.195143,0.0948355,0.697971,0,0.107622,-0.0282727,0.257208,0,0,-0.0458263,0.258757
17,0,0.136719,0.00390625,0.194592,0.118049,0.727332,0,0.107148,-0.0250677,0.25706,0,0,0.0124416,0.258279
18,0,0.144531,0.00390625,0.194191,0.142289,0.754383,0,0.106816,-0.021663,0.255969,0,0,0.000886378,0.256884
19,0,0.152344,0.00390625,0.194199,0.167061,0.780189,0,0.106801,-0.018112,0.253715,0,0,-0.0108163,0.254361
20,0,0.160156,0.00390625,0.194555,0.190758,0.804193,0,0.107123,-0.0141333,0.249955,0,0,-0.00593882,0.250354
21,0,0.167969,0.00390625,0.195275,0.213928,0.826467,0,0.107785,-0.00979521,0.244609,0,0,-0.00882966,0.244805
