i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.249347,0.0583151,-0.239719,0,0.173123,-0.0324588,0.00963955,0,0,-2.66243,0.0338599
1,0,0.0117188,0.00390625,0.226727,0.0652683,-0.0238489,0,0.140637,-0.0185961,0.0279663,0,0,1.89292,0.0335846
2,0,0.0195312,0.00390625,0.215592,0.0470997,0.0626238,0,0.128721,-0.0213913,0.0471284,0,0,-0.00722809,0.0517559
3,0,0.0273438,0.00390625,0.202318,0.044625,0.179719,0,0.115231,-0.0223807,0.0638562,0,0,0.216941,0.0676647
4,0,0.0351562,0.00390625,0.196104,0.0439795,0.25117,0,0.10941,-0.0249309,0.0799905,0,0,0.0351232,0.0837856
5,0,0.0429688,0.00390625,0.192603,0.0512133,0.309226,0,0.106264,-0.0272414,0.0948831,0,0,0.0203553,0.0987163
6,0,0.0507812,0.00390625,0.190253,0.0629572,0.360821,0,0.10419,-0.0291652,0.108936,0,0,0.0159347,0.112773
7,0,0.0585938,0.00390625,0.18826,0.0773104,0.408943,0,0.102441,-0.0306191,0.122123,0,0,0.0156825,0.125903
8,0,0.0664062,0.00390625,0.186332,0.0932717,0.454405,0,0.100748,-0.0316004,0.134476,0,0,0.0164685,0.138139
9,0,0.0742188,0.00390625,0.18439,0.11038,0.497249,0,0.0990431,-0.0321378,0.146012,0,0,0.0176694,0.149507
10,0,0.0820312,0.00390625,0.182411,0.128417,0.537486,0,0.0973071,-0.0322553,0.156725,0,0,0.0188876,0.16001
11,0,0.0898438,0.00390625,0.180395,0.147226,0.575076,0,0.095543,-0.0319779,0.166622,0,0,0.0195358,0.169663
12,0,0.0976562,0.00390625,0.178347,0.166653,0.610033,0,0.0937571,-0.031329,0.175728,0,0,0.0200482,0.178499
13,0,0.105469,0.00390625,0.17628,0.186543,0.642359,0,0.0919604,-0.0303296,0.184066,0,0,0.0203787,0.186548
14,0,0.113281,0.00390625,0.174205,0.206748,0.67206,0,0.0901653,-0.0289963,0.191652,0,0,0.0202869,0.193833
15,0,0.121094,0.00390625,0.172137,0.227124,0.69917,0,0.0883854,-0.0273405,0.198494,0,0,0.019978,0.200368
16,0,0.128906,0.00390625,0.170091,0.247522,0.723751,0,0.086635,-0.0253735,0.204608,0,0,0.0195078,0.206175
17,0,0.136719,0.00390625,0.168085,0.26779,0.745882,0,0.0849301,-0.0231085,0.210011,0,0,0.0189089,0.211278
18,0,0.144531,0.00390625,0.166138,0.28778,0.765656,0,0.0832882,-0.0205611,0.21472,0,0,0.0182493,0.215702
19,0,0.152344,0.00390625,0.164276,0.30735,0.78317,0,0.081729,-0.0177486,0.218756,0,0,0.0176411,0.219475
20,0,0.160156,0.00390625,0.162524,0.326367,0.798525,0,0.0802738,-0.0146904,0.222137,0,0,0.0171688,0.222622
21,0,0.167969,0.00390625,0.160913,0.344706,0.811816,0,0.078946,-0.0114075,0.224885,0,0,0.0168633,0.225174
22,0,0.175781,0.00390625,0.159475,0.362257,0.823132,0,0.0777707,-0.00792254,0.227019,0,0,0.0167374,0.227157
23,0,0.183594,0.00390625,0.158248,0.378916,0.832544,0,0.076775,-0.00425878,0.228561,0,0,0.0167849,0.228601
24,0,0.191406,0.00390625,0.157269,0.394595,0.84011,0,0.0759878,-0.000438737,0.229529,0,0,0.0169796,0.22953
25,0,0.199219,0.00390625,0.156579,0.409219,0.845864,0,0.0754394,0.00351766,0.229938,0,0,0.0172748,0.229965
