i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,0.234797,-0.0324386,0.0255415,0,0.14667,-0.0106641,0.0172181,0,0,-0.00181817,0.0202531
1,0,0.0117188,0.00390625,0.233706,-0.042187,0.0767917,0,0.145535,-0.015947,0.0457995,0,0,-0.0106083,0.0484964
2,0,0.0195312,0.00390625,0.23187,-0.051165,0.12772,0,0.14363,-0.0208795,0.073388,0,0,-0.0168894,0.0763004
3,0,0.0273438,0.00390625,0.229364,-0.0581832,0.177831,0,0.141046,-0.0253202,0.0994503,0,0,-0.0235443,0.102623
4,0,0.0351562,0.00390625,0.226398,-0.0626358,0.226863,0,0.138012,-0.0291403,0.123606,0,0,-0.026691,0.126995
5,0,0.0429688,0.00390625,0.223075,-0.0643886,0.274545,0,0.134641,-0.0323181,0.145678,0,0,-0.0287824,0.149219
6,0,0.0507812,0.00390625,0.21965,-0.0628966,0.320816,0,0.131204,-0.0347603,0.165591,0,0,-0.0259594,0.1692
7,0,0.0585938,0.00390625,0.216172,-0.0580273,0.366071,0,0.127748,-0.0364963,0.18307,0,0,-0.0275855,0.186672
8,0,0.0664062,0.00390625,0.212781,-0.0503256,0.409175,0,0.124415,-0.0376364,0.198569,0,0,-0.0334925,0.202105
9,0,0.0742188,0.00390625,0.209544,-0.0398198,0.451152,0,0.121261,-0.0381036,0.212008,0,0,-0.0102726,0.215405
10,0,0.0820312,0.00390625,0.206602,-0.0265657,0.491045,0,0.118437,-0.0380323,0.22338,0,0,-0.0304563,0.226595
11,0,0.0898438,0.00390625,0.203922,-0.0108403,0.5295,0,0.115886,-0.0374232,0.232935,0,0,-0.0150733,0.235922
12,0,0.0976562,0.00390625,0.20154,0.00700235,0.566541,0,0.113624,-0.0363674,0.240893,0,0,-0.0169485,0.243623
13,0,0.105469,0.00390625,0.199477,0.0267519,0.601828,0,0.11169,-0.0348511,0.247137,0,0,-0.0124846,0.249583
14,0,0.113281,0.00390625,0.197747,0.0480842,0.635761,0,0.110065,-0.0329414,0.251871,0,0,-0.012204,0.254016
15,0,0.121094,0.00390625,0.196328,0.0706708,0.666998,0,0.108808,-0.0306433,0.254884,0,0,-0.0043825,0.25672
16,0,0.128906,0.00390625,0.195225,0.0946414,0.698017,0,0.107701,-0.0282481,0.257267,0,0,-0.0475086,0.258813
17,0,0.136719,0.00390625,0.194677,0.11784,0.727448,0,0.107225,-0.0250423,0.257143,0,0,0.0140001,0.258359
18,0,0.144531,0.00390625,0.194279,0.142071,0.754503,0,0.106897,-0.0216411,0.256035,0,0,0.00119315,0.256948
19,0,0.152344,0.00390625,0.19429,0.166825,0.780311,0,0.106886,-0.0180961,0.253759,0,0,-0.0120343,0.254404
20,0,0.160156,0.00390625,0.194649,0.190503,0.804338,0,0.107209,-0.0141176,0.249985,0,0,-0.00580233,0.250383
21,0,0.167969,0.00390625,0.19537,0.21365,0.826624,0,0.107874,-0.0097813,0.244616,0,0,-0.00895522,0.244812
22,0,0.175781,0.00390625,0.196471,0.23565,0.847266,0,0.108892,-0.0050608,0.237668,0,0,-0.00902951,0.237722
23,0,0.183594,0.00390625,0.197936,0.256174,0.866129,0,0.110251,6.17007e-05,0.229045,0,0,-0.00935488,0.229045
24,0,0.191406,0.00390625,0.199754,0.274859,0.883129,0,0.111948,0.00561355,0.218628,0,0,-0.010079,0.2187
25,0,0.199219,0.00390625,0.201918,0.291304,0.89821,0,0.113981,0.0116298,0.206281,0,0,-0.0109868,0.206609
26,0,0.207031,0.00390625,0.204411,0.305153,0.911334,0,0.116342,0.0181458,0.19186,0,0,-0.0121582,0.192716
27,0,0.214844,0.00390625,0.207175,0.316129,0.922391,0,0.118985,0.0252026,0.175151,0,0,-0.0155761,0.176955
28,0,0.222656,0.00390625,0.210133,0.32385,0.931356,0,0.121839,0.0328436,0.156076,0,0,-0.0152519,0.159494
29,0,0.230469,0.00390625,0.213392,0.32824,0.938707,0,0.125019,0.0410737,0.134575,0,0,-0.0191509,0.140704
30,0,0.238281,0.00390625,0.21628,0.328794,0.943417,0,0.127867,0.0499263,0.110254,0,0,-0.0189426,0.121032
31,0,0.246094,0.00390625,0.219242,0.326213,0.946463,0,0.13081,0.0593027,0.0837952,0,0,-0.0191296,0.102657
32,0,0.253906,0.00390625,0.221824,0.320629,0.94793,0,0.133407,0.0692061,0.0548041,0,0,-0.0134946,0.0882778
33,0,0.261719,0.00390625,0.223863,0.312563,0.947408,0,0.135466,0.0793665,0.0242648,0,0,-0.0094969,0.0829929
34,0,0.269531,0.00390625,0.225264,0.302787,0.945663,0,0.136883,0.0896389,-0.00722253,0,0,-0.00164892,0.0899294
35,0,0.277344,0.00390625,0.225957,0.292922,0.942662,0,0.137572,0.0998584,-0.0391913,0,0,0.00640584,0.107274
36,0,0.285156,0.00390625,0.225916,0.282003,0.938627,0,0.13752,0.109739,-0.0707443,0,0,0.0149631,0.130565
37,0,0.292969,0.00390625,0.225319,0.273081,0.933523,0,0.136892,0.119112,-0.101088,0,0,0.0266663,0.156225
38,0,0.300781,0.00390625,0.224275,0.265781,0.927219,0,0.135812,0.127767,-0.129603,0,0,0.0352613,0.181993
39,0,0.308594,0.00390625,0.222938,0.260755,0.919884,0,0.134441,0.135623,-0.155984,0,0,0.0358812,0.206699
