problem,method,reconstruction,limiter,nx,ny,ncell,tfinal,threads,repeat_count,runtime_statistic,selected_solver_time_sec,best_solver_time_sec,median_solver_time_sec,selected_total_wall_time_sec,hydro_time_sec,cleaning_time_sec,iteration_count,time_per_iteration_sec,final_residual_L2_fv,final_residual_Linf_fv,energy_drift,speedup,parallel_efficiency,residual_abs_diff_from_1,residual_rel_diff_from_1,correctness_ok,status,summary_file
divergence_advection,none,plm,mc,128,128,16384,0.02,1,3,median,1.519541607,1.474634091,1.519541607,1.72405,1.51952,2.1607e-05,15,0.10130277380000001,0.0700474,0.490832,9.8063e-15,1.0,1.0,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n128_t1_r2_none_summary.csv
divergence_advection,none,plm,mc,128,128,16384,0.02,2,3,median,0.8028214079999999,0.801753417,0.8028214079999999,0.964389,0.8028,2.1408e-05,15,0.05352142719999999,0.0700474,0.490832,9.8063e-15,1.8927517276669337,0.9463758638334668,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n128_t2_r2_none_summary.csv
divergence_advection,none,plm,mc,128,128,16384,0.02,4,3,median,0.5241653039999999,0.512749658,0.5241653039999999,0.681233,0.524148,1.7304e-05,15,0.0349443536,0.0700474,0.490832,9.8063e-15,2.8989740362517398,0.7247435090629349,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n128_t4_r2_none_summary.csv
divergence_advection,none,plm,mc,128,128,16384,0.02,8,3,median,0.396286922,0.370374812,0.396286922,0.550577,0.396273,1.3922e-05,15,0.026419128133333334,0.0700474,0.490832,9.8063e-15,3.8344480290469947,0.47930600363087433,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n128_t8_r3_none_summary.csv
divergence_advection,none,plm,mc,128,128,16384,0.02,16,3,median,0.5817389940000001,0.45582746700000004,0.5817389940000001,0.770825,0.581728,1.0994e-05,15,0.0387825996,0.0700474,0.490832,9.8063e-15,2.6120676500499465,0.16325422812812165,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n128_t16_r3_none_summary.csv
divergence_advection,none,plm,mc,128,128,16384,0.02,32,3,median,2.937107109,2.871583891,2.937107109,3.27127,2.93708,2.7109e-05,15,0.19580714059999998,0.0700474,0.490832,9.8063e-15,0.5173599567900539,0.016167498649689183,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n128_t32_r2_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,1,3,median,12.623671781,12.331176862,12.623671781,14.233,12.6236,7.1781e-05,30,0.42078905936666666,0.0700611,0.485564,2.72209e-14,1.0,1.0,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t1_r3_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,2,3,median,7.0400162360000005,7.038178768,7.0400162360000005,8.42544,7.03995,6.6236e-05,30,0.23466720786666667,0.0700611,0.485564,2.72209e-14,1.7931310607562638,0.8965655303781319,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t2_r1_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,4,3,median,4.399662579,4.384935696,4.399662579,5.70819,4.39959,7.2579e-05,30,0.1466554193,0.0700611,0.485564,2.72209e-14,2.8692363458175096,0.7173090864543774,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t4_r1_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,8,3,median,2.77499748,2.764643201,2.77499748,4.03117,2.77494,5.748e-05,30,0.092499916,0.0700611,0.485564,2.72209e-14,4.549075043124003,0.5686343803905004,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t8_r3_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,16,3,median,1.990238038,1.9693617289999998,1.990238038,2.98516,1.9902,3.8038e-05,30,0.06634126793333334,0.0700611,0.485564,2.72209e-14,6.342794952148332,0.39642468450927076,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t16_r2_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,32,3,median,5.390045544,5.20325753,5.390045544,6.71892,5.38997,7.5544e-05,30,0.17966818480000002,0.0700611,0.485564,2.72209e-14,2.342034344227797,0.07318857325711865,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t32_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,1,3,median,74.277037529,73.163850826,74.277037529,83.4402,74.2769,0.000137529,59,1.2589328394745762,0.0700631,0.483121,7.25328e-14,1.0,1.0,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t1_r2_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,2,3,median,44.965841996,43.982159896,44.965841996,53.5552,44.9657,0.000141996,59,0.7621329151864407,0.0700631,0.483121,7.25328e-14,1.6518547019670489,0.8259273509835244,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t2_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,4,3,median,34.124261862,31.426468878,34.124261862,43.6211,34.1241,0.000161862,59,0.5783773196949152,0.0700631,0.483121,7.25328e-14,2.1766635665081804,0.5441658916270451,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t4_r1_none_summary.csv
divergence_advection,none,plm,mc,512,512,262144,0.02,8,3,median,20.200848812,19.765123286,20.200848812,27.9015,20.2007,0.000148812,59,0.342387268,0.0700631,0.483121,7.25328e-14,3.6769265598818244,0.45961581998522805,0.0,0.0,1,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n512_t8_r2_none_summary.csv
