x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,3.90625000e-03,2.47041242e-01,-2.47030171e-02,2.57032732e-02,0.00000000e+00,1.86394054e-01,-7.96724821e-03,1.04338669e-02,0.00000000e+00,0.00000000e+00,-3.07246388e+00
3.90625000e-03,1.17187500e-02,2.45499515e-01,-9.55026521e-02,3.41079577e-02,0.00000000e+00,1.85348505e-01,-1.91641917e-02,5.67867239e-03,0.00000000e+00,0.00000000e+00,-1.16887617e+00
3.90625000e-03,1.95312500e-02,2.43772078e-01,-1.65184053e-01,4.22855606e-02,0.00000000e+00,1.82716673e-01,-5.64110561e-02,1.27832898e-02,0.00000000e+00,0.00000000e+00,5.35193935e-01
3.90625000e-03,2.73437500e-02,2.41565119e-01,-2.25833145e-01,5.09590846e-02,0.00000000e+00,1.78851819e-01,-9.03692490e-02,2.30209211e-02,0.00000000e+00,0.00000000e+00,8.25992224e-01
3.90625000e-03,3.51562500e-02,2.39172402e-01,-2.64899920e-01,6.08983991e-02,0.00000000e+00,1.75189528e-01,-1.07584674e-01,3.37547111e-02,0.00000000e+00,0.00000000e+00,7.15803920e-01
3.90625000e-03,4.29687500e-02,2.36788479e-01,-2.90031679e-01,7.04039027e-02,0.00000000e+00,1.72386732e-01,-1.12556788e-01,4.36752220e-02,0.00000000e+00,0.00000000e+00,4.89061945e-01
3.90625000e-03,5.07812500e-02,2.34517915e-01,-3.11314419e-01,7.83872404e-02,0.00000000e+00,1.70359704e-01,-1.12013566e-01,5.24294611e-02,0.00000000e+00,0.00000000e+00,2.99422347e-01
3.90625000e-03,5.85937500e-02,2.32522845e-01,-3.33677835e-01,8.49717154e-02,0.00000000e+00,1.68927986e-01,-1.10070497e-01,6.03262309e-02,0.00000000e+00,0.00000000e+00,2.10798280e-01
3.90625000e-03,6.64062500e-02,2.30997533e-01,-3.57178442e-01,9.07208929e-02,0.00000000e+00,1.68118249e-01,-1.07659695e-01,6.74379479e-02,0.00000000e+00,0.00000000e+00,1.85861687e-01
3.90625000e-03,7.42187500e-02,2.30057201e-01,-3.81035389e-01,9.61487120e-02,0.00000000e+00,1.67994546e-01,-1.04893611e-01,7.35771659e-02,0.00000000e+00,0.00000000e+00,1.87463767e-01
3.90625000e-03,8.20312500e-02,2.29740792e-01,-4.04673692e-01,1.01574085e-01,0.00000000e+00,1.68581725e-01,-1.01924734e-01,7.84375347e-02,0.00000000e+00,0.00000000e+00,2.06022846e-01
3.90625000e-03,8.98437500e-02,2.30040321e-01,-4.27580914e-01,1.07038338e-01,0.00000000e+00,1.69862675e-01,-9.90575432e-02,8.17264467e-02,0.00000000e+00,0.00000000e+00,2.47449458e-01
3.90625000e-03,9.76562500e-02,2.30892897e-01,-4.49275404e-01,1.12260112e-01,0.00000000e+00,1.71768200e-01,-9.67523527e-02,8.31664437e-02,0.00000000e+00,0.00000000e+00,3.06602461e-01
3.90625000e-03,1.05468750e-01,2.32199839e-01,-4.69014455e-01,1.16754487e-01,0.00000000e+00,1.74218778e-01,-9.54005596e-02,8.23615584e-02,0.00000000e+00,0.00000000e+00,3.34620673e-01
3.90625000e-03,1.13281250e-01,2.33849680e-01,-4.86462380e-01,1.20137367e-01,0.00000000e+00,1.77111277e-01,-9.47094242e-02,7.91127627e-02,0.00000000e+00,0.00000000e+00,3.46150226e-01
3.90625000e-03,1.21093750e-01,2.35689011e-01,-5.01307446e-01,1.21895919e-01,0.00000000e+00,1.80258327e-01,-9.48769057e-02,7.33979321e-02,0.00000000e+00,0.00000000e+00,3.52949116e-01
3.90625000e-03,1.28906250e-01,2.37587419e-01,-5.13525565e-01,1.21466484e-01,0.00000000e+00,1.83506468e-01,-9.60888704e-02,6.49796272e-02,0.00000000e+00,0.00000000e+00,3.54908372e-01
3.90625000e-03,1.36718750e-01,2.39408461e-01,-5.23487338e-01,1.18486170e-01,0.00000000e+00,1.86682170e-01,-9.85959314e-02,5.39334147e-02,0.00000000e+00,0.00000000e+00,3.42914081e-01
3.90625000e-03,1.44531250e-01,2.41012893e-01,-5.31069787e-01,1.12798637e-01,0.00000000e+00,1.89608494e-01,-1.02318345e-01,4.01907063e-02,0.00000000e+00,0.00000000e+00,3.11398768e-01
3.90625000e-03,1.52343750e-01,2.42269518e-01,-5.36582915e-01,1.04483700e-01,0.00000000e+00,1.92109418e-01,-1.07365988e-01,2.38151528e-02,0.00000000e+00,0.00000000e+00,2.57245095e-01
3.90625000e-03,1.60156250e-01,2.43037560e-01,-5.40159488e-01,9.39216849e-02,0.00000000e+00,1.93996200e-01,-1.13759096e-01,5.00539353e-03,0.00000000e+00,0.00000000e+00,1.75866991e-01
3.90625000e-03,1.67968750e-01,2.43193263e-01,-5.41714575e-01,8.17346593e-02,0.00000000e+00,1.95119752e-01,-1.21308278e-01,-1.60437593e-02,0.00000000e+00,0.00000000e+00,5.98449334e-02
3.90625000e-03,1.75781250e-01,2.42641683e-01,-5.41489514e-01,6.87622151e-02,0.00000000e+00,1.95354863e-01,-1.29865554e-01,-3.89550627e-02,0.00000000e+00,0.00000000e+00,-8.70989531e-02
3.90625000e-03,1.83593750e-01,2.41332644e-01,-5.40257795e-01,5.59689813e-02,0.00000000e+00,1.94626263e-01,-1.38992722e-01,-6.29753772e-02,0.00000000e+00,0.00000000e+00,-2.56454025e-01
