x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,3.90625000e-03,2.43585821e-01,-1.63016409e-02,2.57621482e-02,0.00000000e+00,1.83536240e-01,-1.46230549e-02,1.40391168e-02,0.00000000e+00,3.91718091e-03,-2.89351756e-02
3.90625000e-03,1.17187500e-02,2.41978988e-01,-7.94005073e-02,2.39508398e-02,0.00000000e+00,1.82165844e-01,-4.25195821e-02,1.37971753e-02,0.00000000e+00,3.18587782e-03,-2.29975326e-02
3.90625000e-03,1.95312500e-02,2.40479423e-01,-1.36959495e-01,2.26512372e-02,0.00000000e+00,1.79790291e-01,-6.63157975e-02,1.36172016e-02,0.00000000e+00,2.15721525e-03,-1.29196964e-02
3.90625000e-03,2.73437500e-02,2.39157010e-01,-1.87976545e-01,2.23179049e-02,0.00000000e+00,1.76943192e-01,-8.52126588e-02,1.37446691e-02,0.00000000e+00,1.06928051e-03,3.70797941e-03
3.90625000e-03,3.51562500e-02,2.37815767e-01,-2.32193802e-01,2.36097640e-02,0.00000000e+00,1.74114837e-01,-9.90552971e-02,1.45339460e-02,0.00000000e+00,9.15650260e-05,1.91807913e-02
3.90625000e-03,4.29687500e-02,2.36294031e-01,-2.69854163e-01,2.62448537e-02,0.00000000e+00,1.71674517e-01,-1.07986746e-01,1.59896750e-02,0.00000000e+00,-6.89358916e-04,2.20015045e-02
3.90625000e-03,5.07812500e-02,2.34673527e-01,-3.02455945e-01,3.00091965e-02,0.00000000e+00,1.69792507e-01,-1.12781651e-01,1.79879759e-02,0.00000000e+00,-1.32231192e-03,1.97244524e-02
3.90625000e-03,5.85937500e-02,2.33156115e-01,-3.32253672e-01,3.47412902e-02,0.00000000e+00,1.68501083e-01,-1.14741786e-01,2.03234424e-02,0.00000000e+00,-1.84831217e-03,1.80355902e-02
3.90625000e-03,6.64062500e-02,2.31900541e-01,-3.60759099e-01,4.03488264e-02,0.00000000e+00,1.67780870e-01,-1.14977714e-01,2.27218399e-02,0.00000000e+00,-2.29612857e-03,1.74177445e-02
3.90625000e-03,7.42187500e-02,2.30998589e-01,-3.88384998e-01,4.67306172e-02,0.00000000e+00,1.67606813e-01,-1.14188841e-01,2.48694827e-02,0.00000000e+00,-2.66862201e-03,1.80008752e-02
3.90625000e-03,8.20312500e-02,2.30479606e-01,-4.14918270e-01,5.37222231e-02,0.00000000e+00,1.67937690e-01,-1.12829272e-01,2.64494607e-02,0.00000000e+00,-2.94423384e-03,1.89351170e-02
3.90625000e-03,8.98437500e-02,2.30318254e-01,-4.39939477e-01,6.10908632e-02,0.00000000e+00,1.68704663e-01,-1.11267818e-01,2.71745462e-02,0.00000000e+00,-3.09760351e-03,2.00083451e-02
3.90625000e-03,9.76562500e-02,2.30452236e-01,-4.62940553e-01,6.85617789e-02,0.00000000e+00,1.69815110e-01,-1.09795024e-01,2.68123308e-02,0.00000000e+00,-3.10325588e-03,1.94756668e-02
3.90625000e-03,1.05468750e-01,2.30786779e-01,-4.83357642e-01,7.58229814e-02,0.00000000e+00,1.71157949e-01,-1.08576876e-01,2.51838570e-02,0.00000000e+00,-2.98722919e-03,1.92529624e-02
3.90625000e-03,1.13281250e-01,2.31239184e-01,-5.00579389e-01,8.25414058e-02,0.00000000e+00,1.72632077e-01,-1.07681363e-01,2.21631195e-02,0.00000000e+00,-2.76864122e-03,1.95647082e-02
3.90625000e-03,1.21093750e-01,2.31712382e-01,-5.14633207e-01,8.84536220e-02,0.00000000e+00,1.74128572e-01,-1.07323803e-01,1.77056502e-02,0.00000000e+00,-2.44282618e-03,1.86052993e-02
3.90625000e-03,1.28906250e-01,2.32118778e-01,-5.25590463e-01,9.33978899e-02,0.00000000e+00,1.75554982e-01,-1.07600649e-01,1.18529628e-02,0.00000000e+00,-2.03930956e-03,1.69713528e-02
3.90625000e-03,1.36718750e-01,2.32390795e-01,-5.33629852e-01,9.72875634e-02,0.00000000e+00,1.76847985e-01,-1.08518342e-01,4.71699064e-03,0.00000000e+00,-1.59817828e-03,1.48207833e-02
3.90625000e-03,1.44531250e-01,2.32484849e-01,-5.39049631e-01,1.00103232e-01,0.00000000e+00,1.77975928e-01,-1.10021324e-01,-3.52783335e-03,0.00000000e+00,-1.16452040e-03,1.24292105e-02
3.90625000e-03,1.52343750e-01,2.32381456e-01,-5.42250980e-01,1.01874258e-01,0.00000000e+00,1.78937655e-01,-1.12010271e-01,-1.26526744e-02,0.00000000e+00,-7.83666162e-04,1.02498769e-02
3.90625000e-03,1.60156250e-01,2.32082841e-01,-5.43718635e-01,1.02655543e-01,0.00000000e+00,1.79758431e-01,-1.14355838e-01,-2.23816610e-02,0.00000000e+00,-4.95163481e-04,8.82547095e-03
3.90625000e-03,1.67968750e-01,2.31610395e-01,-5.44011194e-01,1.02509204e-01,0.00000000e+00,1.80484180e-01,-1.16907322e-01,-3.23975592e-02,0.00000000e+00,-3.25911170e-04,8.63219614e-03
3.90625000e-03,1.75781250e-01,2.31004474e-01,-5.43769658e-01,1.01503422e-01,0.00000000e+00,1.81175726e-01,-1.19494891e-01,-4.23466899e-02,0.00000000e+00,-2.83043210e-04,9.88514535e-03
3.90625000e-03,1.83593750e-01,2.30323410e-01,-5.43732349e-01,9.97389200e-02,0.00000000e+00,1.81904119e-01,-1.21931126e-01,-5.18462310e-02,0.00000000e+00,-3.47964599e-04,1.23504308e-02
3.90625000e-03,1.91406250e-01,2.29643844e-01,-5.44726953e-01,9.74079206e-02,0.00000000e+00,1.82746005e-01,-1.24023692e-01,-6.04983241e-02,0.00000000e+00,-4.74741592e-04,1.52960682e-02
3.90625000e-03,1.99218750e-01,2.29056674e-01,-5.47618925e-01,9.48689464e-02,0.00000000e+00,1.83775160e-01,-1.25604217e-01,-6.79145691e-02,0.00000000e+00,-5.97634044e-04,1.77158294e-02
3.90625000e-03,2.07031250e-01,2.28655068e-01,-5.53208290e-01,9.26922876e-02,0.00000000e+00,1.85050427e-01,-1.26551873e-01,-7.37537025e-02,0.00000000e+00,-6.50613500e-04,1.87999767e-02
3.90625000e-03,2.14843750e-01,2.28514439e-01,-5.61999284e-01,9.16160013e-02,0.00000000e+00,1.86601979e-01,-1.26838676e-01,-7.77692899e-02,0.00000000e+00,-5.93790748e-04,1.84719188e-02
3.90625000e-03,2.22656250e-01,2.28671696e-01,-5.73964648e-01,9.23708889e-02,0.00000000e+00,1.88424702e-01,-1.26556970e-01,-7.98570896e-02,0.00000000e+00,-4.30060603e-04,1.74512947e-02
3.90625000e-03,2.30468750e-01,2.29123829e-01,-5.88465253e-01,9.54217290e-02,0.00000000e+00,1.90491113e-01,-1.25906609e-01,-8.00863830e-02,0.00000000e+00,-1.97587344e-04,1.65929928e-02
3.90625000e-03,2.38281250e-01,2.29855427e-01,-6.04420491e-01,1.00763160e-01,0.00000000e+00,1.92782149e-01,-1.25131486e-01,-7.87025499e-02,0.00000000e+00,5.38628760e-05,1.63112960e-02
3.90625000e-03,2.46093750e-01,2.30877779e-01,-6.20596289e-01,1.07891918e-01,0.00000000e+00,1.95315160e-01,-1.24431806e-01,-7.61000375e-02,0.00000000e+00,2.85919269e-04,1.65222296e-02
3.90625000e-03,2.53906250e-01,2.32249338e-01,-6.35824313e-01,1.15961113e-01,0.00000000e+00,1.98146104e-01,-1.23899950e-01,-7.27752683e-02,0.00000000e+00,4.83807003e-04,1.68509839e-02
3.90625000e-03,2.61718750e-01,2.34057895e-01,-6.49067095e-01,1.24023840e-01,0.00000000e+00,2.01341425e-01,-1.23527302e-01,-6.92737182e-02,0.00000000e+00,6.57065589e-04,1.68136939e-02
3.90625000e-03,2.69531250e-01,2.36373331e-01,-6.59403231e-01,1.31241980e-01,0.00000000e+00,2.04933639e-01,-1.23275528e-01,-6.61425412e-02,0.00000000e+00,8.31753332e-04,1.59215928e-02
3.90625000e-03,2.77343750e-01,2.39194256e-01,-6.66027542e-01,1.36998783e-01,0.00000000e+00,2.08880985e-01,-1.23174960e-01,-6.38949544e-02,0.00000000e+00,1.03730830e-03,1.38444220e-02
3.90625000e-03,2.85156250e-01,2.42412091e-01,-6.68298219e-01,1.40911453e-01,0.00000000e+00,2.13044717e-01,-1.23406601e-01,-6.29871022e-02,0.00000000e+00,1.29404060e-03,1.04905230e-02
3.90625000e-03,2.92968750e-01,2.45805736e-01,-6.65828721e-01,1.42777601e-01,0.00000000e+00,2.17189049e-01,-1.24324662e-01,-6.38032369e-02,0.00000000e+00,1.60435447e-03,6.02778414e-03
3.90625000e-03,3.00781250e-01,2.49066203e-01,-6.58558012e-01,1.42491029e-01,0.00000000e+00,2.21000696e-01,-1.26412240e-01,-6.66446164e-02,0.00000000e+00,1.94962063e-03,8.23115711e-04
3.90625000e-03,3.08593750e-01,2.51839302e-01,-6.46774668e-01,1.39971940e-01,0.00000000e+00,2.24120100e-01,-1.30191181e-01,-7.17172973e-02,0.00000000e+00,2.29247891e-03,-4.63416171e-03
3.90625000e-03,3.16406250e-01,2.53771026e-01,-6.31131039e-01,1.35142063e-01,0.00000000e+00,2.26177236e-01,-1.36101539e-01,-7.91150235e-02,0.00000000e+00,2.58334348e-03,-9.74216250e-03
3.90625000e-03,3.24218750e-01,2.54541180e-01,-6.12559327e-01,1.27948244e-01,0.00000000e+00,2.26824891e-01,-1.44427495e-01,-8.87964569e-02,0.00000000e+00,2.77119101e-03,-1.38630268e-02
3.90625000e-03,3.32031250e-01,2.53885261e-01,-5.92158773e-01,1.18409437e-01,0.00000000e+00,2.25773150e-01,-1.55243588e-01,-1.00561607e-01,0.00000000e+00,2.81735824e-03,-1.63280732e-02
3.90625000e-03,3.39843750e-01,2.51610426e-01,-5.71034424e-01,1.06674978e-01,0.00000000e+00,2.22821319e-01,-1.68400162e-01,-1.14033836e-01,0.00000000e+00,2.71267181e-03,-1.63274716e-02
3.90625000e-03,3.47656250e-01,2.47621400e-01,-5.50154305e-01,9.30640689e-02,0.00000000e+00,2.17890648e-01,-1.83528597e-01,-1.28651788e-01,0.00000000e+00,2.50427639e-03,-1.97122271e-02
3.90625000e-03,3.55468750e-01,2.41985734e-01,-5.30494205e-01,7.81084525e-02,0.00000000e+00,2.11118426e-01,-1.99963013e-01,-1.43733670e-01,0.00000000e+00,2.15440827e-03,-2.65932347e-02
3.90625000e-03,3.63281250e-01,2.34813907e-01,-5.12420722e-01,6.24850769e-02,0.00000000e+00,2.02757579e-01,-2.17028290e-01,-1.58561609e-01,0.00000000e+00,1.65972244e-03,-2.52881125e-02
