family,problem,method,nx,ny,ncell,mpi_ranks,omp_threads_per_rank,total_cores,config_label,repeat_count,successful_repeats,runtime_statistic,solver_time_sec,best_solver_time_sec,median_solver_time_sec,wall_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,output_time_sec,seconds_per_step,cell_updates_per_second,steps,total_cell_updates,speedup,parallel_efficiency,final_L1_fv,final_L2_fv,final_Linf_fv,energy_drift,projection_iterations_total,projection_true_residual,projection_converged,status,failure_reason,summary_file
hybrid,divergence_advection,elliptic_projection,128,128,16384,1,8,8,1x8,1,1,best,4.95245,4.95245,4.95245,5.07756,1.0672,3.88525,0.0353095,0.000161124,0.338504,48401.2,15,245760,1.0181506123231936,0.1272688265403992,3.78207e-09,4.44197e-09,2.15728e-08,-4.38142e-06,8592,2.15729e-08,1,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_elliptic_projection_n128_r1_t8_rep1_elliptic_projection_summary.csv
hybrid,divergence_advection,elliptic_projection,128,128,16384,2,4,8,2x4,1,1,best,1.8658000000000001,1.8658000000000001,1.8658000000000001,1.95512,0.58406,1.28174,0.0292623,0.000175677,0.130341,125701.0,15,245760,2.702508307428449,0.3378135384285561,7.42906e-13,9.55085e-13,4.90469e-12,-4.38142e-06,3033,4.90327e-12,1,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_elliptic_projection_n128_r2_t4_rep1_elliptic_projection_summary.csv
hybrid,divergence_advection,elliptic_projection,128,128,16384,4,2,8,4x2,1,1,best,1.117664,1.117664,1.117664,1.18271,0.356424,0.76124,0.0222547,0.000200182,0.0788474,207794.0,15,245760,4.511498983594354,0.5639373729492942,7.42835e-13,9.55035e-13,4.90545e-12,-4.38142e-06,3033,4.90326e-12,1,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_elliptic_projection_n128_r4_t2_rep1_elliptic_projection_summary.csv
hybrid,divergence_advection,elliptic_projection,128,128,16384,8,1,8,8x1,1,1,best,0.64993,0.64993,0.64993,0.699561,0.21557,0.43436,0.0185753,0.000198817,0.0466374,351306.0,15,245760,7.758281661101965,0.9697852076377457,7.4287e-13,9.55057e-13,4.89229e-12,-4.38142e-06,3033,4.90326e-12,1,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_elliptic_projection_n128_r8_t1_rep1_elliptic_projection_summary.csv
hybrid,divergence_advection,mixed_glm,128,128,16384,1,8,8,1x8,1,1,best,1.534135,1.534135,1.534135,1.65301,1.00193,0.532205,0.0344812,0.000173586,0.110201,148674.0,15,245760,1.0780035655271536,0.1347504456908942,0.0110368,0.0192145,0.0611219,1.38641e-14,0,nan,,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_mixed_glm_n128_r1_t8_rep1_mixed_glm_summary.csv
hybrid,divergence_advection,mixed_glm,128,128,16384,2,4,8,2x4,1,1,best,0.871992,0.871992,0.871992,0.953777,0.54864,0.323352,0.0261491,0.000169664,0.0635851,257670.0,15,245760,1.8965804732153506,0.23707255915191883,0.0110368,0.0192145,0.0611219,1.38641e-14,0,nan,,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_mixed_glm_n128_r2_t4_rep1_mixed_glm_summary.csv
hybrid,divergence_advection,mixed_glm,128,128,16384,4,2,8,4x2,1,1,best,0.509864,0.509864,0.509864,0.57204,0.308166,0.201698,0.0216477,0.000176863,0.038136,429620.0,15,245760,3.2436159446440618,0.4054519930805077,0.0110368,0.0192145,0.0611219,1.38641e-14,0,nan,,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_mixed_glm_n128_r4_t2_rep1_mixed_glm_summary.csv
hybrid,divergence_advection,mixed_glm,128,128,16384,8,1,8,8x1,1,1,best,0.299849,0.299849,0.299849,0.344386,0.184631,0.115218,0.0161773,0.000174363,0.022959,713619.0,15,245760,5.515452777898209,0.6894315972372761,0.0110368,0.0192145,0.0611219,1.38641e-14,0,nan,,finished,,results/performance/runs/summaries/perf_hybrid_divergence_advection_mixed_glm_n128_r8_t1_rep1_mixed_glm_summary.csv
mpi,divergence_advection,elliptic_projection,128,128,16384,1,1,1,1x1,1,1,best,5.04234,5.04234,5.04234,5.16929,1.1081,3.93424,0.0364602,0.000168204,0.344619,47542.3,15,245760,1.0,1.0,3.78207e-09,4.44197e-09,2.15728e-08,-4.38142e-06,8592,2.15729e-08,1,finished,,results/performance/runs/summaries/perf_mpi_divergence_advection_elliptic_projection_n128_r1_t1_rep1_elliptic_projection_summary.csv
mpi,divergence_advection,elliptic_projection,128,128,16384,2,1,2,2x1,1,1,best,1.688267,1.688267,1.688267,1.77882,0.572587,1.11568,0.0301692,0.000160984,0.118588,138159.0,15,245760,2.9866958247717927,1.4933479123858964,7.42855e-13,9.55039e-13,4.90179e-12,-4.38142e-06,3033,4.90327e-12,1,finished,,results/performance/runs/summaries/perf_mpi_divergence_advection_elliptic_projection_n128_r2_t1_rep1_elliptic_projection_summary.csv
