family,problem,method,nx,ny,ncell,mpi_ranks,omp_threads_per_rank,total_cores,config_label,repeat_count,successful_repeats,runtime_statistic,solver_time_sec,best_solver_time_sec,median_solver_time_sec,wall_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,output_time_sec,seconds_per_step,cell_updates_per_second,steps,total_cell_updates,speedup,parallel_efficiency,final_L1_fv,final_L2_fv,final_Linf_fv,energy_drift,projection_iterations_total,projection_true_residual,projection_converged,status,failure_reason,summary_file
hybrid,divergence_advection,elliptic_projection,256,256,65536,1,8,8,1x8,3,3,best,73.40463,73.40463,73.90783,74.3046,8.45723,64.9474,0.247298,0.000197404,2.47682,26459.7,30,1966080,0.9722762719463337,0.12153453399329171,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_elliptic_projection_n256_r1_t8_rep3_elliptic_projection_summary.csv
hybrid,divergence_advection,elliptic_projection,256,256,65536,2,4,8,2x4,3,3,best,22.454320000000003,22.454320000000003,22.59552,23.0483,4.75382,17.7005,0.170532,0.000215845,0.768275,85302.8,30,1966080,3.178434261202298,0.3973042826502873,7.16719e-13,9.17458e-13,5.70866e-12,-4.3793e-06,11453,5.70665e-12,1,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_elliptic_projection_n256_r2_t4_rep1_elliptic_projection_summary.csv
hybrid,divergence_advection,elliptic_projection,256,256,65536,4,2,8,4x2,3,3,best,15.05942,15.05942,15.54524,15.5425,3.21302,11.8464,0.139396,0.000296531,0.518084,126497.0,30,1966080,4.739198455186189,0.5923998068982737,7.16912e-13,9.17549e-13,5.72975e-12,-4.3793e-06,11453,5.70666e-12,1,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_elliptic_projection_n256_r4_t2_rep2_elliptic_projection_summary.csv
hybrid,divergence_advection,elliptic_projection,256,256,65536,8,1,8,8x1,3,3,best,9.633049999999999,9.633049999999999,10.1648,9.98236,2.12002,7.51303,0.10575,0.000425125,0.332745,196955.0,30,1966080,7.408824827027785,0.9261031033784731,7.16681e-13,9.17395e-13,5.71693e-12,-4.3793e-06,11453,5.70665e-12,1,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_elliptic_projection_n256_r8_t1_rep1_elliptic_projection_summary.csv
hybrid,divergence_advection,mixed_glm,256,256,65536,1,8,8,1x8,3,3,best,13.511130000000001,13.511130000000001,13.63735,14.4618,8.8558,4.65533,0.261406,0.000227878,0.482059,135950.0,30,1966080,0.9358506653403525,0.11698133316754407,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_mixed_glm_n256_r1_t8_rep3_mixed_glm_summary.csv
hybrid,divergence_advection,mixed_glm,256,256,65536,2,4,8,2x4,3,3,best,7.8109,7.8109,7.81739,8.43408,4.97528,2.83562,0.176431,0.000265697,0.281136,233111.0,30,1966080,1.618814733257371,0.20235184165717138,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_mixed_glm_n256_r2_t4_rep1_mixed_glm_summary.csv
hybrid,divergence_advection,mixed_glm,256,256,65536,4,2,8,4x2,3,3,best,5.14929,5.14929,5.1577,5.62875,3.17867,1.97062,0.138883,0.000303807,0.187625,349293.0,30,1966080,2.4555618347383814,0.3069452293422977,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_mixed_glm_n256_r4_t2_rep1_mixed_glm_summary.csv
hybrid,divergence_advection,mixed_glm,256,256,65536,8,1,8,8x1,3,3,best,3.4529500000000004,3.4529500000000004,3.5879000000000003,3.84028,2.19653,1.25642,0.117989,0.000345529,0.128009,511963.0,30,1966080,3.661912277907296,0.457739034738412,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256/summaries/perf_hybrid_divergence_advection_mixed_glm_n256_r8_t1_rep1_mixed_glm_summary.csv
mpi,divergence_advection,elliptic_projection,256,256,65536,1,1,1,1x1,3,3,best,71.36958,71.36958,75.05941999999999,72.2442,8.47598,62.8936,0.234793,0.000172638,2.40814,27214.4,30,1966080,1.0,1.0,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256/summaries/perf_mpi_divergence_advection_elliptic_projection_n256_r1_t1_rep1_elliptic_projection_summary.csv
mpi,divergence_advection,elliptic_projection,256,256,65536,2,1,2,2x1,3,3,best,21.771050000000002,21.771050000000002,21.80032,22.3662,5.02765,16.7434,0.169395,0.00025834,0.745541,87903.9,30,1966080,3.278187317561624,1.639093658780812,7.16755e-13,9.17392e-13,5.68762e-12,-4.3793e-06,11453,5.70665e-12,1,finished,,results/performance/runs_256/summaries/perf_mpi_divergence_advection_elliptic_projection_n256_r2_t1_rep2_elliptic_projection_summary.csv
