family,problem,method,nx,ny,ncell,mpi_ranks,omp_threads_per_rank,total_cores,config_label,repeat_count,successful_repeats,runtime_statistic,solver_time_sec,best_solver_time_sec,median_solver_time_sec,wall_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,output_time_sec,seconds_per_step,cell_updates_per_second,steps,total_cell_updates,speedup,parallel_efficiency,final_L1_fv,final_L2_fv,final_Linf_fv,energy_drift,projection_iterations_total,projection_true_residual,projection_converged,status,failure_reason,summary_file
openmp,divergence_advection,elliptic_projection,256,256,65536,1,1,1,1x1,3,3,best,77.46343999999999,77.46343999999999,79.85229,78.3097,8.24274,69.2207,0.23602,0.000190269,2.61032,25106.5,30,1966080,1.0,1.0,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t1_rep2_elliptic_projection_summary.csv
openmp,divergence_advection,elliptic_projection,256,256,65536,1,2,2,1x2,3,3,best,74.62495000000001,74.62495000000001,74.70834,75.4351,5.97965,68.6453,0.231658,0.000195915,2.5145,26063.2,30,1966080,1.0380367424031771,0.5190183712015886,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t2_rep2_elliptic_projection_summary.csv
openmp,divergence_advection,elliptic_projection,256,256,65536,1,4,4,1x4,3,3,best,79.91474,79.91474,80.46477,80.7445,3.74484,76.1699,0.258273,0.000201202,2.69148,24349.4,30,1966080,0.9693260592476431,0.2423315148119108,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t4_rep1_elliptic_projection_summary.csv
openmp,divergence_advection,elliptic_projection,256,256,65536,1,8,8,1x8,3,3,best,82.24301,82.24301,82.35195999999999,83.0824,2.37541,79.8676,0.270359,0.000217577,2.76941,23664.2,30,1966080,0.9418847875339192,0.1177355984417399,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t8_rep1_elliptic_projection_summary.csv
openmp,divergence_advection,elliptic_projection,256,256,65536,1,16,16,1x16,3,3,best,73.39647000000001,73.39647000000001,73.7774,74.1921,1.61557,71.7809,0.255059,0.000178771,2.47307,26499.9,30,1966080,1.055410975486968,0.0659631859679355,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t16_rep2_elliptic_projection_summary.csv
openmp,divergence_advection,elliptic_projection,256,256,65536,1,24,24,1x24,3,3,best,72.8958,72.8958,73.60912,73.7122,1.3921,71.5037,0.263919,0.000233322,2.45707,26672.4,30,1966080,1.062659851459206,0.044277493810800254,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t24_rep1_elliptic_projection_summary.csv
openmp,divergence_advection,elliptic_projection,256,256,65536,1,32,32,1x32,3,3,best,73.14205000000001,73.14205000000001,74.70636,74.0501,1.67485,71.4672,0.25586,0.0002501,2.46834,26550.7,30,1966080,1.0590821558870716,0.033096317371470986,1.3592e-08,1.55897e-08,8.43815e-08,-4.3793e-06,37104,8.43815e-08,1,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_elliptic_projection_n256_r1_t32_rep1_elliptic_projection_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,1,1,1x1,3,3,best,12.3453,12.3453,12.66078,13.209,8.06132,4.28398,0.243667,0.000171421,0.4403,148844.0,30,1966080,1.0,1.0,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t1_rep2_mixed_glm_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,2,2,1x2,3,3,best,11.92859,11.92859,12.594159999999999,12.8801,6.94937,4.97922,0.278019,0.00026523,0.429336,152645.0,30,1966080,1.0349337180672653,0.5174668590336327,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t2_rep3_mixed_glm_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,4,4,1x4,3,3,best,9.12809,9.12809,9.225470000000001,10.0238,4.03454,5.09355,0.279214,0.00020121,0.334126,196142.0,30,1966080,1.3524516081677547,0.33811290204193867,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t4_rep3_mixed_glm_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,8,8,1x8,3,3,best,7.599410000000001,7.599410000000001,7.60702,8.46225,2.4808,5.11861,0.277552,0.000207285,0.282075,232335.0,30,1966080,1.6245076920445138,0.20306346150556423,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t8_rep3_mixed_glm_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,16,16,1x16,3,3,best,7.07765,7.07765,7.13648,7.95746,1.79552,5.28213,0.278388,0.000264208,0.265249,247074.0,30,1966080,1.7442653988258814,0.10901658742661759,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t16_rep1_mixed_glm_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,24,24,1x24,3,3,best,6.973190000000001,6.973190000000001,7.33566,7.87334,1.60622,5.36697,0.285862,0.000220661,0.262445,249714.0,30,1966080,1.7703948981742932,0.07376645409059555,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t24_rep2_mixed_glm_summary.csv
openmp,divergence_advection,mixed_glm,256,256,65536,1,32,32,1x32,3,3,best,7.82033,7.82033,8.27914,8.83286,2.50516,5.31517,0.291373,0.000260937,0.294429,222587.0,30,1966080,1.5786162476519532,0.04933175773912354,0.0115828,0.020556,0.0660847,5.15676e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_mixed_glm_n256_r1_t32_rep3_mixed_glm_summary.csv
openmp,divergence_advection,none,256,256,65536,1,1,1,1x1,3,3,best,8.061320766,8.061320766,8.296350705,8.92322,8.06127,5.0766e-05,0.241231,0.000176588,0.297441,220333.0,30,1966080,1.0,1.0,0.0198192,0.0700611,0.485564,2.72209e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_none_n256_r1_t1_rep2_none_summary.csv
openmp,divergence_advection,none,256,256,65536,1,2,2,1x2,3,3,best,5.83274878,5.83274878,5.853498307,6.66638,5.8327,4.878e-05,0.241273,0.000195382,0.222213,294925.0,30,1966080,1.3820791997148212,0.6910395998574106,0.0198192,0.0700611,0.485564,2.72209e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_none_n256_r1_t2_rep3_none_summary.csv
openmp,divergence_advection,none,256,256,65536,1,4,4,1x4,3,3,best,3.409217359,3.409217359,3.409805351,4.211,3.40918,3.7359e-05,0.249196,0.00017119,0.140367,466892.0,30,1966080,2.3645663849267056,0.5911415962316764,0.0198192,0.0700611,0.485564,2.72209e-14,0,nan,,finished,,results/performance/runs_256_openmp_32/summaries/perf_openmp_divergence_advection_none_n256_r1_t4_rep2_none_summary.csv
