i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
0,0,0.00390625,0.00390625,1.00157,0.000785399,0,0,-0.000274632,2.1422e-06,3.78859e-06,2.95519e-08,6.25069e-21,1.00157
1,0,0.0117188,0.00390625,1.00157,0.000789724,0,0,-0.000275431,2.14843e-06,2.19258e-06,1.71027e-08,1.33455e-20,1.00157
2,0,0.0195312,0.00390625,1.00156,0.000795491,0,0,-0.000275425,2.1484e-06,2.1946e-06,1.71185e-08,2.81444e-20,1.00156
3,0,0.0273438,0.00390625,1.00155,0.0008027,0,0,-0.000275407,2.14828e-06,2.19307e-06,1.71068e-08,5.86271e-20,1.00155
4,0,0.0351562,0.00390625,1.00154,0.00081135,0,0,-0.000275362,2.14795e-06,2.18801e-06,1.70675e-08,1.20629e-19,1.00154
5,0,0.0429688,0.00390625,1.00153,0.000821442,0,0,-0.000275276,2.14731e-06,2.17943e-06,1.70008e-08,2.45161e-19,1.00153
6,0,0.0507812,0.00390625,1.00151,0.000832973,0,0,-0.000275127,2.14619e-06,2.16735e-06,1.69069e-08,4.92149e-19,1.00151
7,0,0.0585938,0.00390625,1.00149,0.000845944,0,0,-0.000274893,2.14441e-06,2.15179e-06,1.67859e-08,9.75855e-19,1.00149
8,0,0.0664062,0.00390625,1.00147,0.000860353,0,0,-0.000274547,2.14176e-06,2.1328e-06,1.66381e-08,1.91125e-18,1.00147
9,0,0.0742188,0.00390625,1.00144,0.000876196,0,0,-0.000274059,2.138e-06,2.11043e-06,1.6464e-08,3.69735e-18,1.00144
10,0,0.0820312,0.00390625,1.00141,0.00089347,0,0,-0.000273395,2.13288e-06,2.08472e-06,1.62639e-08,7.06486e-18,1.00141
11,0,0.0898438,0.00390625,1.00138,0.000912172,0,0,-0.000272518,2.12611e-06,2.05573e-06,1.60383e-08,1.33339e-17,1.00138
12,0,0.0976562,0.00390625,1.00135,0.000932294,0,0,-0.000271387,2.11736e-06,2.02355e-06,1.57877e-08,2.48568e-17,1.00135
13,0,0.105469,0.00390625,1.00131,0.000953829,0,0,-0.00026996,2.10631e-06,1.98824e-06,1.55128e-08,4.57689e-17,1.00131
14,0,0.113281,0.00390625,1.00127,0.000976768,0,0,-0.00026819,2.09258e-06,1.9499e-06,1.52143e-08,8.32397e-17,1.00127
15,0,0.121094,0.00390625,1.00123,0.0010011,0,0,-0.000266028,2.0758e-06,1.90861e-06,1.48927e-08,1.49528e-16,1.00123
16,0,0.128906,0.00390625,1.00118,0.00102681,0,0,-0.000263422,2.05556e-06,1.86447e-06,1.4549e-08,2.65306e-16,1.00118
17,0,0.136719,0.00390625,1.00113,0.00105388,0,0,-0.000260317,2.03143e-06,1.81759e-06,1.41839e-08,4.64943e-16,1.00113
18,0,0.144531,0.00390625,1.00108,0.00108229,0,0,-0.000256657,2.00297e-06,1.76809e-06,1.37983e-08,8.04786e-16,1.00108
19,0,0.152344,0.00390625,1.00103,0.00111202,0,0,-0.000252385,1.96974e-06,1.71608e-06,1.33931e-08,1.3759e-15,1.00103
20,0,0.160156,0.00390625,1.00097,0.00114305,0,0,-0.00024744,1.93125e-06,1.66169e-06,1.29694e-08,2.32336e-15,1.00097
21,0,0.167969,0.00390625,1.00091,0.00117534,0,0,-0.000241763,1.88706e-06,1.60505e-06,1.2528e-08,3.87498e-15,1.00091
22,0,0.175781,0.00390625,1.00085,0.00120885,0,0,-0.000235293,1.83666e-06,1.54629e-06,1.20702e-08,6.38324e-15,1.00085
23,0,0.183594,0.00390625,1.00078,0.00124356,0,0,-0.000227969,1.77961e-06,1.48557e-06,1.15969e-08,1.03856e-14,1.00078
24,0,0.191406,0.00390625,1.00072,0.0012794,0,0,-0.000219732,1.71543e-06,1.42302e-06,1.11094e-08,1.66892e-14,1.00072
25,0,0.199219,0.00390625,1.00065,0.00131635,0,0,-0.000210526,1.64367e-06,1.35879e-06,1.06087e-08,2.64883e-14,1.00065
26,0,0.207031,0.00390625,1.00058,0.00135433,0,0,-0.000200294,1.56389e-06,1.29305e-06,1.00961e-08,4.15223e-14,1.00058
27,0,0.214844,0.00390625,1.0005,0.0013933,0,0,-0.000188986,1.47571e-06,1.22594e-06,9.57283e-09,6.42863e-14,1.0005
28,0,0.222656,0.00390625,1.00043,0.00143318,0,0,-0.000176554,1.37874e-06,1.15763e-06,9.04014e-09,9.83015e-14,1.00043
29,0,0.230469,0.00390625,1.00035,0.0014739,0,0,-0.000162957,1.27266e-06,1.08829e-06,8.49931e-09,1.48458e-13,1.00035
30,0,0.238281,0.00390625,1.00027,0.00151539,0,0,-0.000148161,1.15719e-06,1.01808e-06,7.95163e-09,2.21436e-13,1.00027
31,0,0.246094,0.00390625,1.00019,0.00155755,0,0,-0.000132137,1.03212e-06,9.47178e-07,7.39842e-09,3.26203e-13,1.00019
32,0,0.253906,0.00390625,1.00011,0.00160029,0,0,-0.000114866,8.97298e-07,8.75743e-07,6.84101e-09,4.74594e-13,1.00011
33,0,0.261719,0.00390625,1.00002,0.00164353,0,0,-9.63415e-05,7.5265e-07,8.03953e-07,6.28074e-09,6.81939e-13,1.00002
34,0,0.269531,0.00390625,0.999937,0.00168714,0,0,-7.65641e-05,5.98194e-07,7.31981e-07,5.71895e-09,9.67734e-13,0.999939
35,0,0.277344,0.00390625,0.999851,0.00173102,0,0,-5.55486e-05,4.34038e-07,6.59999e-07,5.157e-09,1.35628e-12,0.999853
36,0,0.285156,0.00390625,0.999765,0.00177506,0,0,-3.33226e-05,2.60394e-07,5.88182e-07,4.59624e-09,1.87724e-12,0.999766
37,0,0.292969,0.00390625,0.999678,0.00181912,0,0,-9.92757e-06,7.75841e-08,5.16701e-07,4.03802e-09,2.56606e-12,0.999679
38,0,0.300781,0.00390625,0.99959,0.00186308,0,0,1.45801e-05,1.13953e-07,4.4573e-07,3.48369e-09,3.46405e-12,0.999592
