i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
0,0,0.00390625,0.00390625,1.00161,0.000812375,0,-0.000269589,0.00588443,4.58982e-05,1.00161
1,0,0.0117188,0.00390625,1.00164,0.000851592,0,-0.000631221,0.0137114,0.000106944,1.00164
2,0,0.0195312,0.00390625,1.0017,0.000910448,0,-0.000996861,0.0214768,0.000167503,1.0017
3,0,0.0273438,0.00390625,1.00177,0.000988992,0,-0.00136818,0.0291362,0.000227224,1.00177
4,0,0.0351562,0.00390625,1.00186,0.00108727,0,-0.00174662,0.0366424,0.000285736,1.00187
5,0,0.0429688,0.00390625,1.00198,0.00120531,0,-0.00213329,0.0439453,0.000342645,1.00198
6,0,0.0507812,0.00390625,1.00211,0.00134309,0,-0.00252894,0.0509912,0.000397531,1.00211
7,0,0.0585938,0.00390625,1.00225,0.00150054,0,-0.00293387,0.0577232,0.000449949,1.00225
8,0,0.0664062,0.00390625,1.00241,0.0016775,0,-0.0033479,0.0640815,0.000499433,1.00241
9,0,0.0742188,0.00390625,1.00257,0.00187368,0,-0.00377034,0.0700042,0.000545502,1.00258
10,0,0.0820312,0.00390625,1.00275,0.00208867,0,-0.00419999,0.0754281,0.000587666,1.00275
11,0,0.0898438,0.00390625,1.00292,0.00232193,0,-0.00463513,0.0802905,0.000625439,1.00293
12,0,0.0976562,0.00390625,1.0031,0.00257272,0,-0.00507354,0.0845304,0.00065835,1.0031
13,0,0.105469,0.00390625,1.00327,0.00284014,0,-0.00551256,0.0880904,0.000685957,1.00328
14,0,0.113281,0.00390625,1.00344,0.00312307,0,-0.00594911,0.0909184,0.00070786,1.00345
15,0,0.121094,0.00390625,1.0036,0.00342024,0,-0.00637978,0.0929696,0.000723717,1.0036
16,0,0.128906,0.00390625,1.00374,0.00373017,0,-0.0068009,0.0942079,0.000733251,1.00375
17,0,0.136719,0.00390625,1.00387,0.00405121,0,-0.00720863,0.0946079,0.000736272,1.00387
18,0,0.144531,0.00390625,1.00397,0.00438154,0,-0.00759901,0.0941559,0.000732677,1.00398
19,0,0.152344,0.00390625,1.00405,0.00471922,0,-0.00796814,0.0928509,0.000722462,1.00406
20,0,0.160156,0.00390625,1.00411,0.00506217,0,-0.0083122,0.0907054,0.000705727,1.00412
21,0,0.167969,0.00390625,1.00414,0.00540824,0,-0.00862756,0.0877452,0.000682676,1.00415
22,0,0.175781,0.00390625,1.00413,0.00575524,0,-0.00891089,0.0840098,0.000653614,1.00415
23,0,0.183594,0.00390625,1.0041,0.00610095,0,-0.00915921,0.0795512,0.000618946,1.00412
24,0,0.191406,0.00390625,1.00403,0.00644316,0,-0.00936996,0.0744334,0.000579164,1.00405
25,0,0.199219,0.00390625,1.00393,0.00677976,0,-0.0095411,0.0687305,0.000534843,1.00395
26,0,0.207031,0.00390625,1.0038,0.00710869,0,-0.00967106,0.0625257,0.000486622,1.00382
27,0,0.214844,0.00390625,1.00363,0.00742805,0,-0.00975887,0.0559086,0.000435194,1.00366
28,0,0.222656,0.00390625,1.00343,0.00773608,0,-0.00980409,0.048974,0.000381289,1.00346
29,0,0.230469,0.00390625,1.0032,0.0080312,0,-0.00980683,0.0418191,0.000325658,1.00324
30,0,0.238281,0.00390625,1.00294,0.00831205,0,-0.00976777,0.0345419,0.000269057,1.00298
31,0,0.246094,0.00390625,1.00266,0.00857749,0,-0.00968808,0.0272387,0.00021223,1.0027
32,0,0.253906,0.00390625,1.00235,0.00882662,0,-0.00956939,0.0200024,0.000155896,1.00239
33,0,0.261719,0.00390625,1.00202,0.00905876,0,-0.00941377,0.0129206,0.000100735,1.00206
34,0,0.269531,0.00390625,1.00167,0.00927349,0,-0.00922363,0.00607445,4.73756e-05,1.00171
35,0,0.277344,0.00390625,1.0013,0.00947062,0,-0.00900167,-0.000462982,3.61219e-06,1.00134
36,0,0.285156,0.00390625,1.00092,0.00965018,0,-0.00875082,-0.00662746,5.17271e-05,1.00097
37,0,0.292969,0.00390625,1.00053,0.00981243,0,-0.0084742,-0.0123643,9.65401e-05,1.00058
38,0,0.300781,0.00390625,1.00013,0.0099578,0,-0.00817499,-0.0176285,0.000137698,1.00018
39,0,0.308594,0.00390625,0.999727,0.0100869,0,-0.0078564,-0.0223853,0.000174924,0.999778
40,0,0.316406,0.00390625,0.999322,0.0102005,0,-0.00752163,-0.0266095,0.000208017,0.999374
41,0,0.324219,0.00390625,0.998919,0.0102995,0,-0.00717379,-0.0302853,0.000236847,0.998972
42,0,0.332031,0.00390625,0.998519,0.0103849,0,-0.00681586,-0.0334057,0.000261355,0.998573
43,0,0.339844,0.00390625,0.998126,0.0104578,0,-0.00645064,-0.0359718,0.000281542,0.998181
44,0,0.347656,0.00390625,0.99774,0.0105192,0,-0.00608074,-0.0379919,0.000297467,0.997796
45,0,0.355469,0.00390625,0.997365,0.0105704,0,-0.0057085,-0.0394804,0.000309238,0.997421
46,0,0.363281,0.00390625,0.997002,0.0106123,0,-0.00533607,-0.0404573,0.000317005,0.997058
47,0,0.371094,0.00390625,0.996652,0.0106463,0,-0.00496528,-0.0409468,0.000320953,0.996709
48,0,0.378906,0.00390625,0.996318,0.0106732,0,-0.00459773,-0.0409767,0.000321295,0.996375
49,0,0.386719,0.00390625,0.996,0.0106942,0,-0.00423473,-0.0405773,0.000318265,0.996057
50,0,0.394531,0.00390625,0.995699,0.0107103,0,-0.00387733,-0.0397807,0.000312111,0.995757
51,0,0.402344,0.00390625,0.995417,0.0107222,0,-0.00352633,-0.0386199,0.000303089,0.995474
52,0,0.410156,0.00390625,0.995153,0.0107308,0,-0.00318228,-0.0371285,0.000291462,0.995211
53,0,0.417969,0.00390625,0.99491,0.0107368,0,-0.00284552,-0.0353399,0.000277489,0.994968
54,0,0.425781,0.00390625,0.994687,0.0107408,0,-0.00251616,-0.033287,0.000261428,0.994745
55,0,0.433594,0.00390625,0.994486,0.0107434,0,-0.00219413,-0.0310017,0.00024353,0.994544
56,0,0.441406,0.00390625,0.994305,0.0107449,0,-0.00187919,-0.0285149,0.000224035,0.994363
57,0,0.449219,0.00390625,0.994147,0.0107457,0,-0.00157095,-0.0258562,0.000203179,0.994205
58,0,0.457031,0.00390625,0.994011,0.0107462,0,-0.00126888,-0.0230537,0.000181182,0.994069
59,0,0.464844,0.00390625,0.993897,0.0107464,0,-0.000972363,-0.0201344,0.000158257,0.993955
60,0,0.472656,0.00390625,0.993806,0.0107467,0,-0.000680661,-0.0171239,0.000134606,0.993864
61,0,0.480469,0.00390625,0.993738,0.0107471,0,-0.000392984,-0.0140466,0.000110424,0.993796
62,0,0.488281,0.00390625,0.993692,0.0107476,0,-0.000108479,-0.0109261,8.58968e-05,0.99375
63,0,0.496094,0.00390625,0.99367,0.0107482,0,0.000173743,-0.00778502,6.12043e-05,0.993728
64,0,0.503906,0.00390625,0.99367,0.0107491,0,0.000454591,-0.00464559,3.65227e-05,0.993728
65,0,0.511719,0.00390625,0.993693,0.01075,0,0.000734979,-0.00152964,1.20255e-05,0.993751
66,0,0.519531,0.00390625,0.993739,0.0107508,0,0.00101581,0.00154103,1.21144e-05,0.993798
67,0,0.527344,0.00390625,0.993808,0.0107515,0,0.00129796,0.00454448,3.57229e-05,0.993866
68,0,0.535156,0.00390625,0.9939,0.0107519,0,0.00158227,0.00745838,5.86228e-05,0.993958
69,0,0.542969,0.00390625,0.994014,0.0107516,0,0.0018695,0.0102598,8.06326e-05,0.994072
70,0,0.550781,0.00390625,0.994149,0.0107505,0,0.00216035,0.012925,0.000101565,0.994207
71,0,0.558594,0.00390625,0.994307,0.010748,0,0.00245543,0.0154296,0.000121227,0.994365
72,0,0.566406,0.00390625,0.994486,0.0107439,0,0.00275523,0.0177479,0.000139416,0.994544
73,0,0.574219,0.00390625,0.994686,0.0107375,0,0.00306011,0.0198537,0.000155926,0.994744
74,0,0.582031,0.00390625,0.994906,0.0107284,0,0.00337029,0.0217195,0.000170542,0.994964
75,0,0.589844,0.00390625,0.995146,0.0107157,0,0.00368583,0.0233174,0.000183045,0.995203
76,0,0.597656,0.00390625,0.995405,0.0106988,0,0.00400661,0.0246188,0.000193211,0.995462
77,0,0.605469,0.00390625,0.995682,0.0106769,0,0.00433229,0.025595,0.000200817,0.995739
78,0,0.613281,0.00390625,0.995977,0.0106489,0,0.00466234,0.0262174,0.000205639,0.996034
79,0,0.621094,0.00390625,0.996288,0.0106139,0,0.004996,0.0264581,0.000207462,0.996345
80,0,0.628906,0.00390625,0.996615,0.0105709,0,0.00533227,0.0262905,0.00020608,0.996671
81,0,0.636719,0.00390625,0.996955,0.0105188,0,0.00566993,0.0256899,0.000201304,0.997011
82,0,0.644531,0.00390625,0.997308,0.0104565,0,0.00600748,0.0246341,0.000192963,0.997363
83,0,0.652344,0.00390625,0.997672,0.0103829,0,0.00634319,0.0231046,0.000180916,0.997726
84,0,0.660156,0.00390625,0.998045,0.0102968,0,0.00667512,0.021087,0.000165056,0.998098
85,0,0.667969,0.00390625,0.998426,0.0101973,0,0.00700107,0.0185718,0.000145313,0.998478
86,0,0.675781,0.00390625,0.998811,0.0100834,0,0.00731866,0.0155556,0.000121666,0.998862
87,0,0.683594,0.00390625,0.999199,0.00995414,0,0.00762531,0.0120417,9.41462e-05,0.999249
88,0,0.691406,0.00390625,0.999588,0.0098088,0,0.00791833,0.00804063,6.28403e-05,0.999636
89,0,0.699219,0.00390625,0.999974,0.00964675,0,0.00819489,0.00357115,2.7899e-05,1.00002
90,0,0.707031,0.00390625,1.00036,0.00946753,0,0.00845211,-0.00133969,1.04621e-05,1.0004
91,0,0.714844,0.00390625,1.00073,0.00927089,0,0.00868711,-0.00665601,5.196e-05,1.00077
92,0,0.722656,0.00390625,1.00109,0.00905676,0,0.00889702,-0.0123331,9.62434e-05,1.00113
93,0,0.730469,0.00390625,1.00144,0.00882532,0,0.00907912,-0.0183176,0.000142895,1.00148
94,0,0.738281,0.00390625,1.00178,0.00857697,0,0.0092308,-0.0245479,0.000191433,1.00181
95,0,0.746094,0.00390625,1.00209,0.00831235,0,0.00934972,-0.0309545,0.000241319,1.00213
96,0,0.753906,0.00390625,1.00239,0.00803233,0,0.0094338,-0.0374615,0.000291962,1.00242
97,0,0.761719,0.00390625,1.00266,0.00773804,0,0.0094813,-0.0439874,0.00034273,1.00269
98,0,0.769531,0.00390625,1.0029,0.00743081,0,0.00949087,-0.0504464,0.000392961,1.00293
99,0,0.777344,0.00390625,1.00312,0.00711218,0,0.00946161,-0.0567504,0.000441972,1.00315
100,0,0.785156,0.00390625,1.00331,0.00678389,0,0.00939307,-0.0628105,0.000489078,1.00333
101,0,0.792969,0.00390625,1.00347,0.00644785,0,0.00928531,-0.0685389,0.000533599,1.00349
102,0,0.800781,0.00390625,1.00359,0.00610607,0,0.0091389,-0.0738507,0.000574882,1.00361
103,0,0.808594,0.00390625,1.00369,0.00576068,0,0.00895491,-0.0786663,0.000612311,1.00371
104,0,0.816406,0.00390625,1.00375,0.00541387,0,0.00873491,-0.0829125,0.000645321,1.00377
105,0,0.824219,0.00390625,1.00379,0.00506786,0,0.00848094,-0.0865245,0.000673412,1.0038
106,0,0.832031,0.00390625,1.00379,0.00472485,0,0.00819545,-0.0894475,0.000696159,1.00381
107,0,0.839844,0.00390625,1.00377,0.00438701,0,0.00788128,-0.0916373,0.000713221,1.00378
108,0,0.847656,0.00390625,1.00372,0.0040564,0,0.00754158,-0.0930618,0.000724344,1.00373
109,0,0.855469,0.00390625,1.00365,0.00373501,0,0.00717974,-0.0937007,0.000729371,1.00365
110,0,0.863281,0.00390625,1.00355,0.00342465,0,0.00679928,-0.0935462,0.000728238,1.00356
111,0,0.871094,0.00390625,1.00344,0.003127,0,0.00640382,-0.0926021,0.000720971,1.00344
112,0,0.878906,0.00390625,1.00331,0.00284355,0,0.00599694,-0.0908839,0.000707686,1.00331
113,0,0.886719,0.00390625,1.00317,0.00257561,0,0.00558211,-0.0884172,0.000688575,1.00317
114,0,0.894531,0.00390625,1.00302,0.0023243,0,0.00516263,-0.0852364,0.000663904,1.00302
115,0,0.902344,0.00390625,1.00286,0.00209055,0,0.0047415,-0.0813838,0.000633996,1.00286
116,0,0.910156,0.00390625,1.0027,0.00187509,0,0.00432142,-0.0769076,0.000599221,1.0027
117,0,0.917969,0.00390625,1.00254,0.0016785,0,0.00390465,-0.0718604,0.000559985,1.00254
118,0,0.925781,0.00390625,1.00239,0.00150119,0,0.00349303,-0.0662975,0.000516714,1.00239
119,0,0.933594,0.00390625,1.00224,0.00134345,0,0.00308793,-0.0602754,0.000469848,1.00224
