i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
0,0,0.00390625,0.00390625,1.00001,5.28822e-06,0,-1.41246e-06,6.08883e-05,4.75685e-07,1.00001
1,0,0.0117188,0.00390625,1.00001,5.66976e-06,0,-3.32187e-06,0.000142901,1.1164e-06,1.00001
2,0,0.0195312,0.00390625,1.00001,6.24942e-06,0,-5.28616e-06,0.000226602,1.77031e-06,1.00001
3,0,0.0273438,0.00390625,1.00001,7.03703e-06,0,-7.33363e-06,0.000312829,2.44395e-06,1.00001
4,0,0.0351562,0.00390625,1.00001,8.04567e-06,0,-9.49185e-06,0.00040238,3.14355e-06,1.00001
5,0,0.0429688,0.00390625,1.00001,9.29158e-06,0,-1.17874e-05,0.000496002,3.87496e-06,1.00001
6,0,0.0507812,0.00390625,1.00002,1.07941e-05,0,-1.42453e-05,0.000594376,4.64348e-06,1.00002
7,0,0.0585938,0.00390625,1.00002,1.25755e-05,0,-1.68892e-05,0.000698104,5.45384e-06,1.00002
8,0,0.0664062,0.00390625,1.00002,1.46608e-05,0,-1.97405e-05,0.000807703,6.31005e-06,1.00002
9,0,0.0742188,0.00390625,1.00002,1.70779e-05,0,-2.28184e-05,0.000923587,7.21535e-06,1.00002
10,0,0.0820312,0.00390625,1.00003,1.98571e-05,0,-2.61395e-05,0.00104606,8.17217e-06,1.00003
11,0,0.0898438,0.00390625,1.00003,2.30309e-05,0,-2.97173e-05,0.00117533,9.18203e-06,1.00003
12,0,0.0976562,0.00390625,1.00003,2.66339e-05,0,-3.35626e-05,0.00131147,1.02456e-05,1.00003
13,0,0.105469,0.00390625,1.00004,3.07027e-05,0,-3.76823e-05,0.00145444,1.13624e-05,1.00004
14,0,0.113281,0.00390625,1.00004,3.52753e-05,0,-4.20801e-05,0.00160407,1.25313e-05,1.00004
15,0,0.121094,0.00390625,1.00004,4.03911e-05,0,-4.67557e-05,0.00176009,1.37501e-05,1.00004
16,0,0.128906,0.00390625,1.00005,4.60905e-05,0,-5.1705e-05,0.00192209,1.50157e-05,1.00005
17,0,0.136719,0.00390625,1.00005,5.24146e-05,0,-5.69198e-05,0.00208957,1.6324e-05,1.00005
18,0,0.144531,0.00390625,1.00006,5.94049e-05,0,-6.2388e-05,0.00226192,1.76702e-05,1.00006
19,0,0.152344,0.00390625,1.00006,6.7103e-05,0,-6.80934e-05,0.00243841,1.90489e-05,1.00006
20,0,0.160156,0.00390625,1.00006,7.55501e-05,0,-7.4016e-05,0.00261825,2.04537e-05,1.00006
21,0,0.167969,0.00390625,1.00007,8.47868e-05,0,-8.01317e-05,0.00280055,2.18778e-05,1.00007
22,0,0.175781,0.00390625,1.00007,9.48527e-05,0,-8.6413e-05,0.00298437,2.33137e-05,1.00007
23,0,0.183594,0.00390625,1.00008,0.000105786,0,-9.28287e-05,0.0031687,2.47536e-05,1.00008
24,0,0.191406,0.00390625,1.00008,0.000117623,0,-9.93445e-05,0.00335249,2.61892e-05,1.00008
25,0,0.199219,0.00390625,1.00009,0.000130398,0,-0.000105923,0.00353464,2.76121e-05,1.00009
26,0,0.207031,0.00390625,1.00009,0.000144143,0,-0.000112525,0.00371405,2.90134e-05,1.00009
27,0,0.214844,0.00390625,1.00009,0.000158887,0,-0.000119107,0.00388957,3.03844e-05,1.00009
28,0,0.222656,0.00390625,1.00009,0.000174654,0,-0.000125626,0.00406006,3.17162e-05,1.00009
29,0,0.230469,0.00390625,1.0001,0.000191467,0,-0.000132036,0.00422439,3.29999e-05,1.0001
30,0,0.238281,0.00390625,1.0001,0.000209341,0,-0.000138289,0.00438143,3.42266e-05,1.0001
31,0,0.246094,0.00390625,1.0001,0.00022829,0,-0.000144338,0.00453006,3.53876e-05,1.0001
32,0,0.253906,0.00390625,1.0001,0.00024832,0,-0.000150135,0.00466919,3.64744e-05,1.0001
33,0,0.261719,0.00390625,1.0001,0.000269431,0,-0.000155631,0.00479773,3.74786e-05,1.0001
34,0,0.269531,0.00390625,1.0001,0.000291618,0,-0.000160776,0.00491465,3.8392e-05,1.0001
35,0,0.277344,0.00390625,1.00009,0.000314865,0,-0.000165524,0.00501893,3.92067e-05,1.00009
36,0,0.285156,0.00390625,1.00009,0.000339152,0,-0.000169827,0.00510959,3.9915e-05,1.00009
37,0,0.292969,0.00390625,1.00009,0.000364447,0,-0.000173639,0.00518568,4.05096e-05,1.00009
38,0,0.300781,0.00390625,1.00008,0.000390709,0,-0.000176915,0.00524629,4.09833e-05,1.00008
39,0,0.308594,0.00390625,1.00007,0.000417886,0,-0.000179611,0.00529056,4.13294e-05,1.00007
40,0,0.316406,0.00390625,1.00007,0.000445914,0,-0.000181686,0.00531765,4.15413e-05,1.00007
41,0,0.324219,0.00390625,1.00006,0.000474716,0,-0.000183101,0.00532677,4.1613e-05,1.00006
42,0,0.332031,0.00390625,1.00005,0.000504199,0,-0.000183819,0.00531721,4.15387e-05,1.00005
43,0,0.339844,0.00390625,1.00004,0.000534259,0,-0.000183806,0.00528827,4.1313e-05,1.00004
44,0,0.347656,0.00390625,1.00003,0.000564773,0,-0.000183033,0.00523934,4.09313e-05,1.00003
45,0,0.355469,0.00390625,1.00001,0.000595602,0,-0.000181471,0.00516987,4.03891e-05,1.00001
46,0,0.363281,0.00390625,1,0.00062659,0,-0.000179098,0.0050794,3.96828e-05,1
47,0,0.371094,0.00390625,0.999985,0.000657566,0,-0.000175897,0.00496756,3.88096e-05,0.999986
48,0,0.378906,0.00390625,0.999971,0.000688338,0,-0.000171854,0.00483409,3.77674e-05,0.999971
49,0,0.386719,0.00390625,0.999956,0.000718702,0,-0.000166961,0.00467883,3.6555e-05,0.999956
50,0,0.394531,0.00390625,0.99994,0.000748436,0,-0.000161218,0.0045018,3.51724e-05,0.99994
51,0,0.402344,0.00390625,0.999924,0.000777307,0,-0.000154629,0.00430314,3.36208e-05,0.999925
52,0,0.410156,0.00390625,0.999909,0.00080507,0,-0.000147209,0.00408318,3.19027e-05,0.999909
53,0,0.417969,0.00390625,0.999893,0.000831476,0,-0.000138977,0.00384243,3.00222e-05,0.999894
54,0,0.425781,0.00390625,0.999878,0.000856269,0,-0.000129963,0.0035816,2.79847e-05,0.999879
55,0,0.433594,0.00390625,0.999864,0.000879198,0,-0.000120202,0.00330163,2.57975e-05,0.999865
56,0,0.441406,0.00390625,0.999851,0.000900016,0,-0.000109741,0.00300365,2.34695e-05,0.999851
57,0,0.449219,0.00390625,0.999838,0.000918489,0,-9.8634e-05,0.00268902,2.10114e-05,0.999839
58,0,0.457031,0.00390625,0.999827,0.0009344,0,-8.69424e-05,0.00235933,1.84355e-05,0.999827
59,0,0.464844,0.00390625,0.999817,0.000947556,0,-7.47361e-05,0.00201636,1.57557e-05,0.999818
60,0,0.472656,0.00390625,0.999809,0.00095779,0,-6.20921e-05,0.00166209,1.29875e-05,0.999809
61,0,0.480469,0.00390625,0.999802,0.000964968,0,-4.90932e-05,0.00129866,1.01478e-05,0.999803
62,0,0.488281,0.00390625,0.999797,0.000968995,0,-3.58277e-05,0.000928366,7.25433e-06,0.999798
63,0,0.496094,0.00390625,0.999794,0.000969812,0,-2.23875e-05,0.000553596,4.32586e-06,0.999795
64,0,0.503906,0.00390625,0.999793,0.000967403,0,-8.86729e-06,0.000176818,1.38168e-06,0.999793
65,0,0.511719,0.00390625,0.999794,0.000961793,0,4.63725e-06,-0.000199469,1.55867e-06,0.999794
66,0,0.519531,0.00390625,0.999796,0.000953051,0,1.80307e-05,-0.000572776,4.47572e-06,0.999797
67,0,0.527344,0.00390625,0.999801,0.000941281,0,3.12195e-05,-0.000940663,7.35039e-06,0.999801
68,0,0.535156,0.00390625,0.999807,0.000926626,0,4.41133e-05,-0.00130078,1.01643e-05,0.999807
69,0,0.542969,0.00390625,0.999814,0.000909263,0,5.66262e-05,-0.0016509,1.29e-05,0.999815
70,0,0.550781,0.00390625,0.999824,0.000889394,0,6.86779e-05,-0.00198894,1.55413e-05,0.999824
71,0,0.558594,0.00390625,0.999834,0.000867245,0,8.01949e-05,-0.00231301,1.80734e-05,0.999835
72,0,0.566406,0.00390625,0.999846,0.000843059,0,9.1111e-05,-0.00262143,2.04831e-05,0.999846
73,0,0.574219,0.00390625,0.999859,0.00081709,0,0.000101368,-0.0029127,2.27587e-05,0.999859
74,0,0.582031,0.00390625,0.999872,0.000789598,0,0.000110916,-0.00318557,2.48904e-05,0.999873
75,0,0.589844,0.00390625,0.999887,0.000760844,0,0.000119714,-0.00343899,2.68701e-05,0.999887
