i,j,x,y,Bx,By,Bz,psi,divB
0,0,0.00390625,0.00390625,1.00001,9.49729e-08,0,-9.41638e-07,4.05922e-05
1,0,0.0117188,0.00390625,1.00001,2.8651e-07,0,-2.83933e-06,0.000122211
2,0,0.0195312,0.00390625,1.00001,4.82811e-07,0,-4.78013e-06,0.000205125
3,0,0.0273438,0.00390625,1.00001,6.87015e-07,0,-6.79225e-06,0.000290173
4,0,0.0351562,0.00390625,1.00001,9.02209e-07,0,-8.90314e-06,0.000378156
5,0,0.0429688,0.00390625,1.00001,1.1314e-06,0,-1.11392e-05,0.000469825
6,0,0.0507812,0.00390625,1.00002,1.37751e-06,0,-1.35253e-05,0.000565864
7,0,0.0585938,0.00390625,1.00002,1.64331e-06,0,-1.60848e-05,0.000666884
8,0,0.0664062,0.00390625,1.00002,1.93146e-06,0,-1.8839e-05,0.000773406
9,0,0.0742188,0.00390625,1.00002,2.24444e-06,0,-2.18068e-05,0.000885854
10,0,0.0820312,0.00390625,1.00002,2.58453e-06,0,-2.50046e-05,0.00100455
11,0,0.0898438,0.00390625,1.00003,2.9538e-06,0,-2.8446e-05,0.0011297
12,0,0.0976562,0.00390625,1.00003,3.3541e-06,0,-3.21414e-05,0.00126139
13,0,0.105469,0.00390625,1.00003,3.787e-06,0,-3.60978e-05,0.0013996
14,0,0.113281,0.00390625,1.00004,4.25381e-06,0,-4.03188e-05,0.00154419
15,0,0.121094,0.00390625,1.00004,4.75552e-06,0,-4.48042e-05,0.00169489
16,0,0.128906,0.00390625,1.00004,5.29281e-06,0,-4.955e-05,0.00185131
17,0,0.136719,0.00390625,1.00005,5.86605e-06,0,-5.45484e-05,0.00201298
18,0,0.144531,0.00390625,1.00005,6.47523e-06,0,-5.97874e-05,0.0021793
19,0,0.152344,0.00390625,1.00006,7.12001e-06,0,-6.52513e-05,0.00234956
20,0,0.160156,0.00390625,1.00006,7.79965e-06,0,-7.09205e-05,0.00252301
21,0,0.167969,0.00390625,1.00006,8.51305e-06,0,-7.67713e-05,0.00269877
22,0,0.175781,0.00390625,1.00007,9.25873e-06,0,-8.27769e-05,0.00287591
23,0,0.183594,0.00390625,1.00007,1.00348e-05,0,-8.89067e-05,0.00305345
24,0,0.191406,0.00390625,1.00008,1.0839e-05,0,-9.5127e-05,0.00323035
25,0,0.199219,0.00390625,1.00008,1.16686e-05,0,-0.000101401,0.00340554
26,0,0.207031,0.00390625,1.00008,1.25206e-05,0,-0.00010769,0.00357792
27,0,0.214844,0.00390625,1.00008,1.33914e-05,0,-0.000113953,0.00374637
28,0,0.222656,0.00390625,1.00009,1.42771e-05,0,-0.000120145,0.00390976
29,0,0.230469,0.00390625,1.00009,1.51734e-05,0,-0.000126222,0.00406696
30,0,0.238281,0.00390625,1.00009,1.60754e-05,0,-0.000132138,0.00421685
31,0,0.246094,0.00390625,1.00009,1.6978e-05,0,-0.000137844,0.00435832
32,0,0.253906,0.00390625,1.00009,1.78755e-05,0,-0.000143295,0.00449027
33,0,0.261719,0.00390625,1.00009,1.87616e-05,0,-0.00014844,0.00461164
34,0,0.269531,0.00390625,1.00009,1.96299e-05,0,-0.000153233,0.00472138
35,0,0.277344,0.00390625,1.00008,2.0473e-05,0,-0.000157627,0.00481847
36,0,0.285156,0.00390625,1.00008,2.12834e-05,0,-0.000161573,0.00490194
37,0,0.292969,0.00390625,1.00008,2.20529e-05,0,-0.000165027,0.00497083
38,0,0.300781,0.00390625,1.00007,2.27729e-05,0,-0.000167943,0.00502423
39,0,0.308594,0.00390625,1.00006,2.34343e-05,0,-0.00017028,0.00506127
40,0,0.316406,0.00390625,1.00005,2.40274e-05,0,-0.000171996,0.00508111
41,0,0.324219,0.00390625,1.00005,2.45423e-05,0,-0.000173052,0.00508298
42,0,0.332031,0.00390625,1.00004,2.49685e-05,0,-0.000173413,0.00506614
43,0,0.339844,0.00390625,1.00002,2.52955e-05,0,-0.000173044,0.00502991
44,0,0.347656,0.00390625,1.00001,2.55126e-05,0,-0.000171917,0.00497368
45,0,0.355469,0.00390625,1,2.5609e-05,0,-0.000170004,0.00489693
46,0,0.363281,0.00390625,0.999987,2.55742e-05,0,-0.000167285,0.00479918
47,0,0.371094,0.00390625,0.999973,2.53981e-05,0,-0.000163741,0.0046801
48,0,0.378906,0.00390625,0.999958,2.50715e-05,0,-0.000159362,0.00453945
49,0,0.386719,0.00390625,0.999943,2.45859e-05,0,-0.00015414,0.0043771
50,0,0.394531,0.00390625,0.999928,2.39343e-05,0,-0.000148077,0.0041931
51,0,0.402344,0.00390625,0.999913,2.31112e-05,0,-0.000141179,0.00398764
52,0,0.410156,0.00390625,0.999898,2.21131e-05,0,-0.000133462,0.00376108
53,0,0.417969,0.00390625,0.999883,2.09388e-05,0,-0.000124947,0.003514
54,0,0.425781,0.00390625,0.999869,1.95895e-05,0,-0.000115665,0.00324715
55,0,0.433594,0.00390625,0.999855,1.80694e-05,0,-0.000105657,0.00296153
56,0,0.441406,0.00390625,0.999843,1.63853e-05,0,-9.49681e-05,0.00265833
57,0,0.449219,0.00390625,0.999831,1.45473e-05,0,-8.36559e-05,0.00233898
58,0,0.457031,0.00390625,0.999821,1.25685e-05,0,-7.17843e-05,0.00200511
59,0,0.464844,0.00390625,0.999812,1.04646e-05,0,-5.94247e-05,0.00165857
60,0,0.472656,0.00390625,0.999805,8.2544e-06,0,-4.66558e-05,0.00130138
61,0,0.480469,0.00390625,0.999799,5.95877e-06,0,-3.3562e-05,0.000935719
62,0,0.488281,0.00390625,0.999795,3.60068e-06,0,-2.02325e-05,0.000563917
63,0,0.496094,0.00390625,0.999794,1.20449e-06,0,-6.76011e-06,0.000188389
64,0,0.503906,0.00390625,0.999794,-1.20449e-06,0,6.76011e-06,-0.000188389
65,0,0.511719,0.00390625,0.999795,-3.60068e-06,0,2.02325e-05,-0.000563917
66,0,0.519531,0.00390625,0.999799,-5.95877e-06,0,3.3562e-05,-0.000935719
67,0,0.527344,0.00390625,0.999805,-8.2544e-06,0,4.66558e-05,-0.00130138
68,0,0.535156,0.00390625,0.999812,-1.04646e-05,0,5.94247e-05,-0.00165857
69,0,0.542969,0.00390625,0.999821,-1.25685e-05,0,7.17843e-05,-0.00200511
70,0,0.550781,0.00390625,0.999831,-1.45473e-05,0,8.36559e-05,-0.00233898
71,0,0.558594,0.00390625,0.999843,-1.63853e-05,0,9.49681e-05,-0.00265833
