i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
0,0,0.00390625,0.00390625,1.00009,4.29545e-05,0,0,2.15183e-05,1.68097e-07,5.80872e-15,4.53767e-17,6.25069e-21,1.00009
1,0,0.0117188,0.00390625,1.00009,4.42117e-05,0,0,0.000157608,1.23121e-06,0.000135974,1.06221e-06,1.33455e-20,1.00009
2,0,0.0195312,0.00390625,1.00009,4.58929e-05,0,0,0.000293629,2.29378e-06,0.00027197,2.12458e-06,2.81444e-20,1.00009
3,0,0.0273438,0.00390625,1.00009,4.80047e-05,0,0,0.000429603,3.35598e-06,0.000408006,3.18727e-06,5.86271e-20,1.00009
4,0,0.0351562,0.00390625,1.00009,5.05549e-05,0,0,0.00056555,4.41797e-06,0.000544094,4.25036e-06,1.20629e-19,1.00009
5,0,0.0429688,0.00390625,1.00009,5.35533e-05,0,0,0.000701478,5.47981e-06,0.000680238,5.31389e-06,2.45161e-19,1.00009
6,0,0.0507812,0.00390625,1.00009,5.70106e-05,0,0,0.000837389,6.54151e-06,0.000816429,6.37777e-06,4.92149e-19,1.00009
7,0,0.0585938,0.00390625,1.00009,6.09391e-05,0,0,0.000973268,7.60296e-06,0.000952642,7.44183e-06,9.75855e-19,1.00009
8,0,0.0664062,0.00390625,1.00009,6.53519e-05,0,0,0.00110909,8.66393e-06,0.00108884,8.50574e-06,1.91125e-18,1.00009
9,0,0.0742188,0.00390625,1.00009,7.02636e-05,0,0,0.0012448,9.72406e-06,0.00122495,9.56901e-06,3.69735e-18,1.00009
10,0,0.0820312,0.00390625,1.0001,7.56891e-05,0,0,0.00138033,1.07828e-05,0.0013609,1.0631e-05,7.06486e-18,1.0001
11,0,0.0898438,0.00390625,1.0001,8.16444e-05,0,0,0.0015156,1.18395e-05,0.00149658,1.16909e-05,1.33339e-17,1.0001
12,0,0.0976562,0.00390625,1.0001,8.81459e-05,0,0,0.00165049,1.28932e-05,0.00163185,1.27475e-05,2.48568e-17,1.0001
13,0,0.105469,0.00390625,1.0001,9.52101e-05,0,0,0.00178487,1.39429e-05,0.00176655,1.37998e-05,4.57689e-17,1.0001
14,0,0.113281,0.00390625,1.0001,0.000102854,0,0,0.00191856,1.49872e-05,0.0019005,1.48461e-05,8.32397e-17,1.0001
