i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
0,0,0.00390625,0.00390625,1.00063,0.000313429,0,0,-0.0125323,9.78475e-05,-0.0136814,0.000106819,6.25069e-21,1.00063
1,0,0.0117188,0.00390625,1.00062,0.000307973,0,0,-0.0128985,0.000100707,-0.0140417,0.000109633,1.33455e-20,1.00062
2,0,0.0195312,0.00390625,1.0006,0.000300421,0,0,-0.0131511,0.000102681,-0.0142841,0.000111527,2.81444e-20,1.0006
3,0,0.0273438,0.00390625,1.00058,0.000290937,0,0,-0.0132859,0.000103735,-0.0144042,0.000112467,5.86271e-20,1.00058
4,0,0.0351562,0.00390625,1.00056,0.000279721,0,0,-0.0133015,0.00010386,-0.0144007,0.000112443,1.20629e-19,1.00056
5,0,0.0429688,0.00390625,1.00053,0.000267003,0,0,-0.0131996,0.000103067,-0.0142754,0.000111467,2.45161e-19,1.00053
6,0,0.0507812,0.00390625,1.00051,0.000253034,0,0,-0.0129848,0.000101393,-0.0140327,0.000109575,4.92149e-19,1.00051
7,0,0.0585938,0.00390625,1.00048,0.000238078,0,0,-0.0126643,9.88928e-05,-0.0136801,0.000106825,9.75855e-19,1.00048
8,0,0.0664062,0.00390625,1.00044,0.000222406,0,0,-0.0122475,9.5641e-05,-0.0132271,0.000103291,1.91125e-18,1.00044
9,0,0.0742188,0.00390625,1.00041,0.000206283,0,0,-0.0117457,9.17256e-05,-0.0126855,9.90645e-05,3.69735e-18,1.00041
10,0,0.0820312,0.00390625,1.00038,0.000189968,0,0,-0.0111717,8.72461e-05,-0.0120683,9.42479e-05,7.06486e-18,1.00038
11,0,0.0898438,0.00390625,1.00035,0.000173701,0,0,-0.0105393,8.23093e-05,-0.0113897,8.89513e-05,1.33339e-17,1.00035
12,0,0.0976562,0.00390625,1.00032,0.000157702,0,0,-0.00986239,7.70256e-05,-0.0106644,8.3289e-05,2.48568e-17,1.00032
13,0,0.105469,0.00390625,1.00028,0.000142164,0,0,-0.00915527,7.15052e-05,-0.0099069,7.73757e-05,4.57689e-17,1.00028
14,0,0.113281,0.00390625,1.00025,0.000127253,0,0,-0.00843154,6.58546e-05,-0.0091316,7.13225e-05,8.32397e-17,1.00025
15,0,0.121094,0.00390625,1.00023,0.000113105,0,0,-0.00770404,6.01742e-05,-0.0083519,6.52344e-05,1.49528e-16,1.00023
16,0,0.128906,0.00390625,1.0002,9.98228e-05,0,0,-0.00698445,5.45551e-05,-0.00758009,5.92077e-05,2.65306e-16,1.0002
17,0,0.136719,0.00390625,1.00017,8.74831e-05,0,0,-0.0062831,4.90781e-05,-0.00682709,5.33273e-05,4.64943e-16,1.00017
18,0,0.144531,0.00390625,1.00015,7.61326e-05,0,0,-0.00560875,4.38117e-05,-0.00610223,4.76664e-05,8.04786e-16,1.00015
19,0,0.152344,0.00390625,1.00013,6.57923e-05,0,0,-0.00496858,3.88119e-05,-0.00541317,4.22848e-05,1.3759e-15,1.00013
20,0,0.160156,0.00390625,1.00011,5.64605e-05,0,0,-0.0043681,3.4122e-05,-0.00476588,3.72292e-05,2.32336e-15,1.00011
21,0,0.167969,0.00390625,1.0001,4.81156e-05,0,0,-0.00381125,2.97726e-05,-0.00416466,3.25333e-05,3.87498e-15,1.0001
22,0,0.175781,0.00390625,1.00008,4.07197e-05,0,0,-0.00330047,2.57828e-05,-0.00361225,2.82184e-05,6.38324e-15,1.00008
23,0,0.183594,0.00390625,1.00007,3.42221e-05,0,0,-0.00283685,2.21614e-05,-0.00310995,2.42948e-05,1.03856e-14,1.00007
24,0,0.191406,0.00390625,1.00006,2.85628e-05,0,0,-0.00242027,1.89073e-05,-0.00265779,2.07628e-05,1.66892e-14,1.00006
25,0,0.199219,0.00390625,1.00005,2.3675e-05,0,0,-0.00204964,1.60121e-05,-0.00225474,1.76143e-05,2.64883e-14,1.00005
26,0,0.207031,0.00390625,1.00004,1.94888e-05,0,0,-0.00172303,1.34607e-05,-0.00189885,1.48342e-05,4.15223e-14,1.00004
27,0,0.214844,0.00390625,1.00003,1.59326e-05,0,0,-0.00143789,1.12331e-05,-0.00158753,1.24022e-05,6.42863e-14,1.00003
28,0,0.222656,0.00390625,1.00003,1.29362e-05,0,0,-0.0011912,9.30605e-06,-0.00131765,1.02939e-05,9.83015e-14,1.00003
29,0,0.230469,0.00390625,1.00002,1.04315e-05,0,0,-0.000979701,7.65375e-06,-0.00108577,8.4824e-06,1.48458e-13,1.00002
30,0,0.238281,0.00390625,1.00002,8.35446e-06,0,0,-0.000799943,6.24945e-06,-0.000888276,6.93954e-06,2.21436e-13,1.00002
31,0,0.246094,0.00390625,1.00001,6.64543e-06,0,0,-0.000648479,5.06618e-06,-0.000721511,5.63673e-06,3.26203e-13,1.00001
32,0,0.253906,0.00390625,1.00001,5.25011e-06,0,0,-0.000521936,4.07758e-06,-0.000581881,4.5459e-06,4.74594e-13,1.00001
33,0,0.261719,0.00390625,1.00001,4.11966e-06,0,0,-0.000417096,3.25853e-06,-0.000465942,3.64015e-06,6.81939e-13,1.00001
34,0,0.269531,0.00390625,1.00001,3.21076e-06,0,0,-0.00033095,2.58553e-06,-0.000370466,2.89425e-06,9.67734e-13,1.00001
35,0,0.277344,0.00390625,1,2.48549e-06,0,0,-0.000260741,2.03703e-06,-0.000292479,2.28498e-06,1.35628e-12,1
36,0,0.285156,0.00390625,1,1.9111e-06,0,0,-0.00020398,1.59359e-06,-0.000229287,1.7913e-06,1.87724e-12,1
37,0,0.292969,0.00390625,1,1.45957e-06,0,0,-0.000158456,1.23793e-06,-0.00017849,1.39445e-06,2.56606e-12,1
38,0,0.300781,0.00390625,1,1.10725e-06,0,0,-0.000122231,9.54929e-07,-0.000137978,1.07795e-06,3.46405e-12,1
39,0,0.308594,0.00390625,1,8.34353e-07,0,0,-9.3631e-05,7.31491e-07,-0.000105919,8.27489e-07,4.61814e-12,1
40,0,0.316406,0.00390625,1,6.24515e-07,0,0,-7.12247e-05,5.56442e-07,-8.0745e-05,6.3082e-07,6.08012e-12,1
41,0,0.324219,0.00390625,1,4.64336e-07,0,0,-5.38054e-05,4.20354e-07,-6.1129e-05,4.7757e-07,7.9052e-12,1
42,0,0.332031,0.00390625,1,3.42944e-07,0,0,-4.03658e-05,3.15358e-07,-4.59596e-05,3.59059e-07,1.015e-11,1
43,0,0.339844,0.00390625,1,2.51606e-07,0,0,-3.0075e-05,2.3496e-07,-3.43172e-05,2.68103e-07,1.28695e-11,1
44,0,0.347656,0.00390625,1,1.83372e-07,0,0,-2.2254e-05,1.73859e-07,-2.54486e-05,1.98817e-07,1.61138e-11,1
45,0,0.355469,0.00390625,1,1.32759e-07,0,0,-1.63543e-05,1.27768e-07,-1.8743e-05,1.4643e-07,1.99236e-11,1
46,0,0.363281,0.00390625,1,9.54814e-08,0,0,-1.19368e-05,9.32564e-08,-1.37103e-05,1.07112e-07,2.43256e-11,1
47,0,0.371094,0.00390625,1,6.82191e-08,0,0,-8.65332e-06,6.76041e-08,-9.96087e-06,7.78193e-08,2.93278e-11,1
48,0,0.378906,0.00390625,1,4.84205e-08,0,0,-6.23053e-06,4.8676e-08,-7.18781e-06,5.61547e-08,3.49146e-11,1
49,0,0.386719,0.00390625,1,3.41425e-08,0,0,-4.45578e-06,3.48108e-08,-5.15173e-06,4.02479e-08,4.1043e-11,1
50,0,0.394531,0.00390625,1,2.39172e-08,0,0,-3.16509e-06,2.47273e-08,-3.66755e-06,2.86527e-08,4.76394e-11,1
51,0,0.402344,0.00390625,1,1.66449e-08,0,0,-2.23316e-06,1.74466e-08,-2.59341e-06,2.0261e-08,5.45983e-11,1
52,0,0.410156,0.00390625,1,1.15084e-08,0,0,-1.56507e-06,1.22271e-08,-1.82157e-06,1.4231e-08,6.17831e-11,1
53,0,0.417969,0.00390625,1,7.90531e-09,0,0,-1.08951e-06,8.51176e-09,-1.27089e-06,9.92884e-09,6.90281e-11,1
54,0,0.425781,0.00390625,1,5.39527e-09,0,0,-7.53367e-07,5.88568e-09,-8.80762e-07,6.88095e-09,7.61444e-11,1
55,0,0.433594,0.00390625,1,3.65876e-09,0,0,-5.17428e-07,4.0424e-09,-6.06307e-07,4.73677e-09,8.29264e-11,1
56,0,0.441406,0.00390625,1,2.46583e-09,0,0,-3.52946e-07,2.75739e-09,-4.14559e-07,3.23874e-09,8.91616e-11,1
57,0,0.449219,0.00390625,1,1.65236e-09,0,0,-2.39025e-07,1.86738e-09,-2.81494e-07,2.19917e-09,9.46411e-11,1
58,0,0.457031,0.00390625,1,1.10225e-09,0,0,-1.60585e-07,1.25457e-09,-1.89739e-07,1.48234e-09,9.91707e-11,1
59,0,0.464844,0.00390625,1,7.34158e-10,0,0,-1.06805e-07,8.34417e-10,-1.26816e-07,9.90747e-10,1.02582e-10,1
60,0,0.472656,0.00390625,1,4.91915e-10,0,0,-6.99587e-08,5.46552e-10,-8.38142e-08,6.54799e-10,1.04744e-10,1
61,0,0.480469,0.00390625,1,3.37545e-10,0,0,-4.45202e-08,3.47814e-10,-5.43922e-08,4.24939e-10,1.05569e-10,1
62,0,0.488281,0.00390625,1,2.46464e-10,0,0,-2.64999e-08,2.0703e-10,-3.4023e-08,2.65805e-10,1.05019e-10,1
63,0,0.496094,0.00390625,1,2.04311e-10,0,0,-1.29325e-08,1.01035e-10,-1.94297e-08,1.51795e-10,1.03112e-10,1
64,0,0.503906,0.00390625,1,2.05153e-10,0,0,-1.47488e-09,1.15225e-11,-8.15326e-09,6.36973e-11,9.99146e-11,1
65,0,0.511719,0.00390625,1,2.50885e-10,0,0,9.92653e-09,7.7551e-11,1.78874e-09,1.39745e-11,9.55439e-11,1
66,0,0.519531,0.00390625,1,3.51818e-10,0,0,2.33373e-08,1.82322e-10,1.21885e-08,9.52226e-11,9.01572e-11,1
67,0,0.527344,0.00390625,1,5.28542e-10,0,0,4.11361e-08,3.21375e-10,2.491e-08,1.9461e-10,8.39438e-11,1
68,0,0.535156,0.00390625,1,8.15341e-10,0,0,6.63473e-08,5.18338e-10,4.21549e-08,3.29335e-10,7.71136e-11,1
69,0,0.542969,0.00390625,1,1.26556e-09,0,0,1.03038e-07,8.04984e-10,6.67588e-08,5.21553e-10,6.98854e-11,1
70,0,0.550781,0.00390625,1,1.95957e-09,0,0,1.56815e-07,1.22512e-09,1.02545e-07,8.01136e-10,6.24755e-11,1
71,0,0.558594,0.00390625,1,3.01613e-09,0,0,2.35457e-07,1.8395e-09,1.54766e-07,1.20911e-09,5.50871e-11,1
72,0,0.566406,0.00390625,1,4.6084e-09,0,0,3.49723e-07,2.73221e-09,2.30652e-07,1.80197e-09,4.79016e-11,1
73,0,0.574219,0.00390625,1,6.98596e-09,0,0,5.14385e-07,4.01864e-09,3.40114e-07,2.65714e-09,4.10718e-11,1
74,0,0.582031,0.00390625,1,1.05049e-08,0,0,7.49526e-07,5.85567e-09,4.96607e-07,3.87974e-09,3.47183e-11,1
75,0,0.589844,0.00390625,1,1.5668e-08,0,0,1.08214e-06,8.45423e-09,7.18205e-07,5.61097e-09,2.89273e-11,1
76,0,0.597656,0.00390625,1,2.31785e-08,0,0,1.54809e-06,1.20945e-08,1.02888e-06,8.03813e-09,2.37518e-11,1
77,0,0.605469,0.00390625,1,3.40104e-08,0,0,2.19441e-06,1.71439e-08,1.46002e-06,1.14064e-08,1.92137e-11,1
78,0,0.613281,0.00390625,1,4.9499e-08,0,0,3.08202e-06,2.40782e-08,2.05215e-06,1.60324e-08,1.53079e-11,1
