i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
1,0,0.0117188,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,nan,-nan,0,-nan,-nan
2,0,0.0195312,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,nan,-nan,0,nan,nan
3,0,0.0273438,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
4,0,0.0351562,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
5,0,0.0429688,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
6,0,0.0507812,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
7,0,0.0585938,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
8,0,0.0664062,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
9,0,0.0742188,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
10,0,0.0820312,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
11,0,0.0898438,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
12,0,0.0976562,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
13,0,0.105469,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
14,0,0.113281,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
15,0,0.121094,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
16,0,0.128906,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
17,0,0.136719,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
18,0,0.144531,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
19,0,0.152344,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
20,0,0.160156,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
21,0,0.167969,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
22,0,0.175781,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
23,0,0.183594,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
24,0,0.191406,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
25,0,0.199219,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
26,0,0.207031,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
27,0,0.214844,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
28,0,0.222656,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
29,0,0.230469,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
30,0,0.238281,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
31,0,0.246094,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
32,0,0.253906,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
33,0,0.261719,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
34,0,0.269531,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
35,0,0.277344,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
36,0,0.285156,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
37,0,0.292969,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
38,0,0.300781,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
39,0,0.308594,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
40,0,0.316406,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
41,0,0.324219,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
42,0,0.332031,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
43,0,0.339844,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
44,0,0.347656,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
45,0,0.355469,0.00390625,nan,-nan,nan,nan,-nan,nan,-nan,-nan,0,nan,nan
46,0,0.363281,0.00390625,nan,nan,nan,nan,nan,nan,-nan,nan,0,nan,nan
47,0,0.371094,0.00390625,nan,nan,nan,nan,nan,nan,-nan,nan,0,nan,nan
48,0,0.378906,0.00390625,nan,nan,nan,nan,nan,nan,-nan,nan,0,nan,nan
49,0,0.386719,0.00390625,nan,nan,nan,nan,nan,-nan,-nan,nan,0,-nan,-nan
50,0,0.394531,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,nan,-nan,0,-nan,-nan
51,0,0.402344,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,nan,-nan,0,-nan,-nan
52,0,0.410156,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,nan,-nan,0,nan,nan
53,0,0.417969,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
54,0,0.425781,0.00390625,nan,nan,nan,nan,nan,nan,-nan,nan,0,nan,nan
55,0,0.433594,0.00390625,nan,nan,nan,nan,nan,-nan,-nan,nan,0,-nan,-nan
56,0,0.441406,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
57,0,0.449219,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,nan,-nan,0,nan,nan
58,0,0.457031,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
59,0,0.464844,0.00390625,nan,nan,nan,nan,nan,nan,-nan,nan,0,nan,nan
60,0,0.472656,0.00390625,nan,nan,nan,nan,nan,-nan,-nan,nan,0,-nan,-nan
61,0,0.480469,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
62,0,0.488281,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
63,0,0.496094,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
64,0,0.503906,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
65,0,0.511719,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
66,0,0.519531,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
67,0,0.527344,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
68,0,0.535156,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
69,0,0.542969,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
70,0,0.550781,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
71,0,0.558594,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
72,0,0.566406,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
73,0,0.574219,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
74,0,0.582031,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
75,0,0.589844,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
76,0,0.597656,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
77,0,0.605469,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
78,0,0.613281,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
79,0,0.621094,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
80,0,0.628906,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
81,0,0.636719,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
82,0,0.644531,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
83,0,0.652344,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
84,0,0.660156,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
85,0,0.667969,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
86,0,0.675781,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,-nan,-nan,0,nan,nan
87,0,0.683594,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
88,0,0.691406,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
89,0,0.699219,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
90,0,0.707031,0.00390625,nan,nan,nan,nan,nan,-nan,nan,nan,0,-nan,-nan
91,0,0.714844,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
92,0,0.722656,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,nan,-nan,0,nan,nan
93,0,0.730469,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
94,0,0.738281,0.00390625,nan,nan,nan,nan,nan,-nan,-nan,nan,0,-nan,-nan
95,0,0.746094,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
96,0,0.753906,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,nan,-nan,0,nan,nan
97,0,0.761719,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
98,0,0.769531,0.00390625,nan,nan,nan,nan,nan,-nan,-nan,nan,0,-nan,-nan
99,0,0.777344,0.00390625,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,-nan
100,0,0.785156,0.00390625,-nan,-nan,-nan,-nan,-nan,nan,nan,-nan,0,nan,nan
101,0,0.792969,0.00390625,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
102,0,0.800781,0.00390625,nan,nan,nan,nan,nan,-nan,-nan,nan,0,-nan,-nan
